ID,Consumer,2012_01,2012_02,2012_03,2012_04,2012_05,2012_06,2012_07,2012_08,2012_09,2012_10,2012_11,2012_12,2013_01,2013_02,2013_03,2013_04,2013_05,2013_06,2013_07,2013_08,2013_09,2013_10,2013_11,2013_12,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,Media_01,Media_02,Media_03,Media_04,Media_05,Media_06,Media_07,Media_08,Media_09,Media_10,Media_11,Media_12,,
1,Multi-Family,23000,20700,46300,25500,18500,23000,29000,13000,19000,14000,19000,20000,20000,17000,21000,23000,57700,109100,433000,261300,155700,139300,207600,226300,340400,288900,272800,313100,415600,710600,842200,1653700,1754900,984000,1004000,975800,1083400,921000,979900,1094800,1146800,1232900,1235800,1472700,1518200,1394000,1176100,1817300,1809800,1626500,1662200,1679900,1917100,2182100,2403800,2461000,2615200,2791100,2503700,2568300,3121600,2414500,2662700,2684600,2613800,2744400,3044400,3119400,3287900,0,1066366.667,881433.3333,940816.6667,970150,1028250,1167016.667,1331366.667,1496850,1558483.333,887066.6667,996127.7778,1081522.222,,
2,Irrigation - Multi-Family,11000,2000,13000,58000,58000,78000,54000,80000,82000,83000,54000,56000,15000,42000,47000,69000,69000,51000,71000,75000,75000,301500,469600,268200,478900,473000,565300,1040400,647900,892000,1229300,1899300,1294100,887100,822000,239800,86300,228900,140500,593800,390100,566300,950800,2566600,1836200,1781600,800100,704600,569600,608000,825100,1261000,874900,995100,3222500,2323200,2384900,1591400,1156300,610800,622900,347400,624100,1007700,1600000,1881600,3313000,4550300,2822200,0,297283.3333,283550,369166.6667,671650,606650,744000,1473433.333,1915733.333,1415733.333,774100,599880.5556,360491.6667,,
3,Residential,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,Irrigation - Residential,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,Multi-Family,2477000,2164200,2181600,1909300,2784900,3314800,2997500,2629900,3099800,2309500,2540700,2513000,2404200,2697200,2319700,2358100,2527000,2904600,3211800,3670700,3434700,3188200,2722000,2604800,2924000,2766600,2871400,3356200,3399900,3378700,3567400,4006300,4549400,3277000,3588900,3127600,3470600,2764500,3271800,2990800,3184900,3733100,4112100,4796400,4572900,4455600,4798200,4590400,4238500,3607200,3719300,3937600,3600800,4044000,4617000,4554000,4185200,3981100,3605500,3951500,4081100,3501100,3545600,3775700,3842500,3877300,4766500,4424400,5486200,3200200,3265900,2916800,2984900,3054616.667,3223333.333,3542083.333,3878716.667,4013616.667,4221366.667,3401933.333,3420200,3284016.667,,
6,Irrigation - Multi-Family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3700,8700,5200,3500,4600,3900,6100,5600,6500,10600,7700,7800,2600,583.3333333,766.6666667,650,1016.666667,933.3333333,1083.333333,1766.666667,1283.333333,1300,1050,1547.222222,994.4444444,,
7,Residential,19962500,17532100,17901100,18598700,21137300,22493600,23414400,22793600,22457200,19620900,20816500,19244400,22013100,17860600,17964500,18470300,19776000,21253100,22912200,23487100,22238000,18885900,17954900,18851700,21659800,18232600,17898700,18403900,18582200,19983700,21633900,21311800,23945900,19085400,19794900,19189300,20347600,17028400,18354000,18315000,17957700,18236700,20925400,22414300,22164500,21596700,19855200,18370800,20503100,17214200,18102300,18587900,17531000,19705200,22537700,20938700,20587200,18795100,18271800,18846900,20491000,17479500,18760200,18426600,19103000,20632200,22257400,22337500,22247700,12114000,20829516.67,17557900,18163466.67,18467066.67,19014533.33,20384083.33,22280166.67,22213833.33,22273416.67,18349666.67,19587136.11,18676833.33,,
8,Irrigation - Residential,0,0,0,0,0,0,0,0,0,0,500,4900,200,0,700,3900,4500,5600,10200,9100,4700,4200,3500,3700,4200,3300,3300,4200,3800,2900,4100,3100,3400,3100,4300,4900,6600,5800,5900,6400,8700,9300,12000,6200,5400,5700,5300,3100,6800,5000,5100,5700,5400,6500,6800,3900,5300,5500,5700,5600,7700,5600,7000,5100,4700,8000,10100,3400,10600,5200,4250,3283.333333,3666.666667,4216.666667,4516.666667,5383.333333,7200,4283.333333,4900,3950,3925,4247.222222,,
9,Multi-Family,116900,14100,21100,313900,19400,18200,22300,17400,63100,78800,13400,22200,21700,20200,17700,23900,17200,11500,20000,29500,13700,9400,9900,8700,13700,13400,16500,24700,15700,23400,18600,32000,36500,35000,47900,44400,35900,30400,35400,29600,27300,11200,18800,175100,426300,9800,18100,32000,29800,30300,39200,41800,25400,16300,25700,35500,38600,43100,60600,72000,43600,50800,59700,58400,25400,15800,107000,24300,12400,0,43600,26533.33333,31600,82050,21733.33333,16066.66667,35400,52300,98433.33333,29350,32250,34305.55556,,
10,Irrigation - Multi-Family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
11,Residential,632300,585400,696200,797700,908900,906500,1034400,977800,946300,664000,692400,678600,719000,623900,642500,710700,811900,841200,965500,986600,841900,725000,679100,654200,742600,612200,603600,661300,728100,704400,781000,768500,897800,718400,765600,769700,905600,784400,889300,1268000,1112300,1221500,1620100,2416800,2293300,2251500,1651000,1606800,1665300,1721700,2135400,2347500,2021900,2203200,2948500,3287400,2777100,3572400,3104100,2951100,2386400,2096000,2477000,2861200,3535400,4122300,4961300,5413800,5211500,4293400,1175200,1070600,1240666.667,1441066.667,1519750,1666516.667,2051800,2308483.333,2161316.667,2037450,1344566.667,1288500,,
12,Irrigation - Residential,38500,42200,19700,19500,47200,53100,53200,59500,53600,40600,60600,54100,48200,54500,55200,56700,45300,62000,61800,54800,44900,42500,43800,34800,63500,53900,43400,34800,20800,38200,53000,36500,53200,60100,81200,78700,82200,73100,83800,83300,74000,72900,89000,75600,79200,88800,74000,77100,95000,69300,67800,69600,72500,57000,43800,59700,99300,83200,102200,65000,8000,7400,9000,84700,85400,105500,90100,107500,94900,75300,55900,50066.66667,46483.33333,58100,57533.33333,64783.33333,65150,65600,70850,65083.33333,69616.66667,59961.11111,,
