id,uid,time,data,temp,volume,energy
0,163a1df3-03b5-4eb1-b377-f276da3bb72d,30/12/2016 07:42:11,8.4,40,4.2,133.0
1,163a1df3-03b5-4eb1-b377-f276da3bb72d,25/07/2016 07:32:56,12.0,30,0.8,19.0
2,163a1df3-03b5-4eb1-b377-f276da3bb72d,25/07/2016 07:26:37,11.333333,38,17.3,498.0
3,163a1df3-03b5-4eb1-b377-f276da3bb72d,25/07/2016 07:24:59,9.0,32,25.7,656.8063400000001
4,163a1df3-03b5-4eb1-b377-f276da3bb72d,25/07/2016 07:25:12,9.8,30,17.4,404.26
5,163a1df3-03b5-4eb1-b377-f276da3bb72d,25/07/2016 07:25:24,8.4,36,71.8,2168.5994
6,163a1df3-03b5-4eb1-b377-f276da3bb72d,25/07/2016 07:25:37,5.6,33,4.1,109.545166
7,163a1df3-03b5-4eb1-b377-f276da3bb72d,25/07/2016 07:25:49,9.9,34,25.6,713.7280000000001
8,163a1df3-03b5-4eb1-b377-f276da3bb72d,25/07/2016 07:26:02,9.3,36,43.1,1301.7637
9,163a1df3-03b5-4eb1-b377-f276da3bb72d,25/07/2016 07:26:14,8.7,35,77.1,2239.1125
10,163a1df3-03b5-4eb1-b377-f276da3bb72d,25/07/2016 07:26:39,9.0,35,34.9,1013.5541400000001
11,163a1df3-03b5-4eb1-b377-f276da3bb72d,25/07/2016 07:26:51,9.4,36,44.3,1338.0077
12,163a1df3-03b5-4eb1-b377-f276da3bb72d,25/07/2016 07:27:29,10.1,31,9.6,234.192
13,163a1df3-03b5-4eb1-b377-f276da3bb72d,25/07/2016 07:27:41,8.7,36,31.7,957.4457
14,163a1df3-03b5-4eb1-b377-f276da3bb72d,25/07/2016 07:27:54,8.6,37,72.7,2280.2356
15,163a1df3-03b5-4eb1-b377-f276da3bb72d,25/07/2016 07:28:06,9.2,37,28.8,903.312
16,163a1df3-03b5-4eb1-b377-f276da3bb72d,25/07/2016 07:28:19,9.7,34,30.1,839.188
17,163a1df3-03b5-4eb1-b377-f276da3bb72d,25/07/2016 07:28:31,9.0,37,45.4,1423.971
18,163a1df3-03b5-4eb1-b377-f276da3bb72d,12/6/2016 13:39,8.939394,37,29.5,898.0
19,163a1df3-03b5-4eb1-b377-f276da3bb72d,12/6/2016 13:39,9.6,39,45.7,1539.5569
20,163a1df3-03b5-4eb1-b377-f276da3bb72d,21/05/2016 15:46:12,2.4074075,22,6.5,96.0
21,163a1df3-03b5-4eb1-b377-f276da3bb72d,21/05/2016 15:46:04,11.0,23,3.3,49.8355
22,163a1df3-03b5-4eb1-b377-f276da3bb72d,21/05/2016 15:46:18,9.3,22,1.7,23.698
