id,uid,time,data,temp,volume,energy
0,19e11999-a3bd-4188-ba6d-32418a1d264a,8/10/2016 7:28,7.2,38,28.2,917.252
1,19e11999-a3bd-4188-ba6d-32418a1d264a,8/10/2016 7:28,7.1,33,21.2,566.42865
2,19e11999-a3bd-4188-ba6d-32418a1d264a,8/10/2016 7:29,6.3,38,29.2,949.7787
3,19e11999-a3bd-4188-ba6d-32418a1d264a,8/10/2016 7:29,6.6,31,12.9,314.6955
4,19e11999-a3bd-4188-ba6d-32418a1d264a,8/10/2016 7:29,7.7,33,24.3,649.2555
5,19e11999-a3bd-4188-ba6d-32418a1d264a,8/10/2016 7:29,7.3,34,37.5,1045.5
6,19e11999-a3bd-4188-ba6d-32418a1d264a,8/10/2016 7:29,7.9,23,9.1,137.42517
7,19e11999-a3bd-4188-ba6d-32418a1d264a,8/10/2016 7:30,6.9,38,37.7,1226.2554
8,19e11999-a3bd-4188-ba6d-32418a1d264a,8/10/2016 7:30,7.4,36,23.2,700.71735
9,19e11999-a3bd-4188-ba6d-32418a1d264a,7/9/2016 7:35,6.75,39,14.0,373.0
10,19e11999-a3bd-4188-ba6d-32418a1d264a,7/9/2016 7:33,7.1,32,18.3,467.68699999999995
11,19e11999-a3bd-4188-ba6d-32418a1d264a,7/9/2016 7:34,7.3,38,26.7,868.462
12,19e11999-a3bd-4188-ba6d-32418a1d264a,7/9/2016 7:34,6.9,31,6.6,161.007
13,19e11999-a3bd-4188-ba6d-32418a1d264a,7/9/2016 7:35,8.4,38,48.0,1561.28
14,19e11999-a3bd-4188-ba6d-32418a1d264a,29/08/2016 23:06:08,6.0659339999999995,38,9.2,275.0
15,19e11999-a3bd-4188-ba6d-32418a1d264a,29/08/2016 23:04:46,4.4,35,7.0,203.29166999999998
16,19e11999-a3bd-4188-ba6d-32418a1d264a,29/08/2016 23:04:59,7.3,27,16.4,323.87268
17,19e11999-a3bd-4188-ba6d-32418a1d264a,29/08/2016 23:05:26,8.5,33,11.2,299.24532999999997
18,19e11999-a3bd-4188-ba6d-32418a1d264a,29/08/2016 23:05:38,6.4,26,6.0,111.52
19,19e11999-a3bd-4188-ba6d-32418a1d264a,29/08/2016 07:30:16,7.1538463000000005,40,16.6,454.0
20,19e11999-a3bd-4188-ba6d-32418a1d264a,29/08/2016 07:28:01,8.3,37,9.8,307.377
21,19e11999-a3bd-4188-ba6d-32418a1d264a,29/08/2016 07:28:14,7.8,36,27.9,842.673
22,19e11999-a3bd-4188-ba6d-32418a1d264a,29/08/2016 07:28:26,7.3,29,44.0,971.1533
23,19e11999-a3bd-4188-ba6d-32418a1d264a,29/08/2016 07:28:39,4.3,37,40.2,1260.873
24,19e11999-a3bd-4188-ba6d-32418a1d264a,29/08/2016 07:28:51,7.8,26,16.7,310.39734
25,19e11999-a3bd-4188-ba6d-32418a1d264a,29/08/2016 07:29:04,8.0,38,33.8,1099.4014
26,19e11999-a3bd-4188-ba6d-32418a1d264a,29/08/2016 07:29:16,6.2,36,26.2,791.32733
27,19e11999-a3bd-4188-ba6d-32418a1d264a,29/08/2016 07:29:29,7.5,34,7.0,195.16
28,19e11999-a3bd-4188-ba6d-32418a1d264a,26/08/2016 07:28:10,6.857142999999999,42,20.7,587.0
29,19e11999-a3bd-4188-ba6d-32418a1d264a,26/08/2016 07:24:58,7.6,26,22.4,416.34134
30,19e11999-a3bd-4188-ba6d-32418a1d264a,26/08/2016 07:25:10,8.4,36,36.2,1093.3607
31,19e11999-a3bd-4188-ba6d-32418a1d264a,26/08/2016 07:25:23,8.5,37,48.4,1518.066
32,19e11999-a3bd-4188-ba6d-32418a1d264a,26/08/2016 07:25:35,7.7,31,8.5,207.3575
33,19e11999-a3bd-4188-ba6d-32418a1d264a,26/08/2016 07:25:48,6.8,26,24.3,451.656
34,19e11999-a3bd-4188-ba6d-32418a1d264a,26/08/2016 07:26:00,7.6,38,24.0,780.64
35,19e11999-a3bd-4188-ba6d-32418a1d264a,26/08/2016 07:26:13,7.0,26,15.0,278.8
36,19e11999-a3bd-4188-ba6d-32418a1d264a,26/08/2016 07:26:25,7.5,27,6.4,126.38933600000001
37,19e11999-a3bd-4188-ba6d-32418a1d264a,26/08/2016 07:26:38,8.3,35,14.6,424.00833
38,19e11999-a3bd-4188-ba6d-32418a1d264a,26/08/2016 07:27:40,6.6,27,12.3,242.9045
39,19e11999-a3bd-4188-ba6d-32418a1d264a,5/8/2016 9:44,6.5070424000000004,39,15.4,420.0
