id,uid,time,data,temp,volume,energy
0,1c14b1d6-63fc-4014-b017-1b375b6a26fc,15/01/2017 22:23:41,11.9,36,32.6,984.62866
1,1c14b1d6-63fc-4014-b017-1b375b6a26fc,15/01/2017 22:23:46,11.0,35,11.2,325.26666
2,1c14b1d6-63fc-4014-b017-1b375b6a26fc,15/01/2017 22:23:52,10.9,34,16.0,446.08
3,1c14b1d6-63fc-4014-b017-1b375b6a26fc,15/01/2017 22:23:58,11.9,34,26.5,738.82
4,1c14b1d6-63fc-4014-b017-1b375b6a26fc,15/01/2017 22:24:04,11.3,33,13.2,352.68199999999996
5,1c14b1d6-63fc-4014-b017-1b375b6a26fc,15/01/2017 22:24:21,11.5,29,21.5,474.54082999999997
6,1c14b1d6-63fc-4014-b017-1b375b6a26fc,15/01/2017 22:24:27,11.0,33,13.9,371.38482999999997
7,1c14b1d6-63fc-4014-b017-1b375b6a26fc,15/01/2017 22:24:32,11.1,35,80.6,2340.7583
8,1c14b1d6-63fc-4014-b017-1b375b6a26fc,15/01/2017 22:24:44,11.1,36,18.8,567.8227
9,1c14b1d6-63fc-4014-b017-1b375b6a26fc,15/01/2017 22:24:59,10.8,24,2.7,43.911
10,1c14b1d6-63fc-4014-b017-1b375b6a26fc,22/09/2016 23:52:40,12.9375,34,37.8,944.0
11,1c14b1d6-63fc-4014-b017-1b375b6a26fc,22/09/2016 23:49:57,11.6,33,28.9,772.15985
12,1c14b1d6-63fc-4014-b017-1b375b6a26fc,22/09/2016 23:50:09,12.1,36,14.1,425.86699999999996
13,1c14b1d6-63fc-4014-b017-1b375b6a26fc,22/09/2016 23:50:21,11.8,35,30.7,891.57916
14,1c14b1d6-63fc-4014-b017-1b375b6a26fc,22/09/2016 23:50:34,11.5,37,29.6,928.404
15,1c14b1d6-63fc-4014-b017-1b375b6a26fc,22/09/2016 23:50:46,11.0,36,24.0,724.88
16,1c14b1d6-63fc-4014-b017-1b375b6a26fc,22/09/2016 23:50:59,11.4,34,27.7,772.2760000000001
17,1c14b1d6-63fc-4014-b017-1b375b6a26fc,16/09/2016 19:47:54,10.5,25,0.7,11.0
18,1c14b1d6-63fc-4014-b017-1b375b6a26fc,16/09/2016 19:48:02,11.4,31,18.5,451.3075
19,1c14b1d6-63fc-4014-b017-1b375b6a26fc,16/09/2016 19:48:14,11.4,36,23.8,718.8393599999999
20,1c14b1d6-63fc-4014-b017-1b375b6a26fc,16/09/2016 19:48:27,11.5,32,18.8,480.46533
21,1c14b1d6-63fc-4014-b017-1b375b6a26fc,16/09/2016 19:48:39,11.3,32,13.5,345.015
22,1c14b1d6-63fc-4014-b017-1b375b6a26fc,16/09/2016 19:48:52,11.3,39,34.9,1175.7228
23,1c14b1d6-63fc-4014-b017-1b375b6a26fc,16/09/2016 19:49:04,11.7,37,31.3,981.7245
24,1c14b1d6-63fc-4014-b017-1b375b6a26fc,16/09/2016 19:49:17,9.3,35,6.5,188.77083000000002
25,1c14b1d6-63fc-4014-b017-1b375b6a26fc,16/09/2016 19:49:29,12.5,36,22.1,667.49365
26,1c14b1d6-63fc-4014-b017-1b375b6a26fc,16/09/2016 19:49:42,12.0,34,52.4,1460.912
27,1c14b1d6-63fc-4014-b017-1b375b6a26fc,3/9/2016 1:04,11.333333,32,8.5,182.0
28,1c14b1d6-63fc-4014-b017-1b375b6a26fc,3/9/2016 1:03,10.5,36,48.6,1467.882
29,1c14b1d6-63fc-4014-b017-1b375b6a26fc,3/9/2016 1:04,12.2,33,24.3,649.2555
30,1c14b1d6-63fc-4014-b017-1b375b6a26fc,1/9/2016 20:15,11.650485,35,20.4,506.0
31,1c14b1d6-63fc-4014-b017-1b375b6a26fc,1/9/2016 20:14,10.7,36,65.1,1966.237
32,1c14b1d6-63fc-4014-b017-1b375b6a26fc,1/9/2016 20:14,11.3,35,40.8,1184.9
33,1c14b1d6-63fc-4014-b017-1b375b6a26fc,30/08/2016 08:24:17,11.544,37,48.1,1422.0
34,1c14b1d6-63fc-4014-b017-1b375b6a26fc,1/9/2016 20:14,13.1,34,34.2,953.4960000000001
35,1c14b1d6-63fc-4014-b017-1b375b6a26fc,1/9/2016 20:14,13.1,32,33.3,851.0369999999999
36,1c14b1d6-63fc-4014-b017-1b375b6a26fc,1/9/2016 20:14,10.3,35,58.3,1693.1292
37,1c14b1d6-63fc-4014-b017-1b375b6a26fc,1/9/2016 20:14,10.2,35,39.2,1138.4333
38,1c14b1d6-63fc-4014-b017-1b375b6a26fc,1/9/2016 20:15,11.1,34,54.7,1525.036
39,1c14b1d6-63fc-4014-b017-1b375b6a26fc,1/9/2016 20:15,12.0,33,33.9,905.7515
40,1c14b1d6-63fc-4014-b017-1b375b6a26fc,1/9/2016 20:15,12.7,32,56.3,1438.8403
41,1c14b1d6-63fc-4014-b017-1b375b6a26fc,1/9/2016 20:15,12.1,34,28.1,783.428
42,1c14b1d6-63fc-4014-b017-1b375b6a26fc,1/9/2016 20:15,11.0,34,48.0,1338.24
43,1c14b1d6-63fc-4014-b017-1b375b6a26fc,1/9/2016 20:15,10.1,34,37.7,1051.076
44,1c14b1d6-63fc-4014-b017-1b375b6a26fc,1/9/2016 20:15,10.7,34,36.2,1009.2560000000001
45,1c14b1d6-63fc-4014-b017-1b375b6a26fc,7/8/2016 1:53,10.5,36,1.5,43.0
46,1c14b1d6-63fc-4014-b017-1b375b6a26fc,7/8/2016 1:45,6.0,27,0.2,3.0
47,1c14b1d6-63fc-4014-b017-1b375b6a26fc,7/8/2016 1:45,11.0,35,74.7,2169.4126
48,1c14b1d6-63fc-4014-b017-1b375b6a26fc,7/8/2016 1:45,11.6,33,21.5,574.44415
49,1c14b1d6-63fc-4014-b017-1b375b6a26fc,7/8/2016 1:45,11.4,34,14.5,404.26
50,1c14b1d6-63fc-4014-b017-1b375b6a26fc,7/8/2016 1:45,11.9,32,36.8,940.48535
51,1c14b1d6-63fc-4014-b017-1b375b6a26fc,7/8/2016 1:46,11.9,35,62.8,1823.8167
52,1c14b1d6-63fc-4014-b017-1b375b6a26fc,7/8/2016 1:46,12.3,33,25.8,689.3330000000001
53,1c14b1d6-63fc-4014-b017-1b375b6a26fc,7/8/2016 1:46,12.5,34,32.8,914.4639999999999
54,1c14b1d6-63fc-4014-b017-1b375b6a26fc,7/8/2016 1:46,12.0,33,21.8,582.45966
55,1c14b1d6-63fc-4014-b017-1b375b6a26fc,26/07/2016 23:21:30,12.0,34,13.8,329.0
56,1c14b1d6-63fc-4014-b017-1b375b6a26fc,26/07/2016 23:20:28,11.1,35,19.0,551.7917
57,1c14b1d6-63fc-4014-b017-1b375b6a26fc,26/07/2016 23:20:41,11.7,32,26.9,687.4743
58,1c14b1d6-63fc-4014-b017-1b375b6a26fc,26/07/2016 23:20:57,11.1,36,24.9,752.063
59,1c14b1d6-63fc-4014-b017-1b375b6a26fc,26/07/2016 23:21:09,13.2,33,16.9,451.53983
60,1c14b1d6-63fc-4014-b017-1b375b6a26fc,26/07/2016 23:21:22,11.9,32,40.0,1022.26666
