id,uid,time,data,temp,volume,energy
0,1d450e48-24aa-41a4-b36e-92a42b4376f1,28/02/2017 08:28:57,8.4,21,2.1,26.8345
1,1d450e48-24aa-41a4-b36e-92a42b4376f1,28/02/2017 08:29:03,8.1,20,2.3,26.718334000000002
2,1d450e48-24aa-41a4-b36e-92a42b4376f1,28/02/2017 08:29:09,9.4,34,22.8,635.664
3,1d450e48-24aa-41a4-b36e-92a42b4376f1,28/02/2017 08:29:14,8.7,36,56.7,1712.529
4,1d450e48-24aa-41a4-b36e-92a42b4376f1,28/02/2017 08:29:20,11.0,22,8.1,112.914
5,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:35:26,8.2,32,23.7,605.693
6,1d450e48-24aa-41a4-b36e-92a42b4376f1,28/02/2017 08:28:53,8.7,31,6.7,163.4465
7,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:23,10.3,35,41.5,1205.2291
8,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:23,10.4,35,28.2,818.975
9,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:23,8.3,19,1.8,18.819000000000003
10,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:22,10.4,20,1.9,22.071667
11,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:22,9.6,37,110.1,3453.2866
12,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:22,9.0,37,47.6,1492.974
13,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:22,9.9,36,29.3,884.9576400000001
14,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:22,9.5,35,24.5,711.5208
15,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:22,10.4,35,36.1,1048.4042
16,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:22,9.9,36,31.7,957.4457
17,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:22,10.0,37,73.3,2299.0544
18,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:22,10.5,20,7.2,83.64
19,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:22,10.2,35,24.4,708.6166400000001
20,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:19,3.6,31,1.7,41.4715
21,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:19,8.8,37,54.8,1718.8020000000001
22,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:19,10.9,35,28.7,833.49585
23,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:19,9.3,37,73.8,2314.737
24,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:19,10.0,35,26.7,775.4125
25,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:19,11.0,21,6.6,84.337
26,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:19,8.3,37,17.7,555.1605
27,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:19,9.5,35,33.2,964.18335
28,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:19,9.8,35,24.7,717.32916
29,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:19,8.6,36,70.5,2129.335
30,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:16,9.5,34,76.0,2118.88
31,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:16,9.0,36,33.2,1002.7507
32,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:16,9.9,33,33.9,905.7515
33,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:16,9.2,18,2.0,18.586666
34,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:16,9.7,23,3.4,51.345665000000004
35,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:16,10.2,20,2.9,33.68833
36,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:16,8.8,35,20.3,589.54584
37,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:16,8.6,37,57.2,1794.078
38,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:16,8.5,36,43.7,1319.8856
39,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:16,9.2,34,29.5,822.46
40,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:15,9.3,36,19.3,582.9243
41,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:15,7.6,36,40.5,1223.235
42,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:15,9.5,21,2.7,34.5015
43,1d450e48-24aa-41a4-b36e-92a42b4376f1,26/02/2017 12:33:15,10.2,20,2.2,25.556667
