id,uid,time,data,temp,volume,energy
0,2bc454f9-e9b5-4947-903c-eed771cdd40c,13/02/2017 09:53:57,4.4,38,53.1,1727.1660000000002
1,2bc454f9-e9b5-4947-903c-eed771cdd40c,11/2/2017 12:38,3.2,37,40.6,1273.4189999999999
2,2bc454f9-e9b5-4947-903c-eed771cdd40c,8/2/2017 9:40,4.2,37,52.3,1640.3895
3,2bc454f9-e9b5-4947-903c-eed771cdd40c,13/02/2017 09:54:21,4.6,36,70.4,2126.3147
4,2bc454f9-e9b5-4947-903c-eed771cdd40c,13/02/2017 09:54:27,4.7,33,19.6,523.6793
5,2bc454f9-e9b5-4947-903c-eed771cdd40c,29/01/2017 14:16:24,4.2,37,41.0,1285.965
6,2bc454f9-e9b5-4947-903c-eed771cdd40c,13/02/2017 09:54:38,3.8,16,2.4,16.727999999999998
7,2bc454f9-e9b5-4947-903c-eed771cdd40c,13/02/2017 09:54:44,3.9,15,3.4,19.748333
8,2bc454f9-e9b5-4947-903c-eed771cdd40c,13/02/2017 09:54:56,4.6,25,1.7,29.6225
9,2bc454f9-e9b5-4947-903c-eed771cdd40c,13/02/2017 09:55:01,4.5,37,86.5,2713.0725
10,2bc454f9-e9b5-4947-903c-eed771cdd40c,13/02/2017 09:55:07,4.5,38,77.5,2520.8167
11,2bc454f9-e9b5-4947-903c-eed771cdd40c,23/01/2017 08:45:18,4.359375,35,9.3,213.0
12,2bc454f9-e9b5-4947-903c-eed771cdd40c,13/02/2017 09:55:24,4.7,31,3.3,80.5035
13,2bc454f9-e9b5-4947-903c-eed771cdd40c,22/01/2017 14:22:49,4.1,36,76.1,2298.4736
14,2bc454f9-e9b5-4947-903c-eed771cdd40c,22/01/2017 14:21:55,4.5,38,69.0,2244.34
15,2bc454f9-e9b5-4947-903c-eed771cdd40c,20/01/2017 00:42:53,3.6,36,75.6,2283.3720000000003
16,2bc454f9-e9b5-4947-903c-eed771cdd40c,22/01/2017 14:22:18,4.5,37,80.1,2512.3364
17,2bc454f9-e9b5-4947-903c-eed771cdd40c,17/01/2017 10:05:37,4.1,37,70.6,2214.369
18,2bc454f9-e9b5-4947-903c-eed771cdd40c,20/01/2017 00:42:08,3.9,38,75.5,2455.7634
19,2bc454f9-e9b5-4947-903c-eed771cdd40c,15/01/2017 16:42:59,4.3,34,56.8,1583.5839999999998
20,2bc454f9-e9b5-4947-903c-eed771cdd40c,20/01/2017 00:42:40,4.5,19,2.9,30.3195
21,2bc454f9-e9b5-4947-903c-eed771cdd40c,15/01/2017 16:42:57,3.9,36,74.0,2235.0466
22,2bc454f9-e9b5-4947-903c-eed771cdd40c,12/1/2017 10:48,4.0,37,49.1,1540.0215
23,2bc454f9-e9b5-4947-903c-eed771cdd40c,8/2/2017 9:39,4.5,16,2.4,16.727999999999998
