id,uid,time,data,temp,volume,energy
0,65bd5937-d27d-4525-b7e5-1537a764934c,11/2/2017 18:37,4.9,36,16.6,501.37534000000005
1,65bd5937-d27d-4525-b7e5-1537a764934c,11/2/2017 18:30,4.7,28,12.9,269.73900000000003
2,65bd5937-d27d-4525-b7e5-1537a764934c,5/2/2017 12:06,4.5,31,21.5,524.4925
3,65bd5937-d27d-4525-b7e5-1537a764934c,28/01/2017 13:07:03,4.3,31,26.7,651.3465
4,65bd5937-d27d-4525-b7e5-1537a764934c,28/01/2017 13:15:11,3.1,15,4.0,23.233334
5,65bd5937-d27d-4525-b7e5-1537a764934c,28/01/2017 13:15:17,4.9,30,26.8,622.6533
6,65bd5937-d27d-4525-b7e5-1537a764934c,11/2/2017 18:28,5.0,29,23.5,518.6841400000001
7,65bd5937-d27d-4525-b7e5-1537a764934c,11/2/2017 18:28,5.0,32,29.1,743.699
8,65bd5937-d27d-4525-b7e5-1537a764934c,28/01/2017 13:15:34,2.6,15,5.8,33.68833
9,65bd5937-d27d-4525-b7e5-1537a764934c,5/2/2017 12:07,4.9,29,21.4,472.33367999999996
10,65bd5937-d27d-4525-b7e5-1537a764934c,7/1/2017 20:03,5.0,31,27.6,673.302
11,65bd5937-d27d-4525-b7e5-1537a764934c,31/12/2016 12:02:45,4.4,33,25.4,678.6457
12,65bd5937-d27d-4525-b7e5-1537a764934c,28/01/2017 13:07:17,5.0,33,29.1,777.5035
13,65bd5937-d27d-4525-b7e5-1537a764934c,31/12/2016 12:02:54,4.9,33,28.4,758.80066
14,65bd5937-d27d-4525-b7e5-1537a764934c,31/12/2016 12:02:54,4.4,16,2.5,17.425
15,65bd5937-d27d-4525-b7e5-1537a764934c,31/12/2016 12:02:54,5.0,32,24.5,626.1383
16,65bd5937-d27d-4525-b7e5-1537a764934c,31/12/2016 12:02:54,4.9,32,25.9,661.91766
17,65bd5937-d27d-4525-b7e5-1537a764934c,31/12/2016 12:02:54,4.7,31,27.3,665.9835
18,65bd5937-d27d-4525-b7e5-1537a764934c,31/12/2016 12:02:54,2.1,17,4.0,32.52667
