id,uid,time,data,temp,volume,energy
0,6b46e45c-2215-4162-9848-69745915c41f,1/12/2016 14:26,2.0983605,38,6.4,171.0
1,6b46e45c-2215-4162-9848-69745915c41f,28/11/2016 21:02:41,5.5,33,6.2,165.65367
2,6b46e45c-2215-4162-9848-69745915c41f,8/12/2016 13:37,6.6,34,8.3,231.40400000000002
3,6b46e45c-2215-4162-9848-69745915c41f,26/11/2016 13:17:28,6.0,41,13.7,359.0
4,6b46e45c-2215-4162-9848-69745915c41f,1/12/2016 14:25,6.0,32,9.7,247.89967000000001
5,6b46e45c-2215-4162-9848-69745915c41f,1/12/2016 14:26,6.1,34,9.7,270.436
6,6b46e45c-2215-4162-9848-69745915c41f,26/11/2016 13:15:12,7.5,35,12.2,354.30832000000004
7,6b46e45c-2215-4162-9848-69745915c41f,26/11/2016 13:16:37,6.4,33,11.7,312.6045
8,6b46e45c-2215-4162-9848-69745915c41f,26/11/2016 13:16:47,6.9,34,10.3,287.164
9,6b46e45c-2215-4162-9848-69745915c41f,26/11/2016 13:17:07,5.7,33,8.8,235.12134
10,6b46e45c-2215-4162-9848-69745915c41f,26/11/2016 13:17:15,6.3,32,9.3,237.67700000000002
11,6b46e45c-2215-4162-9848-69745915c41f,26/11/2016 13:17:30,6.3,33,8.0,213.74667000000002
12,6b46e45c-2215-4162-9848-69745915c41f,16/08/2016 12:24:05,6.0,26,7.4,137.0
13,6b46e45c-2215-4162-9848-69745915c41f,15/08/2016 15:54:07,3.8823528,27,1.1,21.0
14,6b46e45c-2215-4162-9848-69745915c41f,15/08/2016 15:54:02,4.5,30,4.8,111.52
15,6b46e45c-2215-4162-9848-69745915c41f,14/08/2016 14:10:14,6.0,39,2.0,55.0
16,6b46e45c-2215-4162-9848-69745915c41f,31/07/2016 14:13:34,8.571428,29,9.8,206.0
17,6b46e45c-2215-4162-9848-69745915c41f,31/07/2016 13:50:32,5.3,28,4.4,92.00399999999999
18,6b46e45c-2215-4162-9848-69745915c41f,31/07/2016 13:43:22,5.018182,30,8.9,189.0
19,6b46e45c-2215-4162-9848-69745915c41f,31/07/2016 13:50:12,6.3,34,12.5,348.5
20,6b46e45c-2215-4162-9848-69745915c41f,31/07/2016 13:41:02,5.9,29,8.3,183.19484
21,6b46e45c-2215-4162-9848-69745915c41f,31/07/2016 13:41:15,5.4,29,7.4,163.33033999999998
22,6b46e45c-2215-4162-9848-69745915c41f,31/07/2016 13:41:27,6.1,32,15.7,401.23965
23,6b46e45c-2215-4162-9848-69745915c41f,31/07/2016 13:41:52,6.0,30,4.0,92.933334
24,6b46e45c-2215-4162-9848-69745915c41f,31/07/2016 13:43:02,6.2,29,6.2,136.84433
25,6b46e45c-2215-4162-9848-69745915c41f,23/07/2016 13:02:28,0.80597013,28,1.8,37.0
26,6b46e45c-2215-4162-9848-69745915c41f,23/07/2016 13:02:18,4.9,28,4.5,94.095
