id,uid,time,data,temp,volume,energy
0,738ef277-82a0-42d0-b2c7-13cce344cfb4,15/02/2017 10:00:46,7.4,35,14.0,406.58333999999996
1,738ef277-82a0-42d0-b2c7-13cce344cfb4,15/02/2017 10:00:58,7.4,31,32.0,780.64
2,738ef277-82a0-42d0-b2c7-13cce344cfb4,11/2/2017 19:02,6.666666499999999,28,2.0,23.0
3,738ef277-82a0-42d0-b2c7-13cce344cfb4,8/2/2017 8:58,2.0148148999999997,36,13.6,380.0
4,738ef277-82a0-42d0-b2c7-13cce344cfb4,3/2/2017 10:17,2.3275862000000003,35,13.5,365.0
5,738ef277-82a0-42d0-b2c7-13cce344cfb4,31/01/2017 10:24:35,9.214286,38,4.3,127.0
6,738ef277-82a0-42d0-b2c7-13cce344cfb4,31/01/2017 10:20:43,7.3,35,9.8,284.60834
7,738ef277-82a0-42d0-b2c7-13cce344cfb4,31/01/2017 10:16:28,6.8,31,25.4,619.633
8,738ef277-82a0-42d0-b2c7-13cce344cfb4,8/2/2017 8:58,7.8,30,34.0,789.93335
9,738ef277-82a0-42d0-b2c7-13cce344cfb4,31/01/2017 10:20:22,8.2,30,35.2,817.81335
10,738ef277-82a0-42d0-b2c7-13cce344cfb4,24/01/2017 10:07:46,2.562368,38,20.2,555.0
11,738ef277-82a0-42d0-b2c7-13cce344cfb4,31/01/2017 10:20:40,8.3,32,34.5,881.705
12,738ef277-82a0-42d0-b2c7-13cce344cfb4,3/2/2017 10:17,6.5,30,24.3,564.57
13,738ef277-82a0-42d0-b2c7-13cce344cfb4,3/2/2017 10:17,8.0,33,18.5,494.28915
14,738ef277-82a0-42d0-b2c7-13cce344cfb4,3/2/2017 10:17,8.7,35,5.5,159.72916999999998
15,738ef277-82a0-42d0-b2c7-13cce344cfb4,15/01/2017 11:56:28,10.285714,20,1.2,12.0
16,738ef277-82a0-42d0-b2c7-13cce344cfb4,24/01/2017 10:05:53,8.4,31,36.1,880.6595
17,738ef277-82a0-42d0-b2c7-13cce344cfb4,12/1/2017 9:08,6.6,21,1.1,10.0
18,738ef277-82a0-42d0-b2c7-13cce344cfb4,10/1/2017 10:01,6.4,30,14.1,327.59
19,738ef277-82a0-42d0-b2c7-13cce344cfb4,10/1/2017 10:00,10.5,31,29.7,724.5315
20,738ef277-82a0-42d0-b2c7-13cce344cfb4,7/1/2017 18:16,2.125,36,13.6,366.0
21,738ef277-82a0-42d0-b2c7-13cce344cfb4,30/12/2016 10:56:13,6.0,29,2.9,51.0
