id,uid,time,data,temp,volume,energy
0,74c11b5c-b1cd-4546-b704-bff133ba61d3,19/02/2017 10:40:34,7.1,34,13.4,373.592
1,74c11b5c-b1cd-4546-b704-bff133ba61d3,19/02/2017 10:40:39,7.6,34,39.6,1104.048
2,74c11b5c-b1cd-4546-b704-bff133ba61d3,19/02/2017 10:40:45,7.7,33,51.9,1386.6815
3,74c11b5c-b1cd-4546-b704-bff133ba61d3,19/02/2017 10:40:51,8.4,32,51.3,1311.057
4,74c11b5c-b1cd-4546-b704-bff133ba61d3,19/02/2017 10:40:57,6.8,32,38.2,976.26465
5,74c11b5c-b1cd-4546-b704-bff133ba61d3,19/02/2017 10:41:02,7.4,31,20.3,495.2185
6,74c11b5c-b1cd-4546-b704-bff133ba61d3,19/02/2017 10:41:08,7.7,34,42.3,1179.3239999999998
7,74c11b5c-b1cd-4546-b704-bff133ba61d3,19/02/2017 10:41:20,8.4,33,3.9,104.2015
8,74c11b5c-b1cd-4546-b704-bff133ba61d3,19/02/2017 10:41:25,7.6,33,46.6,1245.0743
9,74c11b5c-b1cd-4546-b704-bff133ba61d3,19/02/2017 10:41:37,7.5,27,14.9,294.25015
10,74c11b5c-b1cd-4546-b704-bff133ba61d3,19/02/2017 10:41:43,6.6,33,40.9,1092.7798
11,74c11b5c-b1cd-4546-b704-bff133ba61d3,19/02/2017 10:41:48,2.9,33,43.7,1167.5912
12,74c11b5c-b1cd-4546-b704-bff133ba61d3,19/02/2017 10:41:54,7.8,24,8.6,139.86467
13,74c11b5c-b1cd-4546-b704-bff133ba61d3,9/9/2016 17:51,7.871559599999999,35,14.5,374.0
14,74c11b5c-b1cd-4546-b704-bff133ba61d3,9/9/2016 17:49,9.1,33,3.2,85.498665
15,74c11b5c-b1cd-4546-b704-bff133ba61d3,9/9/2016 17:49,7.9,32,24.8,633.80536
16,74c11b5c-b1cd-4546-b704-bff133ba61d3,9/9/2016 17:49,6.9,34,32.6,908.888
17,74c11b5c-b1cd-4546-b704-bff133ba61d3,9/9/2016 17:49,6.7,29,6.8,150.08733
18,74c11b5c-b1cd-4546-b704-bff133ba61d3,9/9/2016 17:50,6.3,31,7.7,187.8415
19,74c11b5c-b1cd-4546-b704-bff133ba61d3,9/9/2016 17:50,6.3,35,6.0,174.25
20,74c11b5c-b1cd-4546-b704-bff133ba61d3,9/9/2016 17:50,5.0,31,7.2,175.644
21,74c11b5c-b1cd-4546-b704-bff133ba61d3,9/9/2016 17:50,6.4,35,24.8,720.23334
22,74c11b5c-b1cd-4546-b704-bff133ba61d3,9/9/2016 17:50,6.8,36,3.5,105.71167
23,74c11b5c-b1cd-4546-b704-bff133ba61d3,14/07/2016 07:22:41,5.4461536,33,6.4,165.0
24,74c11b5c-b1cd-4546-b704-bff133ba61d3,14/07/2016 07:21:48,6.7,34,20.4,568.752
25,74c11b5c-b1cd-4546-b704-bff133ba61d3,14/07/2016 07:22:01,7.2,34,1.8,50.184
26,74c11b5c-b1cd-4546-b704-bff133ba61d3,9/7/2016 12:55,7.457142999999999,35,17.6,465.0
27,74c11b5c-b1cd-4546-b704-bff133ba61d3,9/7/2016 12:53,5.3,33,2.1,56.1085
28,74c11b5c-b1cd-4546-b704-bff133ba61d3,9/7/2016 12:53,7.1,34,33.4,931.192
29,74c11b5c-b1cd-4546-b704-bff133ba61d3,9/7/2016 12:53,7.6,33,27.3,729.4105
30,74c11b5c-b1cd-4546-b704-bff133ba61d3,9/7/2016 12:53,6.4,32,1.5,38.335
31,74c11b5c-b1cd-4546-b704-bff133ba61d3,9/7/2016 12:54,7.4,35,16.5,479.1875
32,74c11b5c-b1cd-4546-b704-bff133ba61d3,9/7/2016 12:54,5.4,35,71.4,2073.575
33,74c11b5c-b1cd-4546-b704-bff133ba61d3,23/06/2016 20:18:19,9.529411,35,24.5,676.0
34,74c11b5c-b1cd-4546-b704-bff133ba61d3,23/06/2016 20:15:58,9.1,35,7.0,203.29166999999998
35,74c11b5c-b1cd-4546-b704-bff133ba61d3,23/06/2016 20:16:11,8.8,34,13.0,362.44
36,74c11b5c-b1cd-4546-b704-bff133ba61d3,23/06/2016 20:16:23,3.6,25,4.4,76.67
37,74c11b5c-b1cd-4546-b704-bff133ba61d3,23/06/2016 20:16:36,6.8,34,38.7,1078.9560000000001
38,74c11b5c-b1cd-4546-b704-bff133ba61d3,23/06/2016 20:16:49,8.5,33,30.8,822.9247
39,74c11b5c-b1cd-4546-b704-bff133ba61d3,14/06/2016 10:00:07,3.75,26,1.5,27.0
40,74c11b5c-b1cd-4546-b704-bff133ba61d3,23/06/2016 20:17:14,5.8,34,22.4,624.512
41,74c11b5c-b1cd-4546-b704-bff133ba61d3,19/02/2017 10:40:25,8.6,34,31.1,867.068
42,74c11b5c-b1cd-4546-b704-bff133ba61d3,23/06/2016 20:17:39,7.9,34,46.6,1299.208
43,74c11b5c-b1cd-4546-b704-bff133ba61d3,23/06/2016 20:17:51,9.5,34,26.8,747.184
44,74c11b5c-b1cd-4546-b704-bff133ba61d3,23/06/2016 20:18:04,8.0,33,40.6,1084.7643
45,74c11b5c-b1cd-4546-b704-bff133ba61d3,24/05/2016 18:01:17,1.4938775,36,6.1,142.0
