id,uid,time,data,temp,volume,energy
0,78f08ecd-ad52-485c-834a-6fdb71461787,3/9/2016 18:37,8.842105,36,37.1,1035.0
1,78f08ecd-ad52-485c-834a-6fdb71461787,3/9/2016 18:31,5.3,29,18.6,410.533
2,78f08ecd-ad52-485c-834a-6fdb71461787,3/9/2016 18:31,7.8,31,35.4,863.5830000000001
3,78f08ecd-ad52-485c-834a-6fdb71461787,3/9/2016 18:31,8.3,32,9.1,232.56567
4,78f08ecd-ad52-485c-834a-6fdb71461787,3/9/2016 18:33,7.7,33,52.1,1392.0251
5,78f08ecd-ad52-485c-834a-6fdb71461787,3/9/2016 18:34,7.6,33,20.9,558.41315
6,78f08ecd-ad52-485c-834a-6fdb71461787,3/9/2016 18:35,8.0,32,33.3,851.0369999999999
7,78f08ecd-ad52-485c-834a-6fdb71461787,3/9/2016 18:35,7.7,33,47.4,1266.4489999999998
8,78f08ecd-ad52-485c-834a-6fdb71461787,3/9/2016 18:35,8.1,31,14.6,356.167
9,78f08ecd-ad52-485c-834a-6fdb71461787,3/9/2016 18:35,8.2,30,23.8,552.9533
10,78f08ecd-ad52-485c-834a-6fdb71461787,3/9/2016 18:36,8.6,29,10.0,220.71666000000002
11,78f08ecd-ad52-485c-834a-6fdb71461787,3/9/2016 18:36,7.9,30,34.4,799.2267
12,78f08ecd-ad52-485c-834a-6fdb71461787,3/9/2016 18:37,8.4,28,14.4,301.10400000000004
13,78f08ecd-ad52-485c-834a-6fdb71461787,3/9/2016 18:37,8.1,32,18.2,465.13135
14,78f08ecd-ad52-485c-834a-6fdb71461787,3/9/2016 18:37,7.8,27,15.3,302.1495
15,78f08ecd-ad52-485c-834a-6fdb71461787,3/8/2016 22:56,10.5,30,21.4,468.0
16,78f08ecd-ad52-485c-834a-6fdb71461787,3/8/2016 22:48,9.0,30,8.6,181.0
17,78f08ecd-ad52-485c-834a-6fdb71461787,3/8/2016 22:52,7.0,30,22.5,522.75
18,78f08ecd-ad52-485c-834a-6fdb71461787,3/8/2016 22:52,7.9,31,21.3,519.6135
19,78f08ecd-ad52-485c-834a-6fdb71461787,3/8/2016 22:48,5.0,27,2.5,49.370834
20,78f08ecd-ad52-485c-834a-6fdb71461787,3/8/2016 22:54,8.0,26,3.2,59.477332999999994
21,78f08ecd-ad52-485c-834a-6fdb71461787,3/8/2016 22:55,6.1,26,5.6,104.085335
22,78f08ecd-ad52-485c-834a-6fdb71461787,3/8/2016 22:56,7.7,31,16.9,412.2755
23,78f08ecd-ad52-485c-834a-6fdb71461787,3/8/2016 22:56,5.8,26,3.7,68.77067
24,78f08ecd-ad52-485c-834a-6fdb71461787,14/06/2016 20:32:36,8.666667,25,1.3,21.0
25,78f08ecd-ad52-485c-834a-6fdb71461787,14/06/2016 20:32:39,5.4,32,20.8,531.5787
26,78f08ecd-ad52-485c-834a-6fdb71461787,14/06/2016 20:33:29,6.8,32,19.5,498.355
27,78f08ecd-ad52-485c-834a-6fdb71461787,10/6/2016 20:52,6.0,41,20.3,510.0
28,78f08ecd-ad52-485c-834a-6fdb71461787,9/6/2016 21:43,6.9,30,22.3,518.10333
29,78f08ecd-ad52-485c-834a-6fdb71461787,9/6/2016 21:43,6.1,34,36.0,1003.68
30,78f08ecd-ad52-485c-834a-6fdb71461787,7/6/2016 20:52,7.2,30,36.0,836.4
31,78f08ecd-ad52-485c-834a-6fdb71461787,7/6/2016 20:51,6.7,35,31.7,920.62085
32,78f08ecd-ad52-485c-834a-6fdb71461787,6/6/2016 19:35,6.4,34,39.9,1112.412
33,78f08ecd-ad52-485c-834a-6fdb71461787,6/6/2016 19:34,6.0,36,47.9,1446.7396
34,78f08ecd-ad52-485c-834a-6fdb71461787,6/6/2016 19:35,6.5,34,16.6,462.80800000000005
35,78f08ecd-ad52-485c-834a-6fdb71461787,4/6/2016 20:03,5.7,35,41.1,1193.6125
36,78f08ecd-ad52-485c-834a-6fdb71461787,4/6/2016 20:03,7.2,33,36.0,961.86
37,78f08ecd-ad52-485c-834a-6fdb71461787,4/6/2016 20:02,6.4,33,48.9,1306.5265
38,78f08ecd-ad52-485c-834a-6fdb71461787,4/6/2016 20:03,6.2,35,38.0,1103.5834
39,78f08ecd-ad52-485c-834a-6fdb71461787,4/6/2016 20:03,7.4,31,13.6,331.772
40,78f08ecd-ad52-485c-834a-6fdb71461787,1/6/2016 16:30,4.8,22,16.2,225.828
