id,uid,time,data,temp,volume,energy
0,7c120a3f-1560-4ec8-ba90-5b1be6054100,30/08/2016 22:38:35,11.466666,35,8.6,221.0
1,7c120a3f-1560-4ec8-ba90-5b1be6054100,30/08/2016 00:37:27,15.0,29,3.1,70.0
2,7c120a3f-1560-4ec8-ba90-5b1be6054100,29/08/2016 22:20:15,7.125,30,34.2,847.0
3,7c120a3f-1560-4ec8-ba90-5b1be6054100,23/08/2016 19:53:27,9.0,30,0.3,6.0
4,7c120a3f-1560-4ec8-ba90-5b1be6054100,23/08/2016 14:31:06,9.333333,28,1.4,29.0
5,7c120a3f-1560-4ec8-ba90-5b1be6054100,23/08/2016 14:32:43,7.9,28,13.6,284.376
6,7c120a3f-1560-4ec8-ba90-5b1be6054100,23/08/2016 14:20:53,2.88,27,1.2,23.0
7,7c120a3f-1560-4ec8-ba90-5b1be6054100,23/08/2016 14:33:01,5.3,27,3.1,61.219832999999994
8,7c120a3f-1560-4ec8-ba90-5b1be6054100,23/08/2016 14:33:07,11.0,32,26.4,674.696
9,7c120a3f-1560-4ec8-ba90-5b1be6054100,23/08/2016 14:34:10,10.9,33,12.5,333.97916000000004
10,7c120a3f-1560-4ec8-ba90-5b1be6054100,23/08/2016 14:32:38,4.9,25,5.6,97.58
