id,uid,time,data,temp,volume,energy
0,80497346-77c7-426b-9a84-d4f6abdd6fbe,27/09/2016 22:40:37,8.9,35,14.4,418.2
1,80497346-77c7-426b-9a84-d4f6abdd6fbe,27/09/2016 22:32:45,9.5,38,71.0,2309.3933
2,80497346-77c7-426b-9a84-d4f6abdd6fbe,27/09/2016 22:41:29,9.7,34,71.9,2004.5720000000001
3,80497346-77c7-426b-9a84-d4f6abdd6fbe,27/09/2016 22:41:40,8.5,34,26.1,727.668
4,80497346-77c7-426b-9a84-d4f6abdd6fbe,27/09/2016 22:33:07,9.2,37,71.0,2226.915
5,80497346-77c7-426b-9a84-d4f6abdd6fbe,27/09/2016 22:41:52,6.5,26,2.5,46.466667
6,80497346-77c7-426b-9a84-d4f6abdd6fbe,27/09/2016 22:42:03,10.1,32,42.1,1075.9357
7,80497346-77c7-426b-9a84-d4f6abdd6fbe,27/09/2016 22:35:04,8.9,35,19.5,566.3125
8,80497346-77c7-426b-9a84-d4f6abdd6fbe,27/09/2016 22:36:41,10.7,35,29.1,845.1125
9,80497346-77c7-426b-9a84-d4f6abdd6fbe,27/09/2016 22:36:52,5.8,36,25.0,755.0833
10,80497346-77c7-426b-9a84-d4f6abdd6fbe,27/09/2016 22:39:28,9.9,33,52.4,1400.0406
11,80497346-77c7-426b-9a84-d4f6abdd6fbe,27/09/2016 22:39:34,7.5,34,66.3,1848.444
12,80497346-77c7-426b-9a84-d4f6abdd6fbe,27/09/2016 22:39:45,8.5,35,23.2,673.76666
13,80497346-77c7-426b-9a84-d4f6abdd6fbe,27/09/2016 22:39:51,9.5,36,54.8,1655.1427
14,80497346-77c7-426b-9a84-d4f6abdd6fbe,15/08/2016 19:46:01,8.616541,41,19.1,602.0
15,80497346-77c7-426b-9a84-d4f6abdd6fbe,15/08/2016 19:44:28,7.6,36,8.1,244.64700000000002
16,80497346-77c7-426b-9a84-d4f6abdd6fbe,15/08/2016 19:44:53,10.1,38,54.5,1772.7034
17,80497346-77c7-426b-9a84-d4f6abdd6fbe,15/08/2016 19:45:06,9.4,37,56.2,1762.713
18,80497346-77c7-426b-9a84-d4f6abdd6fbe,7/8/2016 19:49,10.125,42,64.0,1873.0
19,80497346-77c7-426b-9a84-d4f6abdd6fbe,15/08/2016 19:45:31,10.0,35,37.7,1094.8708
20,80497346-77c7-426b-9a84-d4f6abdd6fbe,7/8/2016 19:38,8.4,29,3.9,86.0795
21,80497346-77c7-426b-9a84-d4f6abdd6fbe,7/8/2016 19:38,9.2,35,55.2,1603.1
22,80497346-77c7-426b-9a84-d4f6abdd6fbe,7/8/2016 19:39,9.9,36,6.6,199.342
23,80497346-77c7-426b-9a84-d4f6abdd6fbe,7/8/2016 19:40,7.3,29,5.8,128.01567
24,80497346-77c7-426b-9a84-d4f6abdd6fbe,7/8/2016 19:40,8.8,40,64.6,2251.31
25,80497346-77c7-426b-9a84-d4f6abdd6fbe,7/8/2016 19:41,10.0,35,47.6,1382.3833
26,80497346-77c7-426b-9a84-d4f6abdd6fbe,7/8/2016 19:45,9.9,37,75.9,2380.6035
27,80497346-77c7-426b-9a84-d4f6abdd6fbe,7/8/2016 19:45,9.7,35,50.8,1475.3167
28,80497346-77c7-426b-9a84-d4f6abdd6fbe,7/8/2016 19:46,9.4,34,22.6,630.0880000000001
29,80497346-77c7-426b-9a84-d4f6abdd6fbe,7/8/2016 19:46,8.6,37,8.7,272.8755
30,80497346-77c7-426b-9a84-d4f6abdd6fbe,7/8/2016 19:46,8.7,32,10.9,278.56766
31,80497346-77c7-426b-9a84-d4f6abdd6fbe,20/07/2016 20:24:42,9.310345,28,4.5,92.0
32,80497346-77c7-426b-9a84-d4f6abdd6fbe,7/8/2016 19:49,8.6,35,23.2,673.76666
33,80497346-77c7-426b-9a84-d4f6abdd6fbe,18/07/2016 13:20:03,9.75,39,9.1,222.0
34,80497346-77c7-426b-9a84-d4f6abdd6fbe,18/07/2016 13:19:23,8.7,36,33.9,1023.893
35,80497346-77c7-426b-9a84-d4f6abdd6fbe,18/07/2016 13:19:48,8.7,38,19.4,631.01733
36,80497346-77c7-426b-9a84-d4f6abdd6fbe,18/07/2016 13:23:08,9.1,39,63.5,2139.2092
37,80497346-77c7-426b-9a84-d4f6abdd6fbe,14/07/2016 21:55:16,8.8,39,38.4,1138.0
38,80497346-77c7-426b-9a84-d4f6abdd6fbe,14/07/2016 21:47:13,9.6,37,66.2,2076.363
39,80497346-77c7-426b-9a84-d4f6abdd6fbe,18/07/2016 13:24:10,9.7,38,71.3,2319.1514
40,80497346-77c7-426b-9a84-d4f6abdd6fbe,14/07/2016 21:50:11,8.0,37,13.8,432.837
41,80497346-77c7-426b-9a84-d4f6abdd6fbe,20/07/2016 20:32:08,8.3,35,81.7,2372.7039999999997
42,80497346-77c7-426b-9a84-d4f6abdd6fbe,14/07/2016 21:50:36,9.3,36,59.3,1791.0576
43,80497346-77c7-426b-9a84-d4f6abdd6fbe,14/07/2016 21:50:48,8.0,38,71.2,2315.8987
44,80497346-77c7-426b-9a84-d4f6abdd6fbe,20/07/2016 20:33:11,9.0,36,26.6,803.4087
45,80497346-77c7-426b-9a84-d4f6abdd6fbe,14/07/2016 21:54:58,8.4,38,63.8,2075.2014
46,80497346-77c7-426b-9a84-d4f6abdd6fbe,14/07/2016 21:55:11,9.5,35,60.4,1754.1167
47,80497346-77c7-426b-9a84-d4f6abdd6fbe,12/6/2016 18:05,2.0429752,26,20.6,582.0
