id,uid,time,data,temp,volume,energy
0,88140e6f-8239-4114-a703-42c1365a19c2,27/10/2016 08:35:05,10.918033,35,11.9,321.0
1,88140e6f-8239-4114-a703-42c1365a19c2,27/10/2016 08:34:20,9.1,33,46.1,1231.7152
2,88140e6f-8239-4114-a703-42c1365a19c2,27/10/2016 08:34:33,9.4,34,35.4,986.952
3,88140e6f-8239-4114-a703-42c1365a19c2,27/10/2016 08:34:46,8.2,32,39.7,1014.5997
4,88140e6f-8239-4114-a703-42c1365a19c2,27/10/2016 08:34:58,8.5,32,37.1,948.15234
5,88140e6f-8239-4114-a703-42c1365a19c2,27/10/2016 08:35:35,7.6,33,31.4,838.9557
6,88140e6f-8239-4114-a703-42c1365a19c2,27/10/2016 08:36:00,7.8,32,34.6,884.2607
7,88140e6f-8239-4114-a703-42c1365a19c2,27/10/2016 08:36:38,7.9,33,41.7,1114.1545
8,88140e6f-8239-4114-a703-42c1365a19c2,27/10/2016 08:37:03,7.9,35,58.1,1687.3208
9,88140e6f-8239-4114-a703-42c1365a19c2,25/09/2016 20:34:37,6.0,27,1.4,24.0
10,88140e6f-8239-4114-a703-42c1365a19c2,27/10/2016 08:37:40,6.2,33,36.7,980.5628
11,88140e6f-8239-4114-a703-42c1365a19c2,27/10/2016 08:37:53,4.6,33,17.1,456.8835
12,88140e6f-8239-4114-a703-42c1365a19c2,27/10/2016 08:38:30,6.9,33,26.2,700.0203
13,88140e6f-8239-4114-a703-42c1365a19c2,27/10/2016 08:39:33,7.4,34,31.5,878.22
14,88140e6f-8239-4114-a703-42c1365a19c2,25/09/2016 20:39:40,6.9,32,40.5,1035.045
15,88140e6f-8239-4114-a703-42c1365a19c2,31/08/2016 19:53:29,5.3333335,27,2.4,47.0
16,88140e6f-8239-4114-a703-42c1365a19c2,31/08/2016 19:53:11,8.3,33,28.7,766.81616
17,88140e6f-8239-4114-a703-42c1365a19c2,25/09/2016 20:41:07,7.5,25,4.6,80.155
18,88140e6f-8239-4114-a703-42c1365a19c2,21/08/2016 21:12:00,0.40816328,28,1.0,21.0
19,88140e6f-8239-4114-a703-42c1365a19c2,21/08/2016 21:12:03,6.9,34,31.7,883.796
20,88140e6f-8239-4114-a703-42c1365a19c2,12/8/2016 19:30,9.0,33,9.4,240.0
21,88140e6f-8239-4114-a703-42c1365a19c2,12/8/2016 19:29,9.0,33,33.6,897.7360000000001
22,88140e6f-8239-4114-a703-42c1365a19c2,5/8/2016 13:24,8.153846000000001,34,14.1,345.0
23,88140e6f-8239-4114-a703-42c1365a19c2,12/8/2016 19:29,8.5,35,49.0,1423.0416
24,88140e6f-8239-4114-a703-42c1365a19c2,12/8/2016 19:29,8.4,34,49.0,1366.12
25,88140e6f-8239-4114-a703-42c1365a19c2,5/8/2016 13:23,8.2,33,49.0,1309.1984
26,88140e6f-8239-4114-a703-42c1365a19c2,5/8/2016 13:23,7.0,34,36.1,1006.4680000000001
27,88140e6f-8239-4114-a703-42c1365a19c2,5/8/2016 13:23,7.7,34,30.7,855.916
28,88140e6f-8239-4114-a703-42c1365a19c2,5/8/2016 13:23,8.7,34,39.9,1112.412
29,88140e6f-8239-4114-a703-42c1365a19c2,12/8/2016 19:31,8.1,33,31.1,830.9402
30,88140e6f-8239-4114-a703-42c1365a19c2,5/8/2016 13:24,6.8,34,26.4,736.0319999999999
31,88140e6f-8239-4114-a703-42c1365a19c2,12/8/2016 19:31,9.6,32,31.3,799.92365
32,88140e6f-8239-4114-a703-42c1365a19c2,19/07/2016 09:19:17,7.5454545,36,12.8,346.0
33,88140e6f-8239-4114-a703-42c1365a19c2,19/07/2016 09:21:19,8.7,33,40.0,1068.7333
34,88140e6f-8239-4114-a703-42c1365a19c2,30/06/2016 19:03:39,1.5773196000000003,26,5.1,93.0
35,88140e6f-8239-4114-a703-42c1365a19c2,30/06/2016 19:02:46,8.9,33,38.6,1031.3276
36,88140e6f-8239-4114-a703-42c1365a19c2,5/8/2016 13:25,8.6,33,42.7,1140.8728
37,88140e6f-8239-4114-a703-42c1365a19c2,27/06/2016 21:23:57,6.0,25,0.2,3.0
38,88140e6f-8239-4114-a703-42c1365a19c2,30/06/2016 19:03:50,8.7,34,39.3,1095.684
39,88140e6f-8239-4114-a703-42c1365a19c2,19/07/2016 09:18:21,8.9,33,41.7,1114.1545
40,88140e6f-8239-4114-a703-42c1365a19c2,5/8/2016 13:26,11.1,33,51.4,1373.3224
41,88140e6f-8239-4114-a703-42c1365a19c2,12/8/2016 19:34,9.7,33,41.7,1114.1545
42,88140e6f-8239-4114-a703-42c1365a19c2,12/8/2016 19:34,9.6,33,37.4,999.2657
43,88140e6f-8239-4114-a703-42c1365a19c2,15/06/2016 12:55:01,10.163264999999999,35,12.7,342.0
44,88140e6f-8239-4114-a703-42c1365a19c2,13/06/2016 11:11:29,10.0,34,6.7,164.0
45,88140e6f-8239-4114-a703-42c1365a19c2,15/06/2016 12:54:04,7.5,33,33.0,881.705
46,88140e6f-8239-4114-a703-42c1365a19c2,15/06/2016 12:54:16,7.1,33,40.6,1084.7643
47,88140e6f-8239-4114-a703-42c1365a19c2,13/06/2016 11:11:21,7.6,33,44.7,1194.3094
48,88140e6f-8239-4114-a703-42c1365a19c2,15/06/2016 12:54:41,7.9,33,27.0,721.395
49,88140e6f-8239-4114-a703-42c1365a19c2,6/6/2016 9:42,7.4117646,38,9.2,211.0
50,88140e6f-8239-4114-a703-42c1365a19c2,13/06/2016 11:11:58,7.2,34,27.3,761.1239999999999
51,88140e6f-8239-4114-a703-42c1365a19c2,2/6/2016 13:01,10.918033,42,41.7,1139.0
52,88140e6f-8239-4114-a703-42c1365a19c2,1/6/2016 18:40,9.428572,22,3.3,46.0
53,88140e6f-8239-4114-a703-42c1365a19c2,1/6/2016 18:40,8.1,34,37.6,1048.288
54,88140e6f-8239-4114-a703-42c1365a19c2,2/6/2016 12:55,7.6,32,44.8,1144.9387
55,88140e6f-8239-4114-a703-42c1365a19c2,15/06/2016 12:56:34,9.0,33,36.4,972.5473599999999
56,88140e6f-8239-4114-a703-42c1365a19c2,2/6/2016 12:55,10.2,33,43.0,1148.8883
57,88140e6f-8239-4114-a703-42c1365a19c2,19/07/2016 09:20:33,8.0,33,40.3,1076.7488
58,88140e6f-8239-4114-a703-42c1365a19c2,15/06/2016 12:57:24,7.8,33,36.3,969.8755
59,88140e6f-8239-4114-a703-42c1365a19c2,2/6/2016 12:56,7.5,25,1.5,26.1375
60,88140e6f-8239-4114-a703-42c1365a19c2,13/06/2016 11:14:53,8.1,33,54.7,1461.4928
61,88140e6f-8239-4114-a703-42c1365a19c2,2/6/2016 12:57,8.3,34,47.7,1329.876
62,88140e6f-8239-4114-a703-42c1365a19c2,13/06/2016 11:15:56,8.5,33,37.7,1007.2812
63,88140e6f-8239-4114-a703-42c1365a19c2,13/06/2016 11:16:33,8.3,33,36.8,983.2347
64,88140e6f-8239-4114-a703-42c1365a19c2,13/06/2016 11:16:46,9.0,33,66.7,1782.1128
65,88140e6f-8239-4114-a703-42c1365a19c2,13/04/2016 16:59:32,84.666664,27,12.7,124.0
66,88140e6f-8239-4114-a703-42c1365a19c2,13/04/2016 16:59:40,69.333336,25,14.2,247.435
