id,uid,time,data,temp,volume,energy
0,8b857ef7-bd15-4ecd-8457-1228d645188a,26/10/2016 19:14:04,6.1,30,14.7,341.53
1,8b857ef7-bd15-4ecd-8457-1228d645188a,26/10/2016 19:15:42,10.6,22,2.3,32.062
2,8b857ef7-bd15-4ecd-8457-1228d645188a,21/09/2016 23:55:47,6.352941,26,5.6,94.0
3,8b857ef7-bd15-4ecd-8457-1228d645188a,21/09/2016 23:55:16,10.3,24,5.3,86.19566
4,8b857ef7-bd15-4ecd-8457-1228d645188a,18/07/2016 21:43:48,6.2727275,42,22.4,614.0
5,8b857ef7-bd15-4ecd-8457-1228d645188a,18/07/2016 21:40:18,7.8,34,11.0,306.68
6,8b857ef7-bd15-4ecd-8457-1228d645188a,17/07/2016 23:59:14,3.0,26,0.1,1.0
7,8b857ef7-bd15-4ecd-8457-1228d645188a,17/07/2016 23:59:30,8.5,29,22.8,503.23400000000004
8,8b857ef7-bd15-4ecd-8457-1228d645188a,16/07/2016 20:13:58,7.8125,30,12.5,313.0
9,8b857ef7-bd15-4ecd-8457-1228d645188a,16/07/2016 20:01:20,6.2842107,34,19.9,513.0
10,8b857ef7-bd15-4ecd-8457-1228d645188a,17/07/2016 23:59:47,8.7,30,14.6,339.20667000000003
11,8b857ef7-bd15-4ecd-8457-1228d645188a,17/07/2016 23:59:53,6.0,35,13.0,377.54166000000004
12,8b857ef7-bd15-4ecd-8457-1228d645188a,17/07/2016 23:59:59,8.9,30,15.8,367.08667
13,8b857ef7-bd15-4ecd-8457-1228d645188a,18/07/2016 00:00:04,7.7,31,18.5,451.3075
14,8b857ef7-bd15-4ecd-8457-1228d645188a,16/07/2016 19:59:50,5.4,35,13.9,403.67917
15,8b857ef7-bd15-4ecd-8457-1228d645188a,16/07/2016 20:00:02,8.8,31,22.6,551.327
16,8b857ef7-bd15-4ecd-8457-1228d645188a,16/07/2016 20:00:15,5.6,34,12.3,342.92400000000004
17,8b857ef7-bd15-4ecd-8457-1228d645188a,16/07/2016 20:00:27,8.0,33,16.2,432.837
18,8b857ef7-bd15-4ecd-8457-1228d645188a,16/07/2016 20:00:40,7.9,31,23.8,580.601
19,8b857ef7-bd15-4ecd-8457-1228d645188a,16/07/2016 20:00:52,5.3,32,12.2,311.79132000000004
20,8b857ef7-bd15-4ecd-8457-1228d645188a,16/07/2016 20:01:05,6.1,34,19.4,540.872
21,8b857ef7-bd15-4ecd-8457-1228d645188a,21/06/2016 23:07:04,4.571429,41,10.4,330.0
22,8b857ef7-bd15-4ecd-8457-1228d645188a,21/06/2016 22:51:15,5.571429,34,13.8,292.0
23,8b857ef7-bd15-4ecd-8457-1228d645188a,21/06/2016 22:47:07,7.8,31,9.5,231.7525
24,8b857ef7-bd15-4ecd-8457-1228d645188a,21/06/2016 22:49:34,7.0,33,33.0,881.705
25,8b857ef7-bd15-4ecd-8457-1228d645188a,21/06/2016 23:06:21,8.2,25,1.5,26.1375
26,8b857ef7-bd15-4ecd-8457-1228d645188a,21/06/2016 22:50:38,6.4,34,24.4,680.2719999999999
