id,uid,time,data,temp,volume,energy
0,92076c8e-cb87-4607-b752-9a32d8530458,25/02/2017 19:18:14,7.9,35,65.3,1896.4208
1,92076c8e-cb87-4607-b752-9a32d8530458,25/02/2017 19:48:51,6.8,31,6.3,153.6885
2,92076c8e-cb87-4607-b752-9a32d8530458,17/02/2017 18:43:05,7.1,37,60.4,1894.4460000000001
3,92076c8e-cb87-4607-b752-9a32d8530458,17/02/2017 18:44:50,6.8,33,25.7,686.6612
4,92076c8e-cb87-4607-b752-9a32d8530458,25/02/2017 19:14:02,7.0,31,3.6,87.822
5,92076c8e-cb87-4607-b752-9a32d8530458,25/02/2017 19:14:15,7.1,30,2.0,46.466667
6,92076c8e-cb87-4607-b752-9a32d8530458,25/02/2017 19:14:27,8.2,38,9.0,292.74
7,92076c8e-cb87-4607-b752-9a32d8530458,25/02/2017 19:14:52,7.9,36,7.8,235.58599999999998
8,92076c8e-cb87-4607-b752-9a32d8530458,25/02/2017 19:15:04,7.3,32,16.0,408.90668
9,92076c8e-cb87-4607-b752-9a32d8530458,17/02/2017 18:38:48,7.7,29,1.8,39.729
10,92076c8e-cb87-4607-b752-9a32d8530458,17/02/2017 18:39:01,7.2,36,5.4,163.09799999999998
11,92076c8e-cb87-4607-b752-9a32d8530458,17/02/2017 18:39:26,7.0,41,12.4,446.54467999999997
12,92076c8e-cb87-4607-b752-9a32d8530458,25/02/2017 19:16:19,8.0,37,45.1,1414.5615
13,92076c8e-cb87-4607-b752-9a32d8530458,25/02/2017 19:16:32,7.2,36,1.8,54.36600000000001
14,92076c8e-cb87-4607-b752-9a32d8530458,17/02/2017 18:40:15,6.4,27,11.9,235.00517000000002
15,92076c8e-cb87-4607-b752-9a32d8530458,17/02/2017 18:40:28,6.3,34,2.0,55.76
16,92076c8e-cb87-4607-b752-9a32d8530458,25/02/2017 19:17:21,7.7,37,59.0,1850.535
17,92076c8e-cb87-4607-b752-9a32d8530458,17/02/2017 18:40:53,7.9,35,37.2,1080.35
18,92076c8e-cb87-4607-b752-9a32d8530458,25/02/2017 19:13:40,7.6,33,90.6,2420.681
19,92076c8e-cb87-4607-b752-9a32d8530458,25/02/2017 19:13:40,7.4,38,65.3,2123.9915
20,92076c8e-cb87-4607-b752-9a32d8530458,13/01/2017 21:26:04,7.9,36,4.5,135.915
21,92076c8e-cb87-4607-b752-9a32d8530458,13/01/2017 21:11:48,8.3,35,87.7,2546.9539999999997
22,92076c8e-cb87-4607-b752-9a32d8530458,13/01/2017 21:15:45,6.3,34,1.9,52.972
23,92076c8e-cb87-4607-b752-9a32d8530458,17/02/2017 18:42:20,6.9,38,5.4,175.644
24,92076c8e-cb87-4607-b752-9a32d8530458,13/01/2017 21:16:10,5.3,38,48.0,1561.28
25,92076c8e-cb87-4607-b752-9a32d8530458,13/01/2017 21:16:23,6.5,34,76.4,2130.032
26,92076c8e-cb87-4607-b752-9a32d8530458,13/01/2017 21:16:35,5.9,32,4.1,104.78233
27,92076c8e-cb87-4607-b752-9a32d8530458,13/01/2017 21:16:48,1.5,37,11.4,357.561
28,92076c8e-cb87-4607-b752-9a32d8530458,2/1/2017 17:32,6.3,36,58.5,1766.895
29,92076c8e-cb87-4607-b752-9a32d8530458,2/1/2017 17:32,7.0,19,13.4,140.097
30,92076c8e-cb87-4607-b752-9a32d8530458,2/1/2017 17:32,6.1,35,94.5,2744.4375
31,92076c8e-cb87-4607-b752-9a32d8530458,2/1/2017 17:32,7.1,22,6.7,93.398
32,92076c8e-cb87-4607-b752-9a32d8530458,2/1/2017 17:32,7.0,32,28.1,718.14233
33,92076c8e-cb87-4607-b752-9a32d8530458,2/1/2017 17:32,7.0,35,51.3,1489.8375
34,92076c8e-cb87-4607-b752-9a32d8530458,20/12/2016 20:30:03,5.3,34,4.1,114.30799999999999
35,92076c8e-cb87-4607-b752-9a32d8530458,2/1/2017 17:33,6.6,34,48.4,1349.392
36,92076c8e-cb87-4607-b752-9a32d8530458,2/1/2017 17:33,6.8,28,6.0,125.46
37,92076c8e-cb87-4607-b752-9a32d8530458,13/01/2017 21:11:08,6.5,37,45.5,1427.1075
38,92076c8e-cb87-4607-b752-9a32d8530458,2/1/2017 17:33,6.0,32,13.0,332.23666000000003
39,92076c8e-cb87-4607-b752-9a32d8530458,27/11/2016 11:57:55,6.2,30,3.0,69.7
40,92076c8e-cb87-4607-b752-9a32d8530458,27/11/2016 11:57:40,7.1,34,48.9,1363.332
41,92076c8e-cb87-4607-b752-9a32d8530458,27/11/2016 11:57:52,6.0,32,6.4,163.56267
42,92076c8e-cb87-4607-b752-9a32d8530458,2/1/2017 17:32,7.4,37,54.9,1721.9385
43,92076c8e-cb87-4607-b752-9a32d8530458,16/11/2016 20:37:07,6.9,33,36.7,980.5628
44,92076c8e-cb87-4607-b752-9a32d8530458,16/11/2016 19:38:33,7.4,34,71.8,2001.7839999999999
