id,uid,time,data,temp,volume,energy
0,9769eac0-eb09-453f-b178-82045d84e3f5,1/9/2016 22:41,6.3,33,15.0,400.775
1,9769eac0-eb09-453f-b178-82045d84e3f5,1/9/2016 22:42,6.4,32,12.3,314.347
2,9769eac0-eb09-453f-b178-82045d84e3f5,31/08/2016 21:24:21,3.4615386,29,3.2,67.0
3,9769eac0-eb09-453f-b178-82045d84e3f5,31/08/2016 21:22:59,7.6,30,25.1,583.1567
4,9769eac0-eb09-453f-b178-82045d84e3f5,29/08/2016 20:41:54,4.285714,39,5.9,156.0
5,9769eac0-eb09-453f-b178-82045d84e3f5,29/08/2016 20:40:20,5.6,28,6.1,127.551
6,9769eac0-eb09-453f-b178-82045d84e3f5,31/08/2016 21:24:10,8.1,30,23.7,550.63
7,9769eac0-eb09-453f-b178-82045d84e3f5,28/08/2016 20:00:38,4.5,31,3.4,78.0
8,9769eac0-eb09-453f-b178-82045d84e3f5,29/08/2016 20:41:44,6.9,33,18.4,491.61734
9,9769eac0-eb09-453f-b178-82045d84e3f5,28/08/2016 20:00:28,6.3,30,10.4,241.62666000000002
10,9769eac0-eb09-453f-b178-82045d84e3f5,28/08/2016 20:00:40,5.8,29,14.0,309.00333
11,9769eac0-eb09-453f-b178-82045d84e3f5,6/8/2016 21:22,4.5,28,2.3,47.0
12,9769eac0-eb09-453f-b178-82045d84e3f5,5/8/2016 20:59,3.4146342000000005,28,7.0,144.0
13,9769eac0-eb09-453f-b178-82045d84e3f5,6/8/2016 21:22,6.5,28,4.8,100.368
14,9769eac0-eb09-453f-b178-82045d84e3f5,4/8/2016 23:46,6.7826085,29,5.3,114.0
15,9769eac0-eb09-453f-b178-82045d84e3f5,4/8/2016 21:41,4.0,29,1.0,21.0
16,9769eac0-eb09-453f-b178-82045d84e3f5,4/8/2016 21:40,7.3,32,13.7,350.12633999999997
17,9769eac0-eb09-453f-b178-82045d84e3f5,4/8/2016 21:42,6.3,28,4.4,92.00399999999999
18,9769eac0-eb09-453f-b178-82045d84e3f5,4/8/2016 21:42,7.8,31,30.4,741.6080000000001
19,9769eac0-eb09-453f-b178-82045d84e3f5,4/8/2016 21:42,9.1,28,10.5,219.555
20,9769eac0-eb09-453f-b178-82045d84e3f5,27/06/2016 00:58:51,4.8,34,4.3,93.0
21,9769eac0-eb09-453f-b178-82045d84e3f5,27/06/2016 00:58:11,4.6,26,4.4,81.781334
22,9769eac0-eb09-453f-b178-82045d84e3f5,25/06/2016 23:26:33,4.181818,35,7.5,193.0
23,9769eac0-eb09-453f-b178-82045d84e3f5,25/06/2016 18:30:37,4.304348,27,4.3,81.0
24,9769eac0-eb09-453f-b178-82045d84e3f5,25/06/2016 18:29:49,6.2,34,25.5,710.94
25,9769eac0-eb09-453f-b178-82045d84e3f5,25/06/2016 18:30:02,7.7,33,12.7,339.32285
26,9769eac0-eb09-453f-b178-82045d84e3f5,24/06/2016 12:12:25,4.4,33,4.3,94.0
27,9769eac0-eb09-453f-b178-82045d84e3f5,24/06/2016 12:11:40,5.2,32,8.5,217.23167
28,9769eac0-eb09-453f-b178-82045d84e3f5,24/06/2016 12:11:53,3.8,27,3.6,71.094
29,9769eac0-eb09-453f-b178-82045d84e3f5,24/06/2016 12:12:05,5.1,32,13.8,352.68199999999996
30,9769eac0-eb09-453f-b178-82045d84e3f5,24/06/2016 12:12:18,6.4,33,19.0,507.64835
31,9769eac0-eb09-453f-b178-82045d84e3f5,21/06/2016 23:14:34,6.0,38,6.7,142.0
32,9769eac0-eb09-453f-b178-82045d84e3f5,21/06/2016 23:13:12,6.8,34,13.3,370.80400000000003
33,9769eac0-eb09-453f-b178-82045d84e3f5,20/06/2016 22:29:03,6.181818,35,3.4,81.0
34,9769eac0-eb09-453f-b178-82045d84e3f5,20/06/2016 22:28:43,5.7,32,4.5,115.005
35,9769eac0-eb09-453f-b178-82045d84e3f5,20/06/2016 22:28:56,5.1,33,3.6,96.186
36,9769eac0-eb09-453f-b178-82045d84e3f5,19/06/2016 11:03:07,2.894309,25,17.8,422.0
37,9769eac0-eb09-453f-b178-82045d84e3f5,19/06/2016 10:41:45,3.6666667,28,1.1,20.0
38,9769eac0-eb09-453f-b178-82045d84e3f5,18/06/2016 23:45:21,5.5,39,4.9,106.0
39,9769eac0-eb09-453f-b178-82045d84e3f5,18/06/2016 22:25:43,4.2272725,33,3.1,61.0
40,9769eac0-eb09-453f-b178-82045d84e3f5,18/06/2016 11:39:30,3.6,33,6.2,131.0
41,9769eac0-eb09-453f-b178-82045d84e3f5,17/06/2016 22:53:00,6.0,40,8.3,214.0
42,9769eac0-eb09-453f-b178-82045d84e3f5,17/06/2016 22:51:18,6.5,36,12.0,362.44
43,9769eac0-eb09-453f-b178-82045d84e3f5,17/06/2016 22:51:30,4.7,34,10.6,295.528
44,9769eac0-eb09-453f-b178-82045d84e3f5,17/06/2016 13:43:52,4.0,27,0.6,11.0
45,9769eac0-eb09-453f-b178-82045d84e3f5,16/06/2016 22:55:12,4.8,33,1.2,30.0
46,9769eac0-eb09-453f-b178-82045d84e3f5,16/06/2016 22:20:11,4.285714,41,5.8,123.0
47,9769eac0-eb09-453f-b178-82045d84e3f5,15/06/2016 16:42:15,4.285714,31,3.8,86.0
48,9769eac0-eb09-453f-b178-82045d84e3f5,13/06/2016 22:10:04,4.2,27,3.4,66.0
49,9769eac0-eb09-453f-b178-82045d84e3f5,13/06/2016 08:31:10,4.2,26,1.6,29.0
50,9769eac0-eb09-453f-b178-82045d84e3f5,12/6/2016 23:14,4.0,30,1.5,31.0
51,9769eac0-eb09-453f-b178-82045d84e3f5,12/6/2016 22:03,4.3636365,38,5.6,112.0
52,9769eac0-eb09-453f-b178-82045d84e3f5,16/06/2016 22:20:01,8.8,31,12.9,314.6955
53,9769eac0-eb09-453f-b178-82045d84e3f5,11/6/2016 16:17,4.5652175,29,3.7,69.0
