id,uid,time,data,temp,volume,energy
0,a8543cb6-6978-45d9-b7ac-ad2d85543f5b,2/9/2016 8:45,14.3,35,47.1,1367.8625
1,a8543cb6-6978-45d9-b7ac-ad2d85543f5b,2/9/2016 8:45,13.7,33,61.0,1629.8184
2,a8543cb6-6978-45d9-b7ac-ad2d85543f5b,2/9/2016 8:45,10.1,26,6.4,118.95466599999999
3,a8543cb6-6978-45d9-b7ac-ad2d85543f5b,17/07/2016 21:46:58,15.123967000000002,37,30.5,816.0
4,a8543cb6-6978-45d9-b7ac-ad2d85543f5b,17/07/2016 21:45:25,15.8,35,59.1,1716.3625
5,a8543cb6-6978-45d9-b7ac-ad2d85543f5b,17/07/2016 21:45:38,15.9,31,40.2,980.679
6,a8543cb6-6978-45d9-b7ac-ad2d85543f5b,17/07/2016 21:46:15,12.6,26,2.1,39.032
7,a8543cb6-6978-45d9-b7ac-ad2d85543f5b,17/07/2016 21:46:28,16.0,35,92.0,2671.8333
8,a8543cb6-6978-45d9-b7ac-ad2d85543f5b,17/07/2016 21:46:40,15.3,30,101.9,2367.4766
9,a8543cb6-6978-45d9-b7ac-ad2d85543f5b,17/07/2016 21:46:52,16.0,35,59.1,1716.3625
10,a8543cb6-6978-45d9-b7ac-ad2d85543f5b,28/06/2016 09:12:12,16.285715,26,11.7,212.0
11,a8543cb6-6978-45d9-b7ac-ad2d85543f5b,28/06/2016 09:11:39,15.7,35,128.0,3717.3333
12,a8543cb6-6978-45d9-b7ac-ad2d85543f5b,28/06/2016 09:11:52,16.1,35,48.6,1411.425
13,a8543cb6-6978-45d9-b7ac-ad2d85543f5b,28/06/2016 09:12:04,15.4,32,104.7,2675.783
14,a8543cb6-6978-45d9-b7ac-ad2d85543f5b,23/05/2016 23:57:36,9.133333,31,13.7,297.0
