id,uid,time,data,temp,volume,energy
0,b01d255a-3a9f-45bb-93d4-611f75f2f205,24/09/2016 12:38:25,4.7,37,46.1,1445.9265
1,b01d255a-3a9f-45bb-93d4-611f75f2f205,24/09/2016 12:38:31,5.8,28,7.4,154.734
2,b01d255a-3a9f-45bb-93d4-611f75f2f205,24/09/2016 12:38:37,6.5,37,35.2,1104.048
3,b01d255a-3a9f-45bb-93d4-611f75f2f205,24/09/2016 12:38:43,5.6,38,54.4,1769.4507
4,b01d255a-3a9f-45bb-93d4-611f75f2f205,24/09/2016 12:38:48,5.3,35,33.4,969.9916400000001
5,b01d255a-3a9f-45bb-93d4-611f75f2f205,24/09/2016 12:37:27,9.4,27,5.0,98.74167
6,b01d255a-3a9f-45bb-93d4-611f75f2f205,24/09/2016 12:37:45,7.2,37,27.5,862.5375
7,b01d255a-3a9f-45bb-93d4-611f75f2f205,24/09/2016 12:37:51,6.3,36,38.1,1150.747
8,b01d255a-3a9f-45bb-93d4-611f75f2f205,24/09/2016 12:37:56,6.9,35,26.8,778.31665
9,b01d255a-3a9f-45bb-93d4-611f75f2f205,24/09/2016 12:38:02,7.3,36,35.6,1075.2386
10,b01d255a-3a9f-45bb-93d4-611f75f2f205,24/09/2016 12:38:14,6.9,33,18.8,502.30465999999996
11,b01d255a-3a9f-45bb-93d4-611f75f2f205,24/09/2016 12:38:20,6.9,33,16.4,438.18066
