id,uid,time,data,temp,volume,energy
0,b2922d5f-9403-4d34-a440-d21f261a80ec,27/02/2017 19:32:57,9.5,33,33.7,900.4078400000001
1,b2922d5f-9403-4d34-a440-d21f261a80ec,27/02/2017 19:05:25,9.1,35,87.4,2538.2417
2,b2922d5f-9403-4d34-a440-d21f261a80ec,27/02/2017 19:04:01,8.9,35,78.3,2273.9624
3,b2922d5f-9403-4d34-a440-d21f261a80ec,24/02/2017 16:42:36,8.8,39,29.5,993.80585
4,b2922d5f-9403-4d34-a440-d21f261a80ec,24/02/2017 16:35:15,9.2,32,52.9,1351.9476
5,b2922d5f-9403-4d34-a440-d21f261a80ec,24/02/2017 16:39:44,9.2,33,66.4,1774.0973
6,b2922d5f-9403-4d34-a440-d21f261a80ec,23/02/2017 07:39:15,9.1,34,90.1,2511.988
7,b2922d5f-9403-4d34-a440-d21f261a80ec,22/02/2017 07:41:19,8.9,38,48.4,1574.2906
8,b2922d5f-9403-4d34-a440-d21f261a80ec,22/02/2017 07:29:43,9.3,30,45.5,1057.1167
9,b2922d5f-9403-4d34-a440-d21f261a80ec,24/02/2017 16:30:56,8.3,32,147.1,3759.3857
10,b2922d5f-9403-4d34-a440-d21f261a80ec,24/02/2017 16:31:08,8.8,37,17.1,536.3415
11,b2922d5f-9403-4d34-a440-d21f261a80ec,23/02/2017 07:35:23,9.4,31,35.4,863.5830000000001
12,b2922d5f-9403-4d34-a440-d21f261a80ec,23/02/2017 07:35:38,8.9,34,51.9,1446.9720000000002
13,b2922d5f-9403-4d34-a440-d21f261a80ec,19/02/2017 19:54:46,9.4,27,74.5,1471.2509
14,b2922d5f-9403-4d34-a440-d21f261a80ec,23/02/2017 07:36:03,9.0,34,76.1,2121.6679999999997
15,b2922d5f-9403-4d34-a440-d21f261a80ec,18/02/2017 13:32:06,9.4,30,50.5,1173.2833
16,b2922d5f-9403-4d34-a440-d21f261a80ec,22/02/2017 07:26:31,9.1,36,86.0,2597.4866
17,b2922d5f-9403-4d34-a440-d21f261a80ec,17/02/2017 07:31:37,9.5,33,45.3,1210.3405
18,b2922d5f-9403-4d34-a440-d21f261a80ec,22/02/2017 07:38:35,9.0,25,56.6,986.255
19,b2922d5f-9403-4d34-a440-d21f261a80ec,18/02/2017 13:27:39,9.3,35,40.2,1167.475
20,b2922d5f-9403-4d34-a440-d21f261a80ec,22/02/2017 07:27:33,9.0,31,68.2,1663.739
21,b2922d5f-9403-4d34-a440-d21f261a80ec,17/02/2017 07:31:05,9.5,28,23.8,497.658
22,b2922d5f-9403-4d34-a440-d21f261a80ec,15/02/2017 07:44:02,9.0,34,41.9,1168.172
23,b2922d5f-9403-4d34-a440-d21f261a80ec,15/02/2017 07:30:16,9.3,33,53.2,1421.4153
24,b2922d5f-9403-4d34-a440-d21f261a80ec,15/02/2017 07:40:13,8.9,35,81.6,2369.8
25,b2922d5f-9403-4d34-a440-d21f261a80ec,14/02/2017 07:44:32,8.8,38,41.3,1343.3513
26,b2922d5f-9403-4d34-a440-d21f261a80ec,14/02/2017 07:36:21,8.4,30,45.4,1054.7933
27,b2922d5f-9403-4d34-a440-d21f261a80ec,14/02/2017 07:35:36,8.5,36,61.6,1860.5254
28,b2922d5f-9403-4d34-a440-d21f261a80ec,12/2/2017 14:55,9.5,30,43.6,1012.9733
29,b2922d5f-9403-4d34-a440-d21f261a80ec,14/02/2017 07:35:47,9.2,33,26.8,716.05133
30,b2922d5f-9403-4d34-a440-d21f261a80ec,15/02/2017 07:41:28,8.9,36,82.1,2479.6936
31,b2922d5f-9403-4d34-a440-d21f261a80ec,15/02/2017 07:41:40,9.4,32,55.6,1420.9507
32,b2922d5f-9403-4d34-a440-d21f261a80ec,14/02/2017 07:43:12,8.8,34,57.2,1594.736
33,b2922d5f-9403-4d34-a440-d21f261a80ec,19/02/2017 19:52:56,9.3,30,46.9,1089.6433
34,b2922d5f-9403-4d34-a440-d21f261a80ec,9/2/2017 7:40,8.8,38,51.3,1668.618
35,b2922d5f-9403-4d34-a440-d21f261a80ec,9/2/2017 7:29,9.4,31,51.3,1251.4635
36,b2922d5f-9403-4d34-a440-d21f261a80ec,8/2/2017 7:42,9.1,31,50.8,1239.266
37,b2922d5f-9403-4d34-a440-d21f261a80ec,15/02/2017 07:28:31,8.9,33,30.6,817.581
38,b2922d5f-9403-4d34-a440-d21f261a80ec,15/02/2017 07:28:44,9.3,35,76.6,2224.5916
39,b2922d5f-9403-4d34-a440-d21f261a80ec,7/2/2017 7:53,9.5,35,41.8,1213.9417
40,b2922d5f-9403-4d34-a440-d21f261a80ec,7/2/2017 7:33,9.5,31,51.5,1256.3425
41,b2922d5f-9403-4d34-a440-d21f261a80ec,6/2/2017 8:01,9.2,35,55.7,1617.6208
42,b2922d5f-9403-4d34-a440-d21f261a80ec,12/2/2017 14:54,9.7,30,34.1,792.25665
43,b2922d5f-9403-4d34-a440-d21f261a80ec,4/2/2017 11:35,8.9,36,60.4,1824.2814
44,b2922d5f-9403-4d34-a440-d21f261a80ec,4/2/2017 10:58,9.3,27,55.0,1086.1583
45,b2922d5f-9403-4d34-a440-d21f261a80ec,3/2/2017 7:44,9.2,36,21.3,643.331
46,b2922d5f-9403-4d34-a440-d21f261a80ec,3/2/2017 7:35,9.4,29,42.7,942.46014
47,b2922d5f-9403-4d34-a440-d21f261a80ec,4/2/2017 10:53,9.3,34,101.6,2832.6079999999997
48,b2922d5f-9403-4d34-a440-d21f261a80ec,2/2/2017 7:38,8.6,38,49.1,1597.0593
49,b2922d5f-9403-4d34-a440-d21f261a80ec,2/2/2017 7:27,9.4,31,48.8,1190.476
50,b2922d5f-9403-4d34-a440-d21f261a80ec,1/2/2017 7:50,9.1,37,41.4,1298.511
51,b2922d5f-9403-4d34-a440-d21f261a80ec,1/2/2017 7:30,9.4,30,42.6,989.74
52,b2922d5f-9403-4d34-a440-d21f261a80ec,31/01/2017 07:40:28,8.9,38,52.1,1694.6393
53,b2922d5f-9403-4d34-a440-d21f261a80ec,31/01/2017 07:32:03,9.7,29,45.1,995.4322
54,b2922d5f-9403-4d34-a440-d21f261a80ec,30/01/2017 20:20:46,9.2,36,74.5,2250.1484
55,b2922d5f-9403-4d34-a440-d21f261a80ec,1/2/2017 7:27,9.5,33,28.1,750.78516
56,b2922d5f-9403-4d34-a440-d21f261a80ec,31/01/2017 07:28:17,8.9,34,44.7,1246.236
57,b2922d5f-9403-4d34-a440-d21f261a80ec,1/2/2017 7:27,9.2,34,17.1,476.74800000000005
58,b2922d5f-9403-4d34-a440-d21f261a80ec,31/01/2017 07:28:42,9.3,33,74.8,1998.5314
