id,uid,time,data,temp,volume,energy
0,d946fc48-5918-46d9-a4b3-f338b39a11da,23/12/2016 15:24:52,3.2727272999999997,17,1.2,9.0
1,d946fc48-5918-46d9-a4b3-f338b39a11da,21/12/2016 19:20:55,4.0,36,16.4,495.33466
2,d946fc48-5918-46d9-a4b3-f338b39a11da,8/12/2016 10:17,4.087912,37,12.4,340.0
3,d946fc48-5918-46d9-a4b3-f338b39a11da,8/12/2016 10:14,3.5,39,25.4,855.68365
4,d946fc48-5918-46d9-a4b3-f338b39a11da,8/12/2016 10:17,3.6,36,15.7,474.19232
5,d946fc48-5918-46d9-a4b3-f338b39a11da,8/12/2016 10:17,4.0,37,18.0,564.57
6,d946fc48-5918-46d9-a4b3-f338b39a11da,5/9/2016 7:56,2.976378,35,6.3,146.0
7,d946fc48-5918-46d9-a4b3-f338b39a11da,5/9/2016 7:54,3.4,39,23.3,784.9382
8,d946fc48-5918-46d9-a4b3-f338b39a11da,5/9/2016 7:55,4.3,29,10.3,227.33817000000002
9,d946fc48-5918-46d9-a4b3-f338b39a11da,5/9/2016 7:56,4.4,29,5.9,130.22284
10,d946fc48-5918-46d9-a4b3-f338b39a11da,9/7/2016 18:23,5.6,29,4.2,93.0
11,d946fc48-5918-46d9-a4b3-f338b39a11da,9/7/2016 18:22,4.9,35,19.6,569.2167
12,d946fc48-5918-46d9-a4b3-f338b39a11da,3/7/2016 11:37,4.571429,35,3.2,71.0
13,d946fc48-5918-46d9-a4b3-f338b39a11da,28/06/2016 07:35:13,4.2,28,1.4,26.0
14,d946fc48-5918-46d9-a4b3-f338b39a11da,27/05/2016 16:54:02,4.4262295,27,4.5,87.0
