id,uid,time,data,temp,volume,energy
0,e158c4e9-85b9-4b8c-82f3-ca81b7890714,13/10/2016 13:26:06,6.1,33,8.0,213.74667000000002
1,e158c4e9-85b9-4b8c-82f3-ca81b7890714,13/10/2016 13:26:18,6.7,31,11.0,268.345
2,e158c4e9-85b9-4b8c-82f3-ca81b7890714,13/10/2016 13:26:31,5.4,33,7.1,189.70016
3,e158c4e9-85b9-4b8c-82f3-ca81b7890714,13/10/2016 13:27:24,6.2,32,15.0,383.35
4,e158c4e9-85b9-4b8c-82f3-ca81b7890714,13/10/2016 13:27:49,5.8,30,5.1,118.49
5,e158c4e9-85b9-4b8c-82f3-ca81b7890714,13/10/2016 13:28:01,6.4,35,8.2,238.14166
6,e158c4e9-85b9-4b8c-82f3-ca81b7890714,13/10/2016 13:28:14,6.8,33,11.3,301.91718
7,e158c4e9-85b9-4b8c-82f3-ca81b7890714,13/10/2016 13:28:26,6.5,31,7.3,178.0835
8,e158c4e9-85b9-4b8c-82f3-ca81b7890714,25/09/2016 15:23:43,8.4375,33,9.0,219.0
9,e158c4e9-85b9-4b8c-82f3-ca81b7890714,25/09/2016 15:23:00,8.6,33,16.9,451.53983
10,e158c4e9-85b9-4b8c-82f3-ca81b7890714,25/09/2016 15:23:25,8.0,25,1.6,27.88
11,e158c4e9-85b9-4b8c-82f3-ca81b7890714,25/09/2016 15:23:38,8.0,27,6.5,128.36417
12,e158c4e9-85b9-4b8c-82f3-ca81b7890714,25/09/2016 15:24:29,5.3,31,6.6,161.007
13,e158c4e9-85b9-4b8c-82f3-ca81b7890714,25/09/2016 15:24:42,8.4,32,15.2,388.46133
14,e158c4e9-85b9-4b8c-82f3-ca81b7890714,25/09/2016 15:24:54,8.2,32,16.6,424.24065999999993
15,e158c4e9-85b9-4b8c-82f3-ca81b7890714,25/09/2016 15:25:07,5.5,31,8.3,202.4785
16,e158c4e9-85b9-4b8c-82f3-ca81b7890714,25/09/2016 15:25:32,7.8,31,8.6,209.797
17,e158c4e9-85b9-4b8c-82f3-ca81b7890714,19/09/2016 14:15:07,8.0,33,5.0,122.0
18,e158c4e9-85b9-4b8c-82f3-ca81b7890714,19/09/2016 14:14:52,8.0,32,14.2,362.90466000000004
19,e158c4e9-85b9-4b8c-82f3-ca81b7890714,19/09/2016 14:15:05,8.3,31,10.6,258.587
20,e158c4e9-85b9-4b8c-82f3-ca81b7890714,19/09/2016 14:15:58,8.3,33,12.4,331.30734
21,e158c4e9-85b9-4b8c-82f3-ca81b7890714,19/09/2016 14:16:10,7.8,32,14.1,360.349
22,e158c4e9-85b9-4b8c-82f3-ca81b7890714,19/09/2016 14:16:23,6.1,30,6.7,155.66333
23,e158c4e9-85b9-4b8c-82f3-ca81b7890714,19/09/2016 14:16:35,8.1,32,14.8,378.23868
24,e158c4e9-85b9-4b8c-82f3-ca81b7890714,19/09/2016 14:16:48,6.9,34,32.7,911.676
25,e158c4e9-85b9-4b8c-82f3-ca81b7890714,15/09/2016 13:21:11,8.133333,33,7.4,178.0
26,e158c4e9-85b9-4b8c-82f3-ca81b7890714,15/09/2016 13:19:49,6.0,32,7.4,189.11934
27,e158c4e9-85b9-4b8c-82f3-ca81b7890714,15/09/2016 13:20:02,7.5,32,13.2,337.348
28,e158c4e9-85b9-4b8c-82f3-ca81b7890714,15/09/2016 13:20:14,7.7,32,13.8,352.68199999999996
29,e158c4e9-85b9-4b8c-82f3-ca81b7890714,15/09/2016 13:20:27,6.8,33,14.9,398.10318
30,e158c4e9-85b9-4b8c-82f3-ca81b7890714,15/09/2016 13:21:18,8.5,30,13.0,302.03333
31,e158c4e9-85b9-4b8c-82f3-ca81b7890714,15/09/2016 13:21:31,7.8,33,16.8,448.86800000000005
32,e158c4e9-85b9-4b8c-82f3-ca81b7890714,15/09/2016 13:21:56,7.5,32,7.6,194.23067
33,e158c4e9-85b9-4b8c-82f3-ca81b7890714,15/09/2016 13:22:08,8.4,32,17.5,447.24167
34,e158c4e9-85b9-4b8c-82f3-ca81b7890714,31/08/2016 15:25:17,9.136364,33,7.7,189.0
35,e158c4e9-85b9-4b8c-82f3-ca81b7890714,31/08/2016 15:24:19,8.8,32,10.1,258.12234
36,e158c4e9-85b9-4b8c-82f3-ca81b7890714,31/08/2016 15:25:15,6.8,33,12.2,325.96365
37,e158c4e9-85b9-4b8c-82f3-ca81b7890714,31/08/2016 15:25:27,9.7,32,19.8,506.022
38,e158c4e9-85b9-4b8c-82f3-ca81b7890714,31/08/2016 15:25:40,6.8,31,7.6,185.40200000000002
39,e158c4e9-85b9-4b8c-82f3-ca81b7890714,31/08/2016 15:25:52,6.7,31,8.3,202.4785
40,e158c4e9-85b9-4b8c-82f3-ca81b7890714,31/08/2016 15:26:05,9.7,30,13.3,309.00333
41,e158c4e9-85b9-4b8c-82f3-ca81b7890714,31/08/2016 15:26:17,9.4,32,19.5,498.355
42,e158c4e9-85b9-4b8c-82f3-ca81b7890714,31/08/2016 15:26:30,10.0,34,21.6,602.2080000000001
43,e158c4e9-85b9-4b8c-82f3-ca81b7890714,22/08/2016 13:03:38,10.05,35,24.2,624.0
44,e158c4e9-85b9-4b8c-82f3-ca81b7890714,22/08/2016 13:00:43,8.4,31,13.8,336.651
45,e158c4e9-85b9-4b8c-82f3-ca81b7890714,22/08/2016 13:00:55,9.7,31,16.7,407.3965
46,e158c4e9-85b9-4b8c-82f3-ca81b7890714,20/08/2016 13:10:46,10.071428,33,8.7,218.0
47,e158c4e9-85b9-4b8c-82f3-ca81b7890714,22/08/2016 13:02:18,9.3,33,17.8,475.58633
48,e158c4e9-85b9-4b8c-82f3-ca81b7890714,22/08/2016 13:02:30,7.8,31,8.7,212.2365
49,e158c4e9-85b9-4b8c-82f3-ca81b7890714,20/08/2016 13:09:59,9.5,31,8.9,217.1155
50,e158c4e9-85b9-4b8c-82f3-ca81b7890714,20/08/2016 13:10:54,8.6,30,10.8,250.92
51,e158c4e9-85b9-4b8c-82f3-ca81b7890714,20/08/2016 13:11:06,9.2,32,16.1,411.46234
52,e158c4e9-85b9-4b8c-82f3-ca81b7890714,20/08/2016 13:11:19,9.4,31,15.1,368.3645
53,e158c4e9-85b9-4b8c-82f3-ca81b7890714,20/08/2016 13:11:56,10.4,29,46.8,1032.954
54,e158c4e9-85b9-4b8c-82f3-ca81b7890714,20/08/2016 13:12:08,9.1,33,19.5,521.0075
55,e158c4e9-85b9-4b8c-82f3-ca81b7890714,16/08/2016 12:40:48,9.428572,35,8.7,228.0
56,e158c4e9-85b9-4b8c-82f3-ca81b7890714,16/08/2016 12:40:01,6.8,32,8.5,217.23167
57,e158c4e9-85b9-4b8c-82f3-ca81b7890714,16/08/2016 12:40:13,9.8,34,4.1,114.30799999999999
58,e158c4e9-85b9-4b8c-82f3-ca81b7890714,16/08/2016 12:40:26,9.2,32,17.6,449.79733
59,e158c4e9-85b9-4b8c-82f3-ca81b7890714,16/08/2016 12:40:38,9.4,33,21.1,563.75684
60,e158c4e9-85b9-4b8c-82f3-ca81b7890714,16/08/2016 12:40:51,8.2,34,12.7,354.07599999999996
61,e158c4e9-85b9-4b8c-82f3-ca81b7890714,16/08/2016 12:41:39,5.4,33,9.0,240.465
62,e158c4e9-85b9-4b8c-82f3-ca81b7890714,16/08/2016 12:41:51,9.6,33,20.1,537.0385
63,e158c4e9-85b9-4b8c-82f3-ca81b7890714,16/08/2016 12:42:04,9.0,32,11.8,301.56866
64,e158c4e9-85b9-4b8c-82f3-ca81b7890714,7/8/2016 13:46,7.285714,34,4.8,117.0
65,e158c4e9-85b9-4b8c-82f3-ca81b7890714,7/8/2016 13:46,7.3,32,27.2,695.14136
66,e158c4e9-85b9-4b8c-82f3-ca81b7890714,7/8/2016 13:46,7.5,33,8.5,227.10582999999997
67,e158c4e9-85b9-4b8c-82f3-ca81b7890714,7/8/2016 13:46,7.7,34,14.2,395.89599999999996
68,e158c4e9-85b9-4b8c-82f3-ca81b7890714,7/8/2016 13:47,6.7,33,17.5,467.57083
69,e158c4e9-85b9-4b8c-82f3-ca81b7890714,7/8/2016 13:47,7.7,32,12.9,329.681
70,e158c4e9-85b9-4b8c-82f3-ca81b7890714,7/8/2016 13:48,6.7,30,10.7,248.59666
71,e158c4e9-85b9-4b8c-82f3-ca81b7890714,7/8/2016 13:48,7.5,28,5.5,115.005
72,e158c4e9-85b9-4b8c-82f3-ca81b7890714,7/8/2016 13:48,7.6,32,13.2,337.348
73,e158c4e9-85b9-4b8c-82f3-ca81b7890714,18/07/2016 09:46:52,8.04,32,7.7,181.0
74,e158c4e9-85b9-4b8c-82f3-ca81b7890714,18/07/2016 09:46:00,7.4,33,9.2,245.80867
75,e158c4e9-85b9-4b8c-82f3-ca81b7890714,18/07/2016 09:46:55,7.6,32,7.7,196.78633
76,e158c4e9-85b9-4b8c-82f3-ca81b7890714,18/07/2016 09:47:20,6.9,31,9.4,229.313
77,e158c4e9-85b9-4b8c-82f3-ca81b7890714,18/07/2016 09:47:32,8.1,34,13.0,362.44
78,e158c4e9-85b9-4b8c-82f3-ca81b7890714,4/7/2016 13:33,7.142857000000001,36,6.4,165.0
79,e158c4e9-85b9-4b8c-82f3-ca81b7890714,4/7/2016 13:32,7.2,31,7.4,180.523
80,e158c4e9-85b9-4b8c-82f3-ca81b7890714,4/7/2016 13:32,7.1,33,14.5,387.41582999999997
81,e158c4e9-85b9-4b8c-82f3-ca81b7890714,4/7/2016 13:32,6.9,32,6.8,173.78534
