id,uid,time,data,temp,volume,energy
0,e777f6a5-60b3-4175-928a-6b8b8d886b12,6/9/2016 20:17,7.875,33,9.7,242.0
1,e777f6a5-60b3-4175-928a-6b8b8d886b12,6/9/2016 19:59,5.3333335,32,0.8,20.0
2,e777f6a5-60b3-4175-928a-6b8b8d886b12,6/9/2016 19:59,10.2,29,17.4,384.04699999999997
3,e777f6a5-60b3-4175-928a-6b8b8d886b12,16/08/2016 17:13:49,10.5,25,0.7,12.0
4,e777f6a5-60b3-4175-928a-6b8b8d886b12,10/8/2016 21:15,9.176471000000001,26,2.6,48.0
5,e777f6a5-60b3-4175-928a-6b8b8d886b12,5/8/2016 17:41,9.230769,31,6.0,130.0
6,e777f6a5-60b3-4175-928a-6b8b8d886b12,5/6/2016 10:04,5.8,25,2.9,44.0
7,e777f6a5-60b3-4175-928a-6b8b8d886b12,4/6/2016 21:34,10.448979,37,25.6,738.0
8,e777f6a5-60b3-4175-928a-6b8b8d886b12,4/6/2016 21:22,10.8,30,22.1,513.45667
9,e777f6a5-60b3-4175-928a-6b8b8d886b12,4/6/2016 21:22,9.0,21,1.5,19.1675
10,e777f6a5-60b3-4175-928a-6b8b8d886b12,25/05/2016 15:16:26,14.666667000000002,32,21.3,544.357
11,e777f6a5-60b3-4175-928a-6b8b8d886b12,17/05/2016 20:29:04,4.515464,32,7.3,179.0
12,e777f6a5-60b3-4175-928a-6b8b8d886b12,17/05/2016 20:22:51,7.6363635,30,2.8,56.0
13,e777f6a5-60b3-4175-928a-6b8b8d886b12,15/05/2016 13:51:10,7.068493400000001,32,23.8,440.0
14,e777f6a5-60b3-4175-928a-6b8b8d886b12,14/05/2016 10:39:56,9.4838705,20,4.9,52.0
15,e777f6a5-60b3-4175-928a-6b8b8d886b12,12/5/2016 10:06,3.6804123,35,23.8,487.0
16,e777f6a5-60b3-4175-928a-6b8b8d886b12,15/05/2016 13:50:57,8.7,19,1.6,16.727999999999998
