id,uid,time,data,temp,volume,energy
0,e8acc238-0c1c-4074-a9fc-290bb2792e63,21/11/2016 20:15:07,4.8,19,3.7,38.6835
1,e8acc238-0c1c-4074-a9fc-290bb2792e63,21/11/2016 20:15:32,4.8,34,24.5,683.06
2,e8acc238-0c1c-4074-a9fc-290bb2792e63,21/11/2016 20:15:45,6.3,34,29.2,814.096
3,e8acc238-0c1c-4074-a9fc-290bb2792e63,21/11/2016 20:15:57,6.9,34,75.2,2096.576
4,e8acc238-0c1c-4074-a9fc-290bb2792e63,21/11/2016 20:16:10,7.5,34,85.9,2394.8920000000003
5,e8acc238-0c1c-4074-a9fc-290bb2792e63,21/11/2016 20:16:22,7.0,33,56.8,1517.6013
6,e8acc238-0c1c-4074-a9fc-290bb2792e63,21/11/2016 20:16:35,4.7,26,2.6,48.325333
7,e8acc238-0c1c-4074-a9fc-290bb2792e63,28/10/2016 20:07:53,6.133333,34,9.5,206.0
8,e8acc238-0c1c-4074-a9fc-290bb2792e63,28/10/2016 20:06:30,6.2,34,52.8,1472.0639999999999
9,e8acc238-0c1c-4074-a9fc-290bb2792e63,28/10/2016 20:06:43,6.4,34,63.3,1764.8039999999999
10,e8acc238-0c1c-4074-a9fc-290bb2792e63,22/10/2016 17:08:26,6.0,34,7.6,142.0
11,e8acc238-0c1c-4074-a9fc-290bb2792e63,22/10/2016 17:07:13,6.4,34,57.5,1603.1
12,e8acc238-0c1c-4074-a9fc-290bb2792e63,22/10/2016 17:07:25,6.2,34,77.8,2169.064
13,e8acc238-0c1c-4074-a9fc-290bb2792e63,22/10/2016 17:07:38,5.1,22,1.7,23.698
14,e8acc238-0c1c-4074-a9fc-290bb2792e63,22/10/2016 17:07:50,6.1,34,67.2,1873.536
15,e8acc238-0c1c-4074-a9fc-290bb2792e63,22/10/2016 17:08:03,6.4,34,61.0,1700.68
16,e8acc238-0c1c-4074-a9fc-290bb2792e63,22/10/2016 17:08:16,6.5,34,63.9,1781.5320000000002
17,e8acc238-0c1c-4074-a9fc-290bb2792e63,5/10/2016 20:48,5.428571,28,3.9,69.0
18,e8acc238-0c1c-4074-a9fc-290bb2792e63,5/10/2016 20:47,6.7,35,73.0,2120.0417
19,e8acc238-0c1c-4074-a9fc-290bb2792e63,5/10/2016 20:48,6.6,35,75.9,2204.2625
20,e8acc238-0c1c-4074-a9fc-290bb2792e63,5/10/2016 20:48,6.9,35,57.5,1669.8959
21,e8acc238-0c1c-4074-a9fc-290bb2792e63,5/10/2016 20:48,6.5,35,56.5,1640.8541
22,e8acc238-0c1c-4074-a9fc-290bb2792e63,11/9/2016 20:29,5.465346299999999,36,9.2,241.0
23,e8acc238-0c1c-4074-a9fc-290bb2792e63,9/9/2016 18:22,6.0,35,6.0,130.0
24,e8acc238-0c1c-4074-a9fc-290bb2792e63,9/9/2016 18:21,7.4,36,80.3,2425.3276
25,e8acc238-0c1c-4074-a9fc-290bb2792e63,9/9/2016 18:21,7.4,36,68.5,2068.9282
26,e8acc238-0c1c-4074-a9fc-290bb2792e63,5/9/2016 17:59,5.3493977,36,7.4,177.0
27,e8acc238-0c1c-4074-a9fc-290bb2792e63,5/9/2016 17:58,4.7,27,3.6,71.094
28,e8acc238-0c1c-4074-a9fc-290bb2792e63,5/9/2016 17:58,7.4,34,18.5,515.78
29,e8acc238-0c1c-4074-a9fc-290bb2792e63,5/9/2016 17:58,7.3,34,21.6,602.2080000000001
30,e8acc238-0c1c-4074-a9fc-290bb2792e63,3/9/2016 20:25,6.0,27,2.0,37.0
31,e8acc238-0c1c-4074-a9fc-290bb2792e63,3/9/2016 20:25,7.3,36,86.5,2612.5884
32,e8acc238-0c1c-4074-a9fc-290bb2792e63,3/9/2016 20:25,7.6,35,84.8,2462.7334
33,e8acc238-0c1c-4074-a9fc-290bb2792e63,30/08/2016 13:22:41,4.736842,28,3.1,62.0
34,e8acc238-0c1c-4074-a9fc-290bb2792e63,30/08/2016 13:22:11,7.9,35,67.9,1971.9292
35,e8acc238-0c1c-4074-a9fc-290bb2792e63,30/08/2016 13:22:23,7.5,35,71.5,2076.4792
36,e8acc238-0c1c-4074-a9fc-290bb2792e63,30/08/2016 13:22:36,6.7,35,66.2,1922.5583
37,e8acc238-0c1c-4074-a9fc-290bb2792e63,26/08/2016 13:21:08,5.181818,36,42.8,1242.0
38,e8acc238-0c1c-4074-a9fc-290bb2792e63,26/08/2016 13:10:40,4.4,33,18.9,504.9765
39,e8acc238-0c1c-4074-a9fc-290bb2792e63,26/08/2016 13:10:52,4.6,34,47.3,1318.724
40,e8acc238-0c1c-4074-a9fc-290bb2792e63,17/08/2016 20:44:38,6.4,36,32.8,936.0
41,e8acc238-0c1c-4074-a9fc-290bb2792e63,17/08/2016 20:38:00,5.9,33,16.1,430.16515999999996
42,e8acc238-0c1c-4074-a9fc-290bb2792e63,17/08/2016 20:38:12,3.9,27,2.4,47.396
43,e8acc238-0c1c-4074-a9fc-290bb2792e63,15/08/2016 17:47:21,6.1267605000000005,36,14.5,377.0
44,e8acc238-0c1c-4074-a9fc-290bb2792e63,15/08/2016 17:45:09,6.9,36,74.4,2247.1279999999997
45,e8acc238-0c1c-4074-a9fc-290bb2792e63,14/08/2016 13:30:44,7.4505495999999996,36,22.3,595.0
46,e8acc238-0c1c-4074-a9fc-290bb2792e63,14/08/2016 13:27:41,7.8,36,47.6,1437.6787
47,e8acc238-0c1c-4074-a9fc-290bb2792e63,15/08/2016 17:45:47,6.0,35,15.9,461.7625
48,e8acc238-0c1c-4074-a9fc-290bb2792e63,15/08/2016 17:45:59,6.9,37,53.5,1678.0275
49,e8acc238-0c1c-4074-a9fc-290bb2792e63,14/08/2016 13:28:19,7.2,38,54.1,1759.6926
50,e8acc238-0c1c-4074-a9fc-290bb2792e63,14/08/2016 13:28:31,9.3,33,28.8,769.488
