id,uid,time,data,temp,volume,energy
0,f834e9e2-a728-4010-8aa4-85be1ed47751,19/02/2017 21:33:28,2.9,35,25.6,743.4667
1,f834e9e2-a728-4010-8aa4-85be1ed47751,16/02/2017 20:45:59,3.2,33,28.8,769.488
2,f834e9e2-a728-4010-8aa4-85be1ed47751,21/02/2017 22:01:35,3.9,36,29.2,881.9373
3,f834e9e2-a728-4010-8aa4-85be1ed47751,15/02/2017 21:26:23,3.0,35,25.4,737.6583
4,f834e9e2-a728-4010-8aa4-85be1ed47751,19/02/2017 21:31:16,4.8,35,30.0,871.25
5,f834e9e2-a728-4010-8aa4-85be1ed47751,19/02/2017 21:31:21,2.0,37,25.7,806.0805
6,f834e9e2-a728-4010-8aa4-85be1ed47751,16/02/2017 20:38:12,2.6,36,29.4,887.9780000000001
7,f834e9e2-a728-4010-8aa4-85be1ed47751,19/02/2017 21:31:45,4.0,35,23.8,691.19165
8,f834e9e2-a728-4010-8aa4-85be1ed47751,16/02/2017 20:38:37,5.2,36,25.2,761.1239999999999
9,f834e9e2-a728-4010-8aa4-85be1ed47751,16/02/2017 20:38:49,2.9,36,26.7,806.429
10,f834e9e2-a728-4010-8aa4-85be1ed47751,19/02/2017 21:32:20,4.8,36,16.2,489.29400000000004
11,f834e9e2-a728-4010-8aa4-85be1ed47751,16/02/2017 20:39:14,5.5,34,10.9,303.892
12,f834e9e2-a728-4010-8aa4-85be1ed47751,16/02/2017 20:39:59,3.6,35,31.8,923.525
13,f834e9e2-a728-4010-8aa4-85be1ed47751,5/2/2017 21:12,2.7,35,24.9,723.1375
14,f834e9e2-a728-4010-8aa4-85be1ed47751,5/2/2017 21:12,3.7,37,35.0,1097.775
15,f834e9e2-a728-4010-8aa4-85be1ed47751,15/02/2017 21:20:13,4.1,34,33.6,936.768
16,f834e9e2-a728-4010-8aa4-85be1ed47751,15/02/2017 21:20:38,3.0,37,33.2,1041.318
17,f834e9e2-a728-4010-8aa4-85be1ed47751,5/2/2017 21:15,5.3,33,29.7,793.5345
18,f834e9e2-a728-4010-8aa4-85be1ed47751,5/2/2017 21:15,2.7,37,30.1,944.0865
19,f834e9e2-a728-4010-8aa4-85be1ed47751,5/2/2017 21:15,3.1,35,27.1,787.0292
20,f834e9e2-a728-4010-8aa4-85be1ed47751,5/2/2017 21:16,3.3,34,19.2,535.2959999999999
21,f834e9e2-a728-4010-8aa4-85be1ed47751,5/2/2017 21:16,3.1,34,21.6,602.2080000000001
22,f834e9e2-a728-4010-8aa4-85be1ed47751,5/2/2017 21:16,2.8,37,30.2,947.2230000000001
23,f834e9e2-a728-4010-8aa4-85be1ed47751,5/2/2017 21:17,3.8,34,29.8,830.824
24,f834e9e2-a728-4010-8aa4-85be1ed47751,5/2/2017 21:17,2.9,36,25.9,782.26636
25,f834e9e2-a728-4010-8aa4-85be1ed47751,5/2/2017 21:19,4.1,35,32.0,929.3333
26,f834e9e2-a728-4010-8aa4-85be1ed47751,15/02/2017 21:26:29,3.2,36,26.4,797.368
27,f834e9e2-a728-4010-8aa4-85be1ed47751,5/2/2017 21:20,2.9,34,22.9,638.452
28,f834e9e2-a728-4010-8aa4-85be1ed47751,5/2/2017 21:20,3.4,33,24.6,657.2710000000001
29,f834e9e2-a728-4010-8aa4-85be1ed47751,16/02/2017 20:44:22,2.4,37,26.5,831.1725
30,f834e9e2-a728-4010-8aa4-85be1ed47751,16/02/2017 20:44:34,3.6,36,28.7,866.8357
31,f834e9e2-a728-4010-8aa4-85be1ed47751,16/02/2017 20:44:47,6.1,34,15.0,418.2
32,f834e9e2-a728-4010-8aa4-85be1ed47751,16/02/2017 20:44:59,2.9,37,28.1,881.3565
33,f834e9e2-a728-4010-8aa4-85be1ed47751,16/02/2017 20:45:12,3.9,35,35.4,1028.075
34,f834e9e2-a728-4010-8aa4-85be1ed47751,16/02/2017 20:45:37,3.7,31,6.9,168.3255
35,f834e9e2-a728-4010-8aa4-85be1ed47751,16/02/2017 20:45:52,2.9,37,31.4,984.8610000000001
36,f834e9e2-a728-4010-8aa4-85be1ed47751,3/1/2017 21:03,1.9058824,27,2.7,43.0
37,f834e9e2-a728-4010-8aa4-85be1ed47751,22/12/2016 20:22:33,6.0,29,1.0,14.0
38,f834e9e2-a728-4010-8aa4-85be1ed47751,14/12/2016 22:10:35,2.3076923,34,3.5,83.0
39,f834e9e2-a728-4010-8aa4-85be1ed47751,12/12/2016 21:31,3.3543307999999996,37,21.3,624.0
40,f834e9e2-a728-4010-8aa4-85be1ed47751,12/12/2016 21:25,4.2,35,25.3,734.75415
41,f834e9e2-a728-4010-8aa4-85be1ed47751,12/12/2016 21:25,3.6,35,31.4,911.9083
42,f834e9e2-a728-4010-8aa4-85be1ed47751,12/12/2016 21:25,3.8,34,18.0,501.84
43,f834e9e2-a728-4010-8aa4-85be1ed47751,12/12/2016 21:25,2.8,30,3.6,83.64
44,f834e9e2-a728-4010-8aa4-85be1ed47751,12/12/2016 21:26,6.3,35,17.5,508.22916
45,f834e9e2-a728-4010-8aa4-85be1ed47751,12/12/2016 21:26,3.3,35,33.8,981.60834
46,f834e9e2-a728-4010-8aa4-85be1ed47751,12/12/2016 21:27,5.5,32,14.0,357.79332999999997
47,f834e9e2-a728-4010-8aa4-85be1ed47751,12/12/2016 21:27,2.9,36,26.7,806.429
48,f834e9e2-a728-4010-8aa4-85be1ed47751,30/11/2016 22:42:58,2.3058825,38,19.6,585.0
49,f834e9e2-a728-4010-8aa4-85be1ed47751,30/11/2016 22:35:05,5.6,34,12.9,359.652
50,f834e9e2-a728-4010-8aa4-85be1ed47751,12/12/2016 21:28,4.7,35,34.6,1004.8417
51,f834e9e2-a728-4010-8aa4-85be1ed47751,30/11/2016 22:35:30,3.0,37,29.3,918.9945
52,f834e9e2-a728-4010-8aa4-85be1ed47751,27/11/2016 19:24:36,2.6,36,24.5,739.9817
53,f834e9e2-a728-4010-8aa4-85be1ed47751,30/11/2016 22:42:38,4.0,34,17.5,487.9
54,f834e9e2-a728-4010-8aa4-85be1ed47751,27/11/2016 19:25:14,4.3,34,22.6,630.0880000000001
55,f834e9e2-a728-4010-8aa4-85be1ed47751,27/11/2016 19:33:40,4.6,19,4.8,50.184
56,f834e9e2-a728-4010-8aa4-85be1ed47751,27/11/2016 19:25:39,4.8,35,31.3,909.00415
57,f834e9e2-a728-4010-8aa4-85be1ed47751,27/11/2016 19:26:34,4.4,37,42.7,1339.2855
58,f834e9e2-a728-4010-8aa4-85be1ed47751,27/11/2016 19:27:12,4.8,34,13.3,370.80400000000003
59,f834e9e2-a728-4010-8aa4-85be1ed47751,27/11/2016 19:28:15,4.9,35,26.8,778.31665
60,f834e9e2-a728-4010-8aa4-85be1ed47751,15/11/2016 21:15:55,3.3106508000000003,41,37.3,1162.0
61,f834e9e2-a728-4010-8aa4-85be1ed47751,15/11/2016 21:13:45,5.2,33,20.8,555.74133
62,f834e9e2-a728-4010-8aa4-85be1ed47751,15/11/2016 21:05:26,5.1,33,22.4,598.4906599999999
63,f834e9e2-a728-4010-8aa4-85be1ed47751,15/11/2016 21:14:34,4.1,33,19.5,521.0075
64,f834e9e2-a728-4010-8aa4-85be1ed47751,15/11/2016 21:15:08,4.3,35,23.3,676.67084
65,f834e9e2-a728-4010-8aa4-85be1ed47751,11/11/2016 21:09,3.9,34,24.8,691.424
66,f834e9e2-a728-4010-8aa4-85be1ed47751,27/11/2016 19:29:42,4.0,34,40.9,1140.292
67,f834e9e2-a728-4010-8aa4-85be1ed47751,11/11/2016 21:08,5.9,32,24.3,621.0269999999999
