id,uid,time,data,temp,volume,energy
0,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,30/01/2017 08:23:18,8.1,38,128.1,4166.666
1,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,30/01/2017 08:23:29,8.2,38,82.2,2673.692
2,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,30/01/2017 08:23:35,7.6,31,6.5,158.5675
3,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,30/01/2017 08:23:41,8.1,36,33.6,1014.832
4,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,30/01/2017 08:17:56,8.8,36,42.0,1268.54
5,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,30/01/2017 08:18:02,7.9,23,2.5,37.754166
6,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,30/01/2017 08:18:07,8.9,38,51.8,1684.8813
7,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,30/01/2017 08:18:13,8.2,36,59.1,1785.017
8,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,30/01/2017 08:18:19,8.9,39,110.8,3732.6672
9,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,30/01/2017 08:18:24,9.4,35,58.0,1684.4166
10,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,30/01/2017 08:18:48,5.1,41,8.2,295.29565
11,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,30/01/2017 08:18:53,5.0,40,11.8,411.23
12,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,30/01/2017 08:18:59,8.9,37,88.8,2785.212
13,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,30/01/2017 08:19:05,9.5,36,49.8,1504.126
14,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,30/01/2017 08:28:39,8.7,38,93.1,3028.2327
15,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,21/01/2017 12:21:08,8.0,37,74.4,2333.556
16,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,21/01/2017 12:26:29,8.4,32,4.9,125.22766999999999
17,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,30/01/2017 08:19:28,9.4,26,6.1,113.37867
18,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,21/01/2017 12:26:40,9.1,38,57.4,1867.0306
19,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,21/01/2017 12:26:46,9.1,35,39.5,1147.1459
20,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,21/01/2017 12:26:52,9.1,37,64.8,2032.4520000000002
21,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,21/01/2017 12:26:57,9.2,30,13.0,302.03333
22,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,21/01/2017 12:27:03,8.5,41,43.6,1570.1086
23,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,21/01/2017 12:31:13,9.0,37,40.9,1282.8285
24,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,21/01/2017 12:27:15,8.8,35,49.9,1449.1792
25,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,21/01/2017 12:27:26,8.3,36,33.8,1020.8727
26,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,21/01/2017 12:27:32,9.0,36,47.8,1443.7194
27,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,21/01/2017 12:27:38,9.0,37,78.8,2471.562
28,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,30/01/2017 08:22:49,8.4,37,81.2,2546.8379999999997
29,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,21/01/2017 12:27:49,8.3,26,7.2,133.82399999999998
30,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,21/01/2017 12:27:55,8.2,37,66.2,2076.363
31,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,21/01/2017 12:28:00,9.5,37,75.7,2374.3306
32,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,21/01/2017 12:28:06,8.8,37,39.7,1245.1906
33,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,21/01/2017 12:28:12,8.8,36,59.2,1788.0374
34,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,21/01/2017 12:22:41,8.0,39,78.0,2627.69
35,fe9dae9d-f7bb-4c08-b1cd-86ef0899ca7e,21/01/2017 12:22:47,8.6,36,69.3,2093.091
