id,uid,time,data,meter
0,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 22:17:50,7,179013.0
1,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 21:17:50,0,179006.0
2,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 20:17:50,4,179006.0
3,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 19:17:50,9,179002.0
4,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 18:17:50,1,178993.0
5,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 17:17:50,12,178992.0
6,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 16:17:50,42,178980.0
7,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 15:17:50,31,178938.0
8,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 14:17:53,23,178907.0
9,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 13:17:53,9,178884.0
10,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 12:17:53,12,178875.0
11,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 11:17:53,50,178863.0
12,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 10:17:51,34,178813.0
13,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 09:17:51,53,178779.0
14,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 08:17:51,45,178726.0
15,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 07:17:51,0,178681.0
16,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 06:17:56,0,178681.0
17,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 05:17:56,0,178681.0
18,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 04:17:56,0,178681.0
19,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 03:17:56,0,178681.0
20,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 02:17:53,1,178681.0
21,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 01:17:53,0,178680.0
22,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,19/05/2017 00:17:53,9,178680.0
23,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,18/05/2017 23:17:53,0,178671.0
24,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,18/05/2017 22:17:55,2,178671.0
25,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,18/05/2017 21:17:55,14,178669.0
26,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,18/05/2017 20:17:55,40,178655.0
27,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,18/05/2017 19:17:55,22,178615.0
28,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,18/05/2017 18:19:07,17,178593.0
29,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,18/05/2017 17:19:07,3,178576.0
30,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,18/05/2017 16:19:07,34,178573.0
31,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,18/05/2017 15:19:07,41,178539.0
32,1c2c3f2d-c3ff-4487-b83c-6b9fce3818f5,18/05/2017 14:17:55,10,178498.0
