id,uid,time,data,meter
0,394498ca-90e0-419a-bb06-f700ef43fa15,19/05/2017 22:24:55,18,314062.0
1,394498ca-90e0-419a-bb06-f700ef43fa15,19/05/2017 21:24:52,0,314044.0
2,394498ca-90e0-419a-bb06-f700ef43fa15,19/05/2017 20:24:52,4,314044.0
3,394498ca-90e0-419a-bb06-f700ef43fa15,19/05/2017 19:24:52,1,314040.0
4,394498ca-90e0-419a-bb06-f700ef43fa15,19/05/2017 18:24:52,38,314039.0
5,394498ca-90e0-419a-bb06-f700ef43fa15,19/05/2017 17:24:56,19,314001.0
6,394498ca-90e0-419a-bb06-f700ef43fa15,19/05/2017 16:24:56,6,313982.0
7,394498ca-90e0-419a-bb06-f700ef43fa15,19/05/2017 15:24:56,13,313976.0
8,394498ca-90e0-419a-bb06-f700ef43fa15,19/05/2017 14:24:56,38,313963.0
9,394498ca-90e0-419a-bb06-f700ef43fa15,19/05/2017 13:24:53,24,313925.0
10,394498ca-90e0-419a-bb06-f700ef43fa15,19/05/2017 12:24:53,27,313901.0
11,394498ca-90e0-419a-bb06-f700ef43fa15,19/05/2017 11:24:53,21,313874.0
12,394498ca-90e0-419a-bb06-f700ef43fa15,19/05/2017 10:24:53,6,313853.0
13,394498ca-90e0-419a-bb06-f700ef43fa15,19/05/2017 09:24:57,37,313847.0
14,394498ca-90e0-419a-bb06-f700ef43fa15,19/05/2017 08:24:57,7,313810.0
15,394498ca-90e0-419a-bb06-f700ef43fa15,19/05/2017 07:24:57,11,313803.0
16,394498ca-90e0-419a-bb06-f700ef43fa15,19/05/2017 06:24:57,0,313792.0
17,394498ca-90e0-419a-bb06-f700ef43fa15,19/05/2017 05:24:57,0,313792.0
18,394498ca-90e0-419a-bb06-f700ef43fa15,19/05/2017 04:24:57,0,313792.0
19,394498ca-90e0-419a-bb06-f700ef43fa15,19/05/2017 03:24:57,0,313792.0
20,394498ca-90e0-419a-bb06-f700ef43fa15,19/05/2017 02:24:57,0,313792.0
21,394498ca-90e0-419a-bb06-f700ef43fa15,19/05/2017 01:24:57,14,313792.0
22,394498ca-90e0-419a-bb06-f700ef43fa15,19/05/2017 00:24:57,0,313778.0
23,394498ca-90e0-419a-bb06-f700ef43fa15,18/05/2017 23:24:57,11,313778.0
24,394498ca-90e0-419a-bb06-f700ef43fa15,18/05/2017 22:24:57,12,313767.0
25,394498ca-90e0-419a-bb06-f700ef43fa15,18/05/2017 21:24:57,4,313755.0
26,394498ca-90e0-419a-bb06-f700ef43fa15,18/05/2017 20:24:57,0,313751.0
27,394498ca-90e0-419a-bb06-f700ef43fa15,18/05/2017 19:24:57,66,313751.0
28,394498ca-90e0-419a-bb06-f700ef43fa15,18/05/2017 18:24:57,45,313685.0
29,394498ca-90e0-419a-bb06-f700ef43fa15,18/05/2017 17:24:59,9,313640.0
30,394498ca-90e0-419a-bb06-f700ef43fa15,18/05/2017 16:24:59,23,313631.0
31,394498ca-90e0-419a-bb06-f700ef43fa15,18/05/2017 15:24:59,34,313608.0
32,394498ca-90e0-419a-bb06-f700ef43fa15,18/05/2017 14:24:59,10,313574.0
33,394498ca-90e0-419a-bb06-f700ef43fa15,18/05/2017 13:45:31,0,313564.0
34,394498ca-90e0-419a-bb06-f700ef43fa15,18/05/2017 12:45:31,0,313564.0
35,394498ca-90e0-419a-bb06-f700ef43fa15,18/05/2017 11:45:31,42,313564.0
36,394498ca-90e0-419a-bb06-f700ef43fa15,18/05/2017 10:45:31,5,313522.0
37,394498ca-90e0-419a-bb06-f700ef43fa15,18/05/2017 09:24:58,39,313517.0
38,394498ca-90e0-419a-bb06-f700ef43fa15,18/05/2017 08:24:58,6,313478.0
39,394498ca-90e0-419a-bb06-f700ef43fa15,18/05/2017 07:24:58,8,313472.0
40,394498ca-90e0-419a-bb06-f700ef43fa15,18/05/2017 06:24:58,0,313464.0
41,394498ca-90e0-419a-bb06-f700ef43fa15,18/05/2017 05:24:58,3,313464.0
42,394498ca-90e0-419a-bb06-f700ef43fa15,18/05/2017 04:24:58,0,313461.0
43,394498ca-90e0-419a-bb06-f700ef43fa15,18/05/2017 03:24:58,0,313461.0
44,394498ca-90e0-419a-bb06-f700ef43fa15,18/05/2017 02:24:58,0,313461.0
45,394498ca-90e0-419a-bb06-f700ef43fa15,18/05/2017 01:25:00,6,313461.0
46,394498ca-90e0-419a-bb06-f700ef43fa15,18/05/2017 00:25:00,0,313455.0
47,394498ca-90e0-419a-bb06-f700ef43fa15,17/05/2017 23:25:00,34,313455.0
48,394498ca-90e0-419a-bb06-f700ef43fa15,17/05/2017 22:25:00,58,313421.0
49,394498ca-90e0-419a-bb06-f700ef43fa15,17/05/2017 21:24:57,4,313363.0
50,394498ca-90e0-419a-bb06-f700ef43fa15,17/05/2017 20:24:57,61,313359.0
51,394498ca-90e0-419a-bb06-f700ef43fa15,17/05/2017 19:24:57,10,313298.0
52,394498ca-90e0-419a-bb06-f700ef43fa15,17/05/2017 18:24:57,5,313288.0
53,394498ca-90e0-419a-bb06-f700ef43fa15,17/05/2017 17:24:59,6,313283.0
54,394498ca-90e0-419a-bb06-f700ef43fa15,17/05/2017 16:24:59,6,313277.0
55,394498ca-90e0-419a-bb06-f700ef43fa15,17/05/2017 15:24:59,19,313271.0
56,394498ca-90e0-419a-bb06-f700ef43fa15,17/05/2017 14:24:59,79,313252.0
57,394498ca-90e0-419a-bb06-f700ef43fa15,17/05/2017 09:44:18,18,313173.0
58,394498ca-90e0-419a-bb06-f700ef43fa15,17/05/2017 08:44:18,15,313155.0
59,394498ca-90e0-419a-bb06-f700ef43fa15,17/05/2017 07:44:18,9,313140.0
60,394498ca-90e0-419a-bb06-f700ef43fa15,17/05/2017 06:44:18,0,313131.0
61,394498ca-90e0-419a-bb06-f700ef43fa15,17/05/2017 05:24:59,0,313131.0
62,394498ca-90e0-419a-bb06-f700ef43fa15,17/05/2017 04:24:59,0,313131.0
63,394498ca-90e0-419a-bb06-f700ef43fa15,17/05/2017 03:24:59,3,313131.0
