id,uid,time,data,meter
0,4c6721d3-4329-4485-ae66-92373e708c64,19/05/2017 22:22:20,17,798020.0
1,4c6721d3-4329-4485-ae66-92373e708c64,19/05/2017 21:22:20,21,798003.0
2,4c6721d3-4329-4485-ae66-92373e708c64,19/05/2017 20:22:20,10,797982.0
3,4c6721d3-4329-4485-ae66-92373e708c64,19/05/2017 19:22:20,8,797972.0
4,4c6721d3-4329-4485-ae66-92373e708c64,19/05/2017 18:22:24,10,797964.0
5,4c6721d3-4329-4485-ae66-92373e708c64,19/05/2017 17:22:24,19,797954.0
6,4c6721d3-4329-4485-ae66-92373e708c64,19/05/2017 16:22:24,13,797935.0
7,4c6721d3-4329-4485-ae66-92373e708c64,19/05/2017 15:22:24,88,797922.0
8,4c6721d3-4329-4485-ae66-92373e708c64,19/05/2017 14:40:27,110,797834.0
9,4c6721d3-4329-4485-ae66-92373e708c64,19/05/2017 13:40:27,188,797724.0
10,4c6721d3-4329-4485-ae66-92373e708c64,19/05/2017 12:40:27,17,797536.0
11,4c6721d3-4329-4485-ae66-92373e708c64,19/05/2017 11:40:27,45,797519.0
12,4c6721d3-4329-4485-ae66-92373e708c64,19/05/2017 10:22:35,33,797474.0
13,4c6721d3-4329-4485-ae66-92373e708c64,19/05/2017 09:22:35,49,797441.0
14,4c6721d3-4329-4485-ae66-92373e708c64,19/05/2017 08:22:35,110,797392.0
15,4c6721d3-4329-4485-ae66-92373e708c64,19/05/2017 07:22:35,220,797282.0
16,4c6721d3-4329-4485-ae66-92373e708c64,19/05/2017 06:35:43,0,797062.0
17,4c6721d3-4329-4485-ae66-92373e708c64,19/05/2017 05:35:43,0,797062.0
18,4c6721d3-4329-4485-ae66-92373e708c64,19/05/2017 04:35:43,0,797062.0
19,4c6721d3-4329-4485-ae66-92373e708c64,19/05/2017 03:35:43,0,797062.0
20,4c6721d3-4329-4485-ae66-92373e708c64,19/05/2017 02:22:25,0,797062.0
21,4c6721d3-4329-4485-ae66-92373e708c64,19/05/2017 01:22:25,0,797062.0
22,4c6721d3-4329-4485-ae66-92373e708c64,19/05/2017 00:22:25,11,797062.0
23,4c6721d3-4329-4485-ae66-92373e708c64,18/05/2017 23:22:25,8,797051.0
24,4c6721d3-4329-4485-ae66-92373e708c64,18/05/2017 22:22:26,4,797043.0
25,4c6721d3-4329-4485-ae66-92373e708c64,18/05/2017 21:22:26,44,797039.0
26,4c6721d3-4329-4485-ae66-92373e708c64,18/05/2017 20:22:26,11,796995.0
27,4c6721d3-4329-4485-ae66-92373e708c64,18/05/2017 19:22:26,22,796984.0
28,4c6721d3-4329-4485-ae66-92373e708c64,18/05/2017 18:22:28,8,796962.0
29,4c6721d3-4329-4485-ae66-92373e708c64,18/05/2017 17:22:28,13,796954.0
30,4c6721d3-4329-4485-ae66-92373e708c64,18/05/2017 16:22:28,18,796941.0
31,4c6721d3-4329-4485-ae66-92373e708c64,18/05/2017 15:22:28,34,796923.0
32,4c6721d3-4329-4485-ae66-92373e708c64,18/05/2017 14:22:24,105,796889.0
33,4c6721d3-4329-4485-ae66-92373e708c64,18/05/2017 13:22:24,43,796784.0
34,4c6721d3-4329-4485-ae66-92373e708c64,18/05/2017 12:22:24,34,796741.0
35,4c6721d3-4329-4485-ae66-92373e708c64,18/05/2017 11:22:24,30,796707.0
