id,uid,time,data,meter
0,4ee619e5-1b9c-4351-97be-a0e90eaafa70,19/05/2017 22:39:58,0,273657.0
1,4ee619e5-1b9c-4351-97be-a0e90eaafa70,19/05/2017 21:39:58,9,273657.0
2,4ee619e5-1b9c-4351-97be-a0e90eaafa70,19/05/2017 20:39:58,60,273648.0
3,4ee619e5-1b9c-4351-97be-a0e90eaafa70,19/05/2017 19:40:00,12,273588.0
4,4ee619e5-1b9c-4351-97be-a0e90eaafa70,19/05/2017 18:40:00,0,273576.0
5,4ee619e5-1b9c-4351-97be-a0e90eaafa70,19/05/2017 17:40:00,2,273576.0
6,4ee619e5-1b9c-4351-97be-a0e90eaafa70,19/05/2017 16:40:00,34,273574.0
7,4ee619e5-1b9c-4351-97be-a0e90eaafa70,19/05/2017 15:40:00,7,273540.0
8,4ee619e5-1b9c-4351-97be-a0e90eaafa70,19/05/2017 14:40:00,39,273533.0
9,4ee619e5-1b9c-4351-97be-a0e90eaafa70,19/05/2017 13:40:00,32,273494.0
10,4ee619e5-1b9c-4351-97be-a0e90eaafa70,19/05/2017 12:40:00,0,273462.0
11,4ee619e5-1b9c-4351-97be-a0e90eaafa70,19/05/2017 11:40:04,37,273462.0
12,4ee619e5-1b9c-4351-97be-a0e90eaafa70,19/05/2017 10:40:04,15,273425.0
13,4ee619e5-1b9c-4351-97be-a0e90eaafa70,19/05/2017 09:40:04,1,273410.0
14,4ee619e5-1b9c-4351-97be-a0e90eaafa70,19/05/2017 08:40:04,7,273409.0
15,4ee619e5-1b9c-4351-97be-a0e90eaafa70,19/05/2017 07:40:00,20,273402.0
16,4ee619e5-1b9c-4351-97be-a0e90eaafa70,19/05/2017 06:40:00,3,273382.0
17,4ee619e5-1b9c-4351-97be-a0e90eaafa70,19/05/2017 05:40:00,3,273379.0
18,4ee619e5-1b9c-4351-97be-a0e90eaafa70,19/05/2017 04:40:00,0,273376.0
19,4ee619e5-1b9c-4351-97be-a0e90eaafa70,19/05/2017 03:40:05,0,273376.0
20,4ee619e5-1b9c-4351-97be-a0e90eaafa70,19/05/2017 02:40:05,0,273376.0
21,4ee619e5-1b9c-4351-97be-a0e90eaafa70,19/05/2017 01:40:05,0,273376.0
22,4ee619e5-1b9c-4351-97be-a0e90eaafa70,19/05/2017 00:40:05,0,273376.0
23,4ee619e5-1b9c-4351-97be-a0e90eaafa70,18/05/2017 23:40:01,18,273376.0
24,4ee619e5-1b9c-4351-97be-a0e90eaafa70,18/05/2017 22:40:01,5,273358.0
25,4ee619e5-1b9c-4351-97be-a0e90eaafa70,18/05/2017 21:40:01,18,273353.0
26,4ee619e5-1b9c-4351-97be-a0e90eaafa70,18/05/2017 20:40:01,25,273335.0
27,4ee619e5-1b9c-4351-97be-a0e90eaafa70,18/05/2017 19:40:03,61,273310.0
28,4ee619e5-1b9c-4351-97be-a0e90eaafa70,18/05/2017 18:40:03,1,273249.0
29,4ee619e5-1b9c-4351-97be-a0e90eaafa70,18/05/2017 17:40:03,15,273248.0
30,4ee619e5-1b9c-4351-97be-a0e90eaafa70,18/05/2017 16:40:03,7,273233.0
31,4ee619e5-1b9c-4351-97be-a0e90eaafa70,18/05/2017 15:40:02,14,273226.0
32,4ee619e5-1b9c-4351-97be-a0e90eaafa70,18/05/2017 14:40:02,10,273212.0
33,4ee619e5-1b9c-4351-97be-a0e90eaafa70,18/05/2017 13:40:02,7,273202.0
34,4ee619e5-1b9c-4351-97be-a0e90eaafa70,18/05/2017 12:40:02,0,273195.0
