id,uid,time,data,meter
0,50acd561-a429-4add-b263-995c398c92d6,19/05/2017 22:44:16,1,108075.0
1,50acd561-a429-4add-b263-995c398c92d6,19/05/2017 21:44:16,0,108074.0
2,50acd561-a429-4add-b263-995c398c92d6,19/05/2017 20:44:04,1,108074.0
3,50acd561-a429-4add-b263-995c398c92d6,19/05/2017 19:44:04,0,108073.0
4,50acd561-a429-4add-b263-995c398c92d6,19/05/2017 18:44:04,1,108073.0
5,50acd561-a429-4add-b263-995c398c92d6,19/05/2017 17:44:04,0,108072.0
6,50acd561-a429-4add-b263-995c398c92d6,19/05/2017 16:49:42,1,108072.0
7,50acd561-a429-4add-b263-995c398c92d6,19/05/2017 15:49:42,1,108071.0
8,50acd561-a429-4add-b263-995c398c92d6,19/05/2017 14:49:42,1,108070.0
9,50acd561-a429-4add-b263-995c398c92d6,19/05/2017 13:49:42,1,108069.0
10,50acd561-a429-4add-b263-995c398c92d6,19/05/2017 12:44:04,1,108068.0
11,50acd561-a429-4add-b263-995c398c92d6,19/05/2017 11:44:04,2,108067.0
12,50acd561-a429-4add-b263-995c398c92d6,19/05/2017 10:44:04,0,108065.0
13,50acd561-a429-4add-b263-995c398c92d6,19/05/2017 09:44:04,1,108065.0
14,50acd561-a429-4add-b263-995c398c92d6,19/05/2017 08:44:18,1,108064.0
15,50acd561-a429-4add-b263-995c398c92d6,19/05/2017 07:44:18,2,108063.0
16,50acd561-a429-4add-b263-995c398c92d6,19/05/2017 06:44:18,0,108061.0
17,50acd561-a429-4add-b263-995c398c92d6,19/05/2017 05:44:18,0,108061.0
18,50acd561-a429-4add-b263-995c398c92d6,19/05/2017 04:44:07,0,108061.0
19,50acd561-a429-4add-b263-995c398c92d6,19/05/2017 03:44:07,0,108061.0
20,50acd561-a429-4add-b263-995c398c92d6,19/05/2017 02:44:07,0,108061.0
21,50acd561-a429-4add-b263-995c398c92d6,19/05/2017 01:44:07,2,108061.0
22,50acd561-a429-4add-b263-995c398c92d6,18/05/2017 20:45:27,1,108059.0
23,50acd561-a429-4add-b263-995c398c92d6,18/05/2017 19:45:27,0,108058.0
24,50acd561-a429-4add-b263-995c398c92d6,18/05/2017 18:45:27,1,108058.0
25,50acd561-a429-4add-b263-995c398c92d6,18/05/2017 17:45:27,5,108057.0
26,50acd561-a429-4add-b263-995c398c92d6,18/05/2017 08:44:25,1,108052.0
27,50acd561-a429-4add-b263-995c398c92d6,18/05/2017 07:44:25,1,108051.0
28,50acd561-a429-4add-b263-995c398c92d6,18/05/2017 06:44:25,0,108050.0
29,50acd561-a429-4add-b263-995c398c92d6,18/05/2017 05:44:25,0,108050.0
30,50acd561-a429-4add-b263-995c398c92d6,18/05/2017 00:44:23,0,108050.0
31,50acd561-a429-4add-b263-995c398c92d6,17/05/2017 23:44:23,1,108050.0
32,50acd561-a429-4add-b263-995c398c92d6,17/05/2017 22:44:23,0,108049.0
33,50acd561-a429-4add-b263-995c398c92d6,17/05/2017 21:44:23,2,108049.0
34,50acd561-a429-4add-b263-995c398c92d6,17/05/2017 20:44:10,0,108047.0
35,50acd561-a429-4add-b263-995c398c92d6,17/05/2017 19:44:10,1,108047.0
36,50acd561-a429-4add-b263-995c398c92d6,17/05/2017 18:44:10,0,108046.0
37,50acd561-a429-4add-b263-995c398c92d6,17/05/2017 17:44:10,0,108046.0
38,50acd561-a429-4add-b263-995c398c92d6,17/05/2017 16:44:25,1,108046.0
39,50acd561-a429-4add-b263-995c398c92d6,17/05/2017 15:44:25,1,108045.0
40,50acd561-a429-4add-b263-995c398c92d6,17/05/2017 14:44:25,1,108044.0
41,50acd561-a429-4add-b263-995c398c92d6,17/05/2017 13:44:25,1,108043.0
42,50acd561-a429-4add-b263-995c398c92d6,17/05/2017 12:43:59,0,108042.0
43,50acd561-a429-4add-b263-995c398c92d6,17/05/2017 11:43:59,1,108042.0
