id,uid,time,data,meter
0,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,19/05/2017 19:45:56,6,361300.0
1,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,19/05/2017 18:45:56,0,361294.0
2,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,19/05/2017 17:45:56,175,361294.0
3,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,19/05/2017 13:05:37,15,361119.0
4,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,19/05/2017 12:05:37,22,361104.0
5,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,19/05/2017 11:05:37,58,361082.0
6,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,19/05/2017 10:05:37,50,361024.0
7,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,19/05/2017 09:05:23,97,360974.0
8,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,19/05/2017 08:05:23,0,360877.0
9,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,19/05/2017 07:05:23,7,360877.0
10,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,19/05/2017 06:05:23,0,360870.0
11,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,19/05/2017 04:45:59,13,360870.0
12,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,19/05/2017 03:45:59,0,360857.0
13,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,19/05/2017 02:45:59,0,360857.0
14,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,19/05/2017 01:45:59,76,360857.0
15,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,18/05/2017 21:05:49,1,360781.0
16,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,18/05/2017 20:05:49,20,360780.0
17,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,18/05/2017 19:05:49,4,360760.0
18,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,18/05/2017 18:05:49,186,360756.0
19,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,18/05/2017 12:46:01,26,360570.0
20,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,18/05/2017 11:46:01,89,360544.0
21,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,18/05/2017 10:46:01,59,360455.0
22,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,18/05/2017 09:46:01,130,360396.0
23,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,18/05/2017 08:05:27,9,360266.0
24,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,18/05/2017 07:05:27,0,360257.0
25,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,18/05/2017 06:05:27,0,360257.0
26,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,18/05/2017 04:46:02,7,360257.0
27,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,18/05/2017 03:46:02,0,360250.0
28,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,18/05/2017 02:46:02,0,360250.0
29,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,18/05/2017 01:46:02,0,360250.0
30,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,18/05/2017 00:46:02,9,360250.0
31,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,17/05/2017 23:46:02,12,360241.0
32,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,17/05/2017 22:46:02,28,360229.0
33,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,17/05/2017 21:46:02,81,360201.0
34,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,17/05/2017 16:46:03,17,360120.0
35,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,17/05/2017 15:46:03,5,360103.0
36,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,17/05/2017 14:46:03,20,360098.0
37,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,17/05/2017 13:46:03,136,360078.0
38,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,17/05/2017 09:05:47,69,359942.0
39,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,17/05/2017 08:05:47,3,359873.0
40,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,17/05/2017 07:05:47,0,359870.0
41,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,17/05/2017 06:05:47,39,359870.0
42,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,16/05/2017 20:46:04,0,359831.0
43,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,16/05/2017 19:46:04,35,359831.0
44,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,16/05/2017 18:46:04,4,359796.0
45,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,16/05/2017 17:46:04,37,359792.0
46,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,16/05/2017 16:46:04,2,359755.0
47,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,16/05/2017 15:46:04,79,359753.0
48,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,16/05/2017 14:46:04,16,359674.0
49,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,16/05/2017 13:46:04,48,359658.0
50,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,16/05/2017 12:05:24,18,359610.0
51,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,16/05/2017 11:05:24,42,359592.0
52,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,16/05/2017 10:05:24,79,359550.0
53,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,16/05/2017 04:46:05,7,359471.0
54,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,16/05/2017 03:46:05,0,359464.0
55,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,16/05/2017 02:46:05,0,359464.0
56,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,16/05/2017 01:46:05,0,359464.0
57,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,16/05/2017 00:46:05,10,359464.0
58,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,15/05/2017 23:46:05,4,359454.0
59,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,15/05/2017 22:46:05,35,359450.0
60,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,15/05/2017 21:46:05,14,359415.0
61,51c5f7c9-10b1-4727-82d7-ee69a1ea8619,15/05/2017 20:05:31,11,359401.0
