id,uid,time,data,meter
0,686142d8-c9d9-4252-8098-3cc0cff96759,19/05/2017 22:14:46,9,484605.0
1,686142d8-c9d9-4252-8098-3cc0cff96759,19/05/2017 21:14:49,10,484596.0
2,686142d8-c9d9-4252-8098-3cc0cff96759,19/05/2017 20:14:49,0,484586.0
3,686142d8-c9d9-4252-8098-3cc0cff96759,19/05/2017 19:14:49,62,484586.0
4,686142d8-c9d9-4252-8098-3cc0cff96759,19/05/2017 18:00:00,0,484524.0
5,686142d8-c9d9-4252-8098-3cc0cff96759,19/05/2017 17:14:53,0,484524.0
6,686142d8-c9d9-4252-8098-3cc0cff96759,19/05/2017 16:14:53,8,484524.0
7,686142d8-c9d9-4252-8098-3cc0cff96759,19/05/2017 15:14:53,25,484516.0
8,686142d8-c9d9-4252-8098-3cc0cff96759,19/05/2017 14:14:53,282,484491.0
9,686142d8-c9d9-4252-8098-3cc0cff96759,18/05/2017 21:14:49,0,484209.0
10,686142d8-c9d9-4252-8098-3cc0cff96759,18/05/2017 20:14:49,19,484209.0
11,686142d8-c9d9-4252-8098-3cc0cff96759,18/05/2017 19:14:49,0,484190.0
12,686142d8-c9d9-4252-8098-3cc0cff96759,18/05/2017 18:14:49,147,484190.0
13,686142d8-c9d9-4252-8098-3cc0cff96759,18/05/2017 01:33:57,8,484043.0
14,686142d8-c9d9-4252-8098-3cc0cff96759,18/05/2017 00:33:57,12,484035.0
15,686142d8-c9d9-4252-8098-3cc0cff96759,17/05/2017 23:33:57,0,484023.0
16,686142d8-c9d9-4252-8098-3cc0cff96759,17/05/2017 22:33:57,19,484023.0
17,686142d8-c9d9-4252-8098-3cc0cff96759,17/05/2017 17:14:54,0,484004.0
18,686142d8-c9d9-4252-8098-3cc0cff96759,17/05/2017 16:14:54,8,484004.0
19,686142d8-c9d9-4252-8098-3cc0cff96759,17/05/2017 15:14:54,27,483996.0
20,686142d8-c9d9-4252-8098-3cc0cff96759,17/05/2017 14:14:54,46,483969.0
21,686142d8-c9d9-4252-8098-3cc0cff96759,17/05/2017 13:14:44,17,483923.0
22,686142d8-c9d9-4252-8098-3cc0cff96759,17/05/2017 12:14:44,15,483906.0
23,686142d8-c9d9-4252-8098-3cc0cff96759,17/05/2017 11:14:44,10,483891.0
24,686142d8-c9d9-4252-8098-3cc0cff96759,17/05/2017 10:14:44,224,483881.0
25,686142d8-c9d9-4252-8098-3cc0cff96759,16/05/2017 17:35:25,0,483657.0
26,686142d8-c9d9-4252-8098-3cc0cff96759,16/05/2017 16:35:25,33,483657.0
27,686142d8-c9d9-4252-8098-3cc0cff96759,16/05/2017 15:35:25,65,483624.0
28,686142d8-c9d9-4252-8098-3cc0cff96759,16/05/2017 14:35:25,249,483559.0
29,686142d8-c9d9-4252-8098-3cc0cff96759,16/05/2017 09:35:35,80,483310.0
30,686142d8-c9d9-4252-8098-3cc0cff96759,16/05/2017 08:35:35,0,483230.0
31,686142d8-c9d9-4252-8098-3cc0cff96759,16/05/2017 07:35:35,5,483230.0
32,686142d8-c9d9-4252-8098-3cc0cff96759,16/05/2017 06:35:35,431,483225.0
33,686142d8-c9d9-4252-8098-3cc0cff96759,15/05/2017 09:15:01,25,482794.0
34,686142d8-c9d9-4252-8098-3cc0cff96759,15/05/2017 08:15:01,0,482769.0
35,686142d8-c9d9-4252-8098-3cc0cff96759,15/05/2017 07:15:01,0,482769.0
36,686142d8-c9d9-4252-8098-3cc0cff96759,15/05/2017 06:15:01,723,482769.0
37,686142d8-c9d9-4252-8098-3cc0cff96759,13/05/2017 09:15:05,76,482046.0
38,686142d8-c9d9-4252-8098-3cc0cff96759,13/05/2017 08:15:05,13,481970.0
39,686142d8-c9d9-4252-8098-3cc0cff96759,13/05/2017 07:15:05,0,481957.0
40,686142d8-c9d9-4252-8098-3cc0cff96759,13/05/2017 06:15:05,29,481957.0
41,686142d8-c9d9-4252-8098-3cc0cff96759,13/05/2017 01:15:10,21,481928.0
42,686142d8-c9d9-4252-8098-3cc0cff96759,13/05/2017 00:15:10,21,481907.0
43,686142d8-c9d9-4252-8098-3cc0cff96759,12/5/2017 23:15,25,481886.0
44,686142d8-c9d9-4252-8098-3cc0cff96759,12/5/2017 22:15,463,481861.0
45,686142d8-c9d9-4252-8098-3cc0cff96759,12/5/2017 9:15,69,481398.0
46,686142d8-c9d9-4252-8098-3cc0cff96759,12/5/2017 8:15,4,481329.0
47,686142d8-c9d9-4252-8098-3cc0cff96759,12/5/2017 7:15,0,481325.0
48,686142d8-c9d9-4252-8098-3cc0cff96759,12/5/2017 6:15,584,481325.0
49,686142d8-c9d9-4252-8098-3cc0cff96759,11/5/2017 1:15,19,480741.0
50,686142d8-c9d9-4252-8098-3cc0cff96759,11/5/2017 0:15,12,480722.0
51,686142d8-c9d9-4252-8098-3cc0cff96759,10/5/2017 23:15,20,480710.0
52,686142d8-c9d9-4252-8098-3cc0cff96759,10/5/2017 22:15,117,480690.0
53,686142d8-c9d9-4252-8098-3cc0cff96759,10/5/2017 17:32,0,480573.0
54,686142d8-c9d9-4252-8098-3cc0cff96759,10/5/2017 16:32,28,480573.0
55,686142d8-c9d9-4252-8098-3cc0cff96759,10/5/2017 15:32,61,480545.0
56,686142d8-c9d9-4252-8098-3cc0cff96759,10/5/2017 14:32,833,480484.0
57,686142d8-c9d9-4252-8098-3cc0cff96759,8/5/2017 17:15,25,479651.0
58,686142d8-c9d9-4252-8098-3cc0cff96759,8/5/2017 16:15,51,479626.0
59,686142d8-c9d9-4252-8098-3cc0cff96759,8/5/2017 15:15,22,479575.0
60,686142d8-c9d9-4252-8098-3cc0cff96759,8/5/2017 14:15,275,479553.0
61,686142d8-c9d9-4252-8098-3cc0cff96759,7/5/2017 21:36,18,479278.0
62,686142d8-c9d9-4252-8098-3cc0cff96759,7/5/2017 20:36,11,479260.0
63,686142d8-c9d9-4252-8098-3cc0cff96759,7/5/2017 19:36,0,479249.0
64,686142d8-c9d9-4252-8098-3cc0cff96759,7/5/2017 18:36,11,479249.0
65,686142d8-c9d9-4252-8098-3cc0cff96759,7/5/2017 13:31,19,479238.0
66,686142d8-c9d9-4252-8098-3cc0cff96759,7/5/2017 12:31,7,479219.0
67,686142d8-c9d9-4252-8098-3cc0cff96759,7/5/2017 11:31,2,479212.0
68,686142d8-c9d9-4252-8098-3cc0cff96759,7/5/2017 10:31,9,479210.0
69,686142d8-c9d9-4252-8098-3cc0cff96759,7/5/2017 5:35,0,479201.0
