id,uid,time,data,meter
0,6c524691-30fe-4799-b6e6-bbddc35e9168,19/05/2017 22:37:25,3,188288.0
1,6c524691-30fe-4799-b6e6-bbddc35e9168,19/05/2017 21:37:25,6,188285.0
2,6c524691-30fe-4799-b6e6-bbddc35e9168,19/05/2017 20:37:25,11,188279.0
3,6c524691-30fe-4799-b6e6-bbddc35e9168,19/05/2017 19:37:27,12,188268.0
4,6c524691-30fe-4799-b6e6-bbddc35e9168,19/05/2017 18:37:27,0,188256.0
5,6c524691-30fe-4799-b6e6-bbddc35e9168,19/05/2017 17:37:27,0,188256.0
6,6c524691-30fe-4799-b6e6-bbddc35e9168,19/05/2017 16:37:27,28,188256.0
7,6c524691-30fe-4799-b6e6-bbddc35e9168,19/05/2017 11:37:26,17,188228.0
8,6c524691-30fe-4799-b6e6-bbddc35e9168,19/05/2017 10:37:26,10,188211.0
9,6c524691-30fe-4799-b6e6-bbddc35e9168,19/05/2017 09:37:26,9,188201.0
10,6c524691-30fe-4799-b6e6-bbddc35e9168,19/05/2017 08:37:26,19,188192.0
11,6c524691-30fe-4799-b6e6-bbddc35e9168,19/05/2017 07:37:37,0,188173.0
12,6c524691-30fe-4799-b6e6-bbddc35e9168,19/05/2017 06:37:37,0,188173.0
13,6c524691-30fe-4799-b6e6-bbddc35e9168,19/05/2017 05:37:37,0,188173.0
14,6c524691-30fe-4799-b6e6-bbddc35e9168,19/05/2017 04:37:37,0,188173.0
15,6c524691-30fe-4799-b6e6-bbddc35e9168,19/05/2017 03:37:29,0,188173.0
16,6c524691-30fe-4799-b6e6-bbddc35e9168,19/05/2017 02:37:29,0,188173.0
17,6c524691-30fe-4799-b6e6-bbddc35e9168,19/05/2017 01:37:29,0,188173.0
18,6c524691-30fe-4799-b6e6-bbddc35e9168,19/05/2017 00:37:29,0,188173.0
19,6c524691-30fe-4799-b6e6-bbddc35e9168,18/05/2017 23:37:29,0,188173.0
20,6c524691-30fe-4799-b6e6-bbddc35e9168,18/05/2017 22:37:29,7,188173.0
21,6c524691-30fe-4799-b6e6-bbddc35e9168,18/05/2017 21:37:29,0,188166.0
22,6c524691-30fe-4799-b6e6-bbddc35e9168,18/05/2017 20:37:29,11,188166.0
23,6c524691-30fe-4799-b6e6-bbddc35e9168,18/05/2017 19:37:32,7,188155.0
24,6c524691-30fe-4799-b6e6-bbddc35e9168,18/05/2017 18:37:32,3,188148.0
25,6c524691-30fe-4799-b6e6-bbddc35e9168,18/05/2017 17:37:32,0,188145.0
26,6c524691-30fe-4799-b6e6-bbddc35e9168,18/05/2017 16:37:32,0,188145.0
27,6c524691-30fe-4799-b6e6-bbddc35e9168,18/05/2017 15:37:28,8,188145.0
28,6c524691-30fe-4799-b6e6-bbddc35e9168,18/05/2017 14:37:28,42,188137.0
29,6c524691-30fe-4799-b6e6-bbddc35e9168,18/05/2017 13:37:28,0,188095.0
