id,uid,time,data,meter
0,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,19/05/2017 22:32:09,5,173431.0
1,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,19/05/2017 21:32:07,37,173426.0
2,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,19/05/2017 20:32:07,1,173389.0
3,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,19/05/2017 19:32:07,37,173388.0
4,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,19/05/2017 18:32:07,0,173351.0
5,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,19/05/2017 17:32:08,0,173351.0
6,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,19/05/2017 16:32:08,0,173351.0
7,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,19/05/2017 15:32:08,0,173351.0
8,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,19/05/2017 14:32:08,71,173351.0
9,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,19/05/2017 05:32:10,0,173280.0
10,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,19/05/2017 04:32:10,0,173280.0
11,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,19/05/2017 03:32:10,0,173280.0
12,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,19/05/2017 02:32:10,0,173280.0
13,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,19/05/2017 01:32:09,0,173280.0
14,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,19/05/2017 00:32:09,8,173280.0
15,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,18/05/2017 23:32:09,25,173272.0
16,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,18/05/2017 22:32:09,25,173247.0
17,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,18/05/2017 21:32:09,47,173222.0
18,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,18/05/2017 20:32:09,3,173175.0
19,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,18/05/2017 19:32:09,80,173172.0
20,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,18/05/2017 18:32:09,0,173092.0
21,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,18/05/2017 17:32:12,0,173092.0
22,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,18/05/2017 16:32:12,52,173092.0
23,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,18/05/2017 15:32:12,30,173040.0
24,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,18/05/2017 14:32:12,12,173010.0
25,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,18/05/2017 13:32:10,50,172998.0
26,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,18/05/2017 12:32:10,0,172948.0
27,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,18/05/2017 11:32:10,0,172948.0
28,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,18/05/2017 10:32:10,117,172948.0
29,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,18/05/2017 01:32:13,0,172831.0
30,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,18/05/2017 00:32:13,12,172831.0
31,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,17/05/2017 23:32:13,13,172819.0
32,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,17/05/2017 22:32:13,6,172806.0
33,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,17/05/2017 21:32:13,13,172800.0
34,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,17/05/2017 20:32:13,8,172787.0
35,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,17/05/2017 19:32:13,0,172779.0
36,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,17/05/2017 18:32:13,0,172779.0
37,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,17/05/2017 17:32:14,0,172779.0
38,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,17/05/2017 16:32:14,1,172779.0
39,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,17/05/2017 15:32:14,1,172778.0
40,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,17/05/2017 14:32:14,1,172777.0
41,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,17/05/2017 13:32:14,0,172776.0
42,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,17/05/2017 12:32:14,1,172776.0
43,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,17/05/2017 11:32:14,1,172775.0
44,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,17/05/2017 10:32:14,1,172774.0
45,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,17/05/2017 09:32:14,2,172773.0
46,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,17/05/2017 08:32:14,19,172771.0
47,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,17/05/2017 07:32:14,42,172752.0
48,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,17/05/2017 06:32:14,1,172710.0
49,6d65747d-3b69-4c2a-b7b2-a8c700eb7d53,17/05/2017 05:32:15,5,172709.0
