id,uid,time,data,meter
0,7b35e9e6-944c-40bf-9a80-627da86dd57f,19/05/2017 22:06:36,38,300258.0
1,7b35e9e6-944c-40bf-9a80-627da86dd57f,19/05/2017 21:06:36,18,300220.0
2,7b35e9e6-944c-40bf-9a80-627da86dd57f,19/05/2017 20:06:38,87,300202.0
3,7b35e9e6-944c-40bf-9a80-627da86dd57f,19/05/2017 19:06:38,24,300115.0
4,7b35e9e6-944c-40bf-9a80-627da86dd57f,19/05/2017 18:06:38,6,300091.0
5,7b35e9e6-944c-40bf-9a80-627da86dd57f,19/05/2017 17:06:38,271,300085.0
6,7b35e9e6-944c-40bf-9a80-627da86dd57f,19/05/2017 12:06:40,59,299814.0
7,7b35e9e6-944c-40bf-9a80-627da86dd57f,19/05/2017 11:06:40,0,299755.0
8,7b35e9e6-944c-40bf-9a80-627da86dd57f,19/05/2017 10:06:40,75,299755.0
9,7b35e9e6-944c-40bf-9a80-627da86dd57f,19/05/2017 09:06:40,0,299680.0
10,7b35e9e6-944c-40bf-9a80-627da86dd57f,19/05/2017 08:06:38,0,299680.0
11,7b35e9e6-944c-40bf-9a80-627da86dd57f,19/05/2017 07:06:38,0,299680.0
12,7b35e9e6-944c-40bf-9a80-627da86dd57f,19/05/2017 06:06:38,0,299680.0
13,7b35e9e6-944c-40bf-9a80-627da86dd57f,19/05/2017 05:06:38,205,299680.0
14,7b35e9e6-944c-40bf-9a80-627da86dd57f,18/05/2017 20:06:42,19,299475.0
15,7b35e9e6-944c-40bf-9a80-627da86dd57f,18/05/2017 19:06:42,35,299456.0
16,7b35e9e6-944c-40bf-9a80-627da86dd57f,18/05/2017 18:06:42,43,299421.0
17,7b35e9e6-944c-40bf-9a80-627da86dd57f,18/05/2017 17:06:42,22,299378.0
18,7b35e9e6-944c-40bf-9a80-627da86dd57f,18/05/2017 16:06:41,23,299356.0
19,7b35e9e6-944c-40bf-9a80-627da86dd57f,18/05/2017 15:06:41,94,299333.0
20,7b35e9e6-944c-40bf-9a80-627da86dd57f,18/05/2017 14:06:41,86,299239.0
21,7b35e9e6-944c-40bf-9a80-627da86dd57f,18/05/2017 13:06:41,229,299153.0
22,7b35e9e6-944c-40bf-9a80-627da86dd57f,18/05/2017 08:06:41,0,298924.0
23,7b35e9e6-944c-40bf-9a80-627da86dd57f,18/05/2017 07:06:41,0,298924.0
24,7b35e9e6-944c-40bf-9a80-627da86dd57f,18/05/2017 06:06:41,0,298924.0
25,7b35e9e6-944c-40bf-9a80-627da86dd57f,18/05/2017 05:06:41,9,298924.0
26,7b35e9e6-944c-40bf-9a80-627da86dd57f,18/05/2017 04:06:43,0,298915.0
27,7b35e9e6-944c-40bf-9a80-627da86dd57f,18/05/2017 03:06:43,9,298915.0
28,7b35e9e6-944c-40bf-9a80-627da86dd57f,18/05/2017 02:06:43,4,298906.0
29,7b35e9e6-944c-40bf-9a80-627da86dd57f,18/05/2017 01:06:43,26,298902.0
30,7b35e9e6-944c-40bf-9a80-627da86dd57f,18/05/2017 00:06:41,92,298876.0
31,7b35e9e6-944c-40bf-9a80-627da86dd57f,17/05/2017 23:06:41,19,298784.0
32,7b35e9e6-944c-40bf-9a80-627da86dd57f,17/05/2017 22:06:41,10,298765.0
33,7b35e9e6-944c-40bf-9a80-627da86dd57f,17/05/2017 21:06:41,52,298755.0
34,7b35e9e6-944c-40bf-9a80-627da86dd57f,17/05/2017 20:06:43,39,298703.0
35,7b35e9e6-944c-40bf-9a80-627da86dd57f,17/05/2017 19:06:43,70,298664.0
36,7b35e9e6-944c-40bf-9a80-627da86dd57f,17/05/2017 18:06:43,37,298594.0
37,7b35e9e6-944c-40bf-9a80-627da86dd57f,17/05/2017 17:06:43,286,298557.0
38,7b35e9e6-944c-40bf-9a80-627da86dd57f,17/05/2017 12:06:44,26,298271.0
39,7b35e9e6-944c-40bf-9a80-627da86dd57f,17/05/2017 11:06:44,57,298245.0
40,7b35e9e6-944c-40bf-9a80-627da86dd57f,17/05/2017 10:06:44,51,298188.0
41,7b35e9e6-944c-40bf-9a80-627da86dd57f,17/05/2017 09:06:44,209,298137.0
42,7b35e9e6-944c-40bf-9a80-627da86dd57f,16/05/2017 20:06:48,82,297928.0
43,7b35e9e6-944c-40bf-9a80-627da86dd57f,16/05/2017 19:06:48,84,297846.0
44,7b35e9e6-944c-40bf-9a80-627da86dd57f,16/05/2017 18:06:48,39,297762.0
45,7b35e9e6-944c-40bf-9a80-627da86dd57f,16/05/2017 17:06:48,28,297723.0
46,7b35e9e6-944c-40bf-9a80-627da86dd57f,16/05/2017 16:06:47,92,297695.0
47,7b35e9e6-944c-40bf-9a80-627da86dd57f,16/05/2017 15:06:47,42,297603.0
48,7b35e9e6-944c-40bf-9a80-627da86dd57f,16/05/2017 14:06:47,63,297561.0
49,7b35e9e6-944c-40bf-9a80-627da86dd57f,16/05/2017 13:06:47,161,297498.0
50,7b35e9e6-944c-40bf-9a80-627da86dd57f,16/05/2017 04:06:48,0,297337.0
51,7b35e9e6-944c-40bf-9a80-627da86dd57f,16/05/2017 03:06:48,0,297337.0
52,7b35e9e6-944c-40bf-9a80-627da86dd57f,16/05/2017 02:06:48,8,297337.0
53,7b35e9e6-944c-40bf-9a80-627da86dd57f,16/05/2017 01:06:48,10,297329.0
54,7b35e9e6-944c-40bf-9a80-627da86dd57f,16/05/2017 00:06:46,52,297319.0
55,7b35e9e6-944c-40bf-9a80-627da86dd57f,15/05/2017 23:06:46,23,297267.0
56,7b35e9e6-944c-40bf-9a80-627da86dd57f,15/05/2017 22:06:46,12,297244.0
57,7b35e9e6-944c-40bf-9a80-627da86dd57f,15/05/2017 21:06:46,160,297232.0
58,7b35e9e6-944c-40bf-9a80-627da86dd57f,15/05/2017 20:06:48,26,297072.0
59,7b35e9e6-944c-40bf-9a80-627da86dd57f,15/05/2017 19:06:48,61,297046.0
60,7b35e9e6-944c-40bf-9a80-627da86dd57f,15/05/2017 18:06:48,59,296985.0
61,7b35e9e6-944c-40bf-9a80-627da86dd57f,15/05/2017 17:06:48,26,296926.0
62,7b35e9e6-944c-40bf-9a80-627da86dd57f,15/05/2017 16:06:47,59,296900.0
63,7b35e9e6-944c-40bf-9a80-627da86dd57f,15/05/2017 15:06:47,96,296841.0
