id,uid,time,data,meter
0,7d16b7d1-a1f6-40b2-9657-d61da05741b4,19/05/2017 22:35:59,12,364612.0
1,7d16b7d1-a1f6-40b2-9657-d61da05741b4,19/05/2017 21:35:59,0,364600.0
2,7d16b7d1-a1f6-40b2-9657-d61da05741b4,19/05/2017 20:35:56,0,364600.0
3,7d16b7d1-a1f6-40b2-9657-d61da05741b4,19/05/2017 19:35:56,6,364600.0
4,7d16b7d1-a1f6-40b2-9657-d61da05741b4,19/05/2017 18:35:56,0,364594.0
5,7d16b7d1-a1f6-40b2-9657-d61da05741b4,19/05/2017 17:35:56,3,364594.0
6,7d16b7d1-a1f6-40b2-9657-d61da05741b4,19/05/2017 16:36:01,0,364591.0
7,7d16b7d1-a1f6-40b2-9657-d61da05741b4,19/05/2017 15:36:01,97,364591.0
8,7d16b7d1-a1f6-40b2-9657-d61da05741b4,19/05/2017 14:36:01,5,364494.0
9,7d16b7d1-a1f6-40b2-9657-d61da05741b4,19/05/2017 13:36:01,14,364489.0
10,7d16b7d1-a1f6-40b2-9657-d61da05741b4,19/05/2017 12:35:55,27,364475.0
11,7d16b7d1-a1f6-40b2-9657-d61da05741b4,19/05/2017 11:35:55,0,364448.0
12,7d16b7d1-a1f6-40b2-9657-d61da05741b4,19/05/2017 10:35:55,11,364448.0
13,7d16b7d1-a1f6-40b2-9657-d61da05741b4,19/05/2017 09:35:55,83,364437.0
14,7d16b7d1-a1f6-40b2-9657-d61da05741b4,19/05/2017 00:35:59,0,364354.0
15,7d16b7d1-a1f6-40b2-9657-d61da05741b4,18/05/2017 23:35:59,1,364354.0
16,7d16b7d1-a1f6-40b2-9657-d61da05741b4,18/05/2017 22:35:59,6,364353.0
17,7d16b7d1-a1f6-40b2-9657-d61da05741b4,18/05/2017 21:35:59,5,364347.0
18,7d16b7d1-a1f6-40b2-9657-d61da05741b4,18/05/2017 20:36:00,1,364342.0
19,7d16b7d1-a1f6-40b2-9657-d61da05741b4,18/05/2017 19:36:00,8,364341.0
20,7d16b7d1-a1f6-40b2-9657-d61da05741b4,18/05/2017 18:36:00,0,364333.0
21,7d16b7d1-a1f6-40b2-9657-d61da05741b4,18/05/2017 17:36:00,3,364333.0
22,7d16b7d1-a1f6-40b2-9657-d61da05741b4,18/05/2017 16:36:03,8,364330.0
23,7d16b7d1-a1f6-40b2-9657-d61da05741b4,18/05/2017 15:36:03,60,364322.0
24,7d16b7d1-a1f6-40b2-9657-d61da05741b4,18/05/2017 14:36:03,3,364262.0
25,7d16b7d1-a1f6-40b2-9657-d61da05741b4,18/05/2017 13:36:03,28,364259.0
26,7d16b7d1-a1f6-40b2-9657-d61da05741b4,18/05/2017 12:35:59,5,364231.0
27,7d16b7d1-a1f6-40b2-9657-d61da05741b4,18/05/2017 11:35:59,8,364226.0
28,7d16b7d1-a1f6-40b2-9657-d61da05741b4,18/05/2017 10:35:59,22,364218.0
29,7d16b7d1-a1f6-40b2-9657-d61da05741b4,18/05/2017 09:35:59,45,364196.0
