id,uid,time,data,meter
0,7ff8f549-938d-4419-80a1-7c71588046d9,19/05/2017 22:14:54,10,221774.0
1,7ff8f549-938d-4419-80a1-7c71588046d9,19/05/2017 21:14:54,13,221764.0
2,7ff8f549-938d-4419-80a1-7c71588046d9,19/05/2017 15:58:05,14,221751.0
3,7ff8f549-938d-4419-80a1-7c71588046d9,19/05/2017 14:58:05,23,221737.0
4,7ff8f549-938d-4419-80a1-7c71588046d9,19/05/2017 13:58:05,8,221714.0
5,7ff8f549-938d-4419-80a1-7c71588046d9,19/05/2017 12:58:05,40,221706.0
6,7ff8f549-938d-4419-80a1-7c71588046d9,19/05/2017 07:58:06,0,221666.0
7,7ff8f549-938d-4419-80a1-7c71588046d9,19/05/2017 06:58:06,0,221666.0
8,7ff8f549-938d-4419-80a1-7c71588046d9,19/05/2017 05:58:06,0,221666.0
9,7ff8f549-938d-4419-80a1-7c71588046d9,19/05/2017 04:58:06,72,221666.0
10,7ff8f549-938d-4419-80a1-7c71588046d9,18/05/2017 15:58:08,0,221594.0
11,7ff8f549-938d-4419-80a1-7c71588046d9,18/05/2017 14:58:08,8,221594.0
12,7ff8f549-938d-4419-80a1-7c71588046d9,18/05/2017 13:58:08,15,221586.0
13,7ff8f549-938d-4419-80a1-7c71588046d9,18/05/2017 12:58:08,297,221571.0
14,7ff8f549-938d-4419-80a1-7c71588046d9,18/05/2017 07:58:10,0,221274.0
15,7ff8f549-938d-4419-80a1-7c71588046d9,18/05/2017 06:58:10,3,221274.0
16,7ff8f549-938d-4419-80a1-7c71588046d9,18/05/2017 05:58:10,0,221271.0
17,7ff8f549-938d-4419-80a1-7c71588046d9,18/05/2017 04:58:10,170,221271.0
18,7ff8f549-938d-4419-80a1-7c71588046d9,17/05/2017 12:14:18,7,221101.0
19,7ff8f549-938d-4419-80a1-7c71588046d9,17/05/2017 11:14:18,0,221094.0
20,7ff8f549-938d-4419-80a1-7c71588046d9,17/05/2017 10:14:18,0,221094.0
21,7ff8f549-938d-4419-80a1-7c71588046d9,17/05/2017 09:14:18,21,221094.0
22,7ff8f549-938d-4419-80a1-7c71588046d9,17/05/2017 07:58:11,17,221073.0
23,7ff8f549-938d-4419-80a1-7c71588046d9,17/05/2017 06:58:11,0,221056.0
24,7ff8f549-938d-4419-80a1-7c71588046d9,17/05/2017 05:58:11,0,221056.0
25,7ff8f549-938d-4419-80a1-7c71588046d9,17/05/2017 04:58:11,6,221056.0
26,7ff8f549-938d-4419-80a1-7c71588046d9,17/05/2017 03:14:59,0,221050.0
27,7ff8f549-938d-4419-80a1-7c71588046d9,17/05/2017 02:14:59,0,221050.0
28,7ff8f549-938d-4419-80a1-7c71588046d9,17/05/2017 01:14:59,20,221050.0
29,7ff8f549-938d-4419-80a1-7c71588046d9,16/05/2017 20:15:31,0,221030.0
30,7ff8f549-938d-4419-80a1-7c71588046d9,16/05/2017 19:15:31,0,221030.0
31,7ff8f549-938d-4419-80a1-7c71588046d9,16/05/2017 18:15:31,5,221030.0
32,7ff8f549-938d-4419-80a1-7c71588046d9,16/05/2017 17:15:31,287,221025.0
33,7ff8f549-938d-4419-80a1-7c71588046d9,16/05/2017 07:58:14,7,220738.0
34,7ff8f549-938d-4419-80a1-7c71588046d9,16/05/2017 06:58:14,0,220731.0
35,7ff8f549-938d-4419-80a1-7c71588046d9,16/05/2017 05:58:14,0,220731.0
