id,uid,time,data,meter
0,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,19/05/2017 22:43:18,16,480149.0
1,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,19/05/2017 21:43:18,0,480133.0
2,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,19/05/2017 20:43:18,4,480133.0
3,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,19/05/2017 19:43:18,0,480129.0
4,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,19/05/2017 18:43:21,11,480129.0
5,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,19/05/2017 17:43:21,10,480118.0
6,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,19/05/2017 16:43:21,0,480108.0
7,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,19/05/2017 15:43:21,16,480108.0
8,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,19/05/2017 14:43:21,19,480092.0
9,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,19/05/2017 13:43:21,2,480073.0
10,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,19/05/2017 12:43:21,0,480071.0
11,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,19/05/2017 11:43:21,120,480071.0
12,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,19/05/2017 06:45:34,0,479951.0
13,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,19/05/2017 05:45:34,2,479951.0
14,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,19/05/2017 04:45:34,1,479949.0
15,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,19/05/2017 03:45:34,1,479948.0
16,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,19/05/2017 02:43:23,6,479947.0
17,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,19/05/2017 01:43:23,1,479941.0
18,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,19/05/2017 00:43:23,4,479940.0
19,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,18/05/2017 23:43:23,8,479936.0
20,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,18/05/2017 22:43:22,17,479928.0
21,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,18/05/2017 21:43:22,25,479911.0
22,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,18/05/2017 20:43:22,0,479886.0
23,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,18/05/2017 19:43:22,7,479886.0
24,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,18/05/2017 18:01:34,0,479879.0
25,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,18/05/2017 17:01:34,2,479879.0
26,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,18/05/2017 16:01:34,14,479877.0
27,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,18/05/2017 14:43:20,23,479863.0
28,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,18/05/2017 13:43:20,7,479840.0
29,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,18/05/2017 12:43:20,18,479833.0
30,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,18/05/2017 11:43:20,68,479815.0
31,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,18/05/2017 10:43:27,61,479747.0
32,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,18/05/2017 09:43:27,6,479686.0
33,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,18/05/2017 08:43:27,14,479680.0
34,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,18/05/2017 07:43:27,0,479666.0
35,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,18/05/2017 06:43:22,0,479666.0
36,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,18/05/2017 05:43:22,0,479666.0
37,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,18/05/2017 04:43:22,0,479666.0
38,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,18/05/2017 03:43:22,0,479666.0
39,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,18/05/2017 02:43:25,0,479666.0
40,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,18/05/2017 01:43:25,8,479666.0
41,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,18/05/2017 00:43:25,14,479658.0
42,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,17/05/2017 23:43:25,4,479644.0
43,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,17/05/2017 22:43:24,0,479640.0
44,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,17/05/2017 21:43:24,10,479640.0
45,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,17/05/2017 20:43:24,6,479630.0
46,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,17/05/2017 19:43:24,7,479624.0
47,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,17/05/2017 18:43:25,13,479617.0
48,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,17/05/2017 17:43:25,2,479604.0
49,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,17/05/2017 16:43:25,5,479602.0
50,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,17/05/2017 15:43:25,13,479597.0
51,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,17/05/2017 14:02:41,25,479584.0
52,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,17/05/2017 13:02:41,0,479559.0
53,8da9d3bd-f08f-4e80-925f-d8a3ace2500c,17/05/2017 12:02:41,25,479559.0
