id,uid,time,data,meter
0,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,19/05/2017 22:16:27,0,117160.0
1,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,19/05/2017 21:16:27,0,117160.0
2,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,19/05/2017 20:16:27,0,117160.0
3,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,19/05/2017 19:16:27,6,117160.0
4,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,19/05/2017 18:16:23,14,117154.0
5,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,19/05/2017 17:16:23,11,117140.0
6,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,19/05/2017 16:16:23,7,117129.0
7,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,19/05/2017 15:16:23,0,117122.0
8,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,19/05/2017 14:16:24,24,117122.0
9,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,19/05/2017 13:16:24,10,117098.0
10,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,19/05/2017 12:16:24,0,117088.0
11,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,19/05/2017 11:16:24,7,117088.0
12,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,19/05/2017 10:16:23,21,117081.0
13,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,19/05/2017 09:16:23,0,117060.0
14,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,19/05/2017 08:16:23,0,117060.0
15,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,19/05/2017 07:16:23,0,117060.0
16,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,19/05/2017 06:16:29,0,117060.0
17,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,19/05/2017 05:16:29,0,117060.0
18,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,19/05/2017 04:16:29,0,117060.0
19,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,19/05/2017 03:16:29,0,117060.0
20,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,19/05/2017 02:16:24,0,117060.0
21,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,19/05/2017 01:16:24,0,117060.0
22,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,19/05/2017 00:16:24,0,117060.0
23,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,18/05/2017 23:16:24,0,117060.0
24,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,18/05/2017 22:16:25,0,117060.0
25,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,18/05/2017 21:16:25,0,117060.0
26,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,18/05/2017 20:16:25,6,117060.0
27,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,18/05/2017 19:16:25,0,117054.0
28,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,18/05/2017 18:16:28,0,117054.0
29,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,18/05/2017 17:16:28,2,117054.0
30,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,18/05/2017 16:16:28,6,117052.0
31,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,18/05/2017 15:16:28,0,117046.0
32,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,18/05/2017 14:16:26,0,117046.0
33,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,18/05/2017 13:16:26,6,117046.0
34,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,18/05/2017 12:16:26,7,117040.0
35,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,18/05/2017 11:16:26,19,117033.0
36,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,18/05/2017 10:36:19,0,117014.0
37,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,18/05/2017 09:36:19,0,117014.0
38,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,18/05/2017 08:36:19,0,117014.0
39,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,18/05/2017 07:36:19,1,117014.0
40,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,18/05/2017 06:16:35,0,117013.0
41,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,18/05/2017 05:16:35,0,117013.0
42,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,18/05/2017 04:16:35,0,117013.0
43,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,18/05/2017 03:16:35,0,117013.0
44,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,18/05/2017 02:16:33,0,117013.0
45,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,18/05/2017 01:16:33,0,117013.0
46,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,18/05/2017 00:16:33,0,117013.0
47,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,17/05/2017 23:16:33,0,117013.0
48,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,17/05/2017 22:16:25,0,117013.0
49,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,17/05/2017 21:16:25,0,117013.0
50,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,17/05/2017 20:16:25,12,117013.0
51,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,17/05/2017 19:16:25,5,117001.0
52,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,17/05/2017 18:16:32,8,116996.0
53,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,17/05/2017 17:16:32,0,116988.0
54,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,17/05/2017 16:16:32,0,116988.0
55,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,17/05/2017 15:16:32,22,116988.0
56,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,17/05/2017 10:16:31,11,116966.0
57,98f91fcb-a7f2-4aab-805b-dcd5cf46c7c2,17/05/2017 09:16:31,0,116955.0
