id,uid,time,data,meter
0,994d9a90-2401-4e33-9235-32baeb4bc056,19/05/2017 22:35:11,8,431465.0
1,994d9a90-2401-4e33-9235-32baeb4bc056,19/05/2017 21:35:11,24,431457.0
2,994d9a90-2401-4e33-9235-32baeb4bc056,19/05/2017 20:35:11,0,431433.0
3,994d9a90-2401-4e33-9235-32baeb4bc056,19/05/2017 19:35:10,0,431433.0
4,994d9a90-2401-4e33-9235-32baeb4bc056,19/05/2017 18:35:10,0,431433.0
5,994d9a90-2401-4e33-9235-32baeb4bc056,19/05/2017 17:35:10,0,431433.0
6,994d9a90-2401-4e33-9235-32baeb4bc056,19/05/2017 16:35:10,0,431433.0
7,994d9a90-2401-4e33-9235-32baeb4bc056,19/05/2017 15:35:11,20,431433.0
8,994d9a90-2401-4e33-9235-32baeb4bc056,19/05/2017 14:35:11,1,431413.0
9,994d9a90-2401-4e33-9235-32baeb4bc056,19/05/2017 13:35:11,9,431412.0
10,994d9a90-2401-4e33-9235-32baeb4bc056,19/05/2017 12:35:11,5,431403.0
11,994d9a90-2401-4e33-9235-32baeb4bc056,19/05/2017 11:35:11,15,431398.0
12,994d9a90-2401-4e33-9235-32baeb4bc056,19/05/2017 10:35:11,24,431383.0
13,994d9a90-2401-4e33-9235-32baeb4bc056,19/05/2017 09:35:11,17,431359.0
14,994d9a90-2401-4e33-9235-32baeb4bc056,19/05/2017 08:35:11,14,431342.0
15,994d9a90-2401-4e33-9235-32baeb4bc056,19/05/2017 07:35:18,2,431328.0
16,994d9a90-2401-4e33-9235-32baeb4bc056,19/05/2017 06:35:18,0,431326.0
17,994d9a90-2401-4e33-9235-32baeb4bc056,19/05/2017 05:35:18,0,431326.0
18,994d9a90-2401-4e33-9235-32baeb4bc056,19/05/2017 04:35:18,0,431326.0
19,994d9a90-2401-4e33-9235-32baeb4bc056,19/05/2017 03:35:12,0,431326.0
20,994d9a90-2401-4e33-9235-32baeb4bc056,19/05/2017 02:35:12,1,431326.0
21,994d9a90-2401-4e33-9235-32baeb4bc056,19/05/2017 01:35:12,37,431325.0
22,994d9a90-2401-4e33-9235-32baeb4bc056,19/05/2017 00:35:12,7,431288.0
23,994d9a90-2401-4e33-9235-32baeb4bc056,18/05/2017 23:35:19,3,431281.0
24,994d9a90-2401-4e33-9235-32baeb4bc056,18/05/2017 22:35:19,4,431278.0
25,994d9a90-2401-4e33-9235-32baeb4bc056,18/05/2017 21:35:19,4,431274.0
26,994d9a90-2401-4e33-9235-32baeb4bc056,18/05/2017 20:35:19,7,431270.0
27,994d9a90-2401-4e33-9235-32baeb4bc056,18/05/2017 19:35:11,21,431263.0
28,994d9a90-2401-4e33-9235-32baeb4bc056,18/05/2017 18:35:11,21,431242.0
29,994d9a90-2401-4e33-9235-32baeb4bc056,18/05/2017 17:35:11,0,431221.0
30,994d9a90-2401-4e33-9235-32baeb4bc056,18/05/2017 16:35:11,7,431221.0
31,994d9a90-2401-4e33-9235-32baeb4bc056,18/05/2017 15:35:13,0,431214.0
32,994d9a90-2401-4e33-9235-32baeb4bc056,18/05/2017 14:35:13,25,431214.0
33,994d9a90-2401-4e33-9235-32baeb4bc056,18/05/2017 13:35:13,0,431189.0
34,994d9a90-2401-4e33-9235-32baeb4bc056,18/05/2017 12:35:13,0,431189.0
35,994d9a90-2401-4e33-9235-32baeb4bc056,18/05/2017 11:35:12,16,431189.0
36,994d9a90-2401-4e33-9235-32baeb4bc056,18/05/2017 10:35:12,26,431173.0
37,994d9a90-2401-4e33-9235-32baeb4bc056,18/05/2017 09:35:12,2,431147.0
38,994d9a90-2401-4e33-9235-32baeb4bc056,18/05/2017 08:35:12,12,431145.0
39,994d9a90-2401-4e33-9235-32baeb4bc056,18/05/2017 07:35:15,3,431133.0
40,994d9a90-2401-4e33-9235-32baeb4bc056,18/05/2017 06:35:15,0,431130.0
41,994d9a90-2401-4e33-9235-32baeb4bc056,18/05/2017 05:35:15,0,431130.0
42,994d9a90-2401-4e33-9235-32baeb4bc056,18/05/2017 04:35:15,0,431130.0
43,994d9a90-2401-4e33-9235-32baeb4bc056,18/05/2017 03:35:20,0,431130.0
44,994d9a90-2401-4e33-9235-32baeb4bc056,18/05/2017 02:35:20,0,431130.0
45,994d9a90-2401-4e33-9235-32baeb4bc056,18/05/2017 01:35:20,0,431130.0
46,994d9a90-2401-4e33-9235-32baeb4bc056,18/05/2017 00:35:20,7,431130.0
47,994d9a90-2401-4e33-9235-32baeb4bc056,17/05/2017 23:35:14,6,431123.0
48,994d9a90-2401-4e33-9235-32baeb4bc056,17/05/2017 22:35:14,55,431117.0
49,994d9a90-2401-4e33-9235-32baeb4bc056,17/05/2017 21:35:14,29,431062.0
50,994d9a90-2401-4e33-9235-32baeb4bc056,17/05/2017 20:35:14,0,431033.0
51,994d9a90-2401-4e33-9235-32baeb4bc056,17/05/2017 19:35:14,0,431033.0
52,994d9a90-2401-4e33-9235-32baeb4bc056,17/05/2017 18:35:14,7,431033.0
53,994d9a90-2401-4e33-9235-32baeb4bc056,17/05/2017 17:35:14,30,431026.0
54,994d9a90-2401-4e33-9235-32baeb4bc056,17/05/2017 16:35:14,19,430996.0
55,994d9a90-2401-4e33-9235-32baeb4bc056,17/05/2017 15:35:16,1,430977.0
56,994d9a90-2401-4e33-9235-32baeb4bc056,17/05/2017 14:35:16,60,430976.0
57,994d9a90-2401-4e33-9235-32baeb4bc056,17/05/2017 13:35:16,49,430916.0
