id,uid,time,data,meter
0,9bb98e59-e609-45db-a659-030dd644968f,19/05/2017 22:59:25,0,208866.0
1,9bb98e59-e609-45db-a659-030dd644968f,19/05/2017 21:59:25,22,208866.0
2,9bb98e59-e609-45db-a659-030dd644968f,19/05/2017 20:59:25,2,208844.0
3,9bb98e59-e609-45db-a659-030dd644968f,19/05/2017 19:59:25,0,208842.0
4,9bb98e59-e609-45db-a659-030dd644968f,19/05/2017 18:59:25,5,208842.0
5,9bb98e59-e609-45db-a659-030dd644968f,19/05/2017 17:59:25,34,208837.0
6,9bb98e59-e609-45db-a659-030dd644968f,19/05/2017 16:59:25,24,208803.0
7,9bb98e59-e609-45db-a659-030dd644968f,19/05/2017 15:59:24,8,208779.0
8,9bb98e59-e609-45db-a659-030dd644968f,19/05/2017 14:59:24,4,208771.0
9,9bb98e59-e609-45db-a659-030dd644968f,19/05/2017 13:59:24,10,208767.0
10,9bb98e59-e609-45db-a659-030dd644968f,19/05/2017 12:59:24,0,208757.0
11,9bb98e59-e609-45db-a659-030dd644968f,19/05/2017 11:59:28,1,208757.0
12,9bb98e59-e609-45db-a659-030dd644968f,19/05/2017 10:59:28,0,208756.0
13,9bb98e59-e609-45db-a659-030dd644968f,19/05/2017 09:59:28,3,208756.0
14,9bb98e59-e609-45db-a659-030dd644968f,19/05/2017 08:59:28,7,208753.0
15,9bb98e59-e609-45db-a659-030dd644968f,19/05/2017 07:59:27,11,208746.0
16,9bb98e59-e609-45db-a659-030dd644968f,19/05/2017 06:59:27,0,208735.0
17,9bb98e59-e609-45db-a659-030dd644968f,19/05/2017 05:59:27,0,208735.0
18,9bb98e59-e609-45db-a659-030dd644968f,19/05/2017 04:59:27,0,208735.0
19,9bb98e59-e609-45db-a659-030dd644968f,19/05/2017 03:59:29,4,208735.0
20,9bb98e59-e609-45db-a659-030dd644968f,19/05/2017 02:59:29,0,208731.0
21,9bb98e59-e609-45db-a659-030dd644968f,19/05/2017 01:59:29,0,208731.0
22,9bb98e59-e609-45db-a659-030dd644968f,19/05/2017 00:59:29,0,208731.0
23,9bb98e59-e609-45db-a659-030dd644968f,18/05/2017 23:59:28,7,208731.0
24,9bb98e59-e609-45db-a659-030dd644968f,18/05/2017 22:59:28,49,208724.0
25,9bb98e59-e609-45db-a659-030dd644968f,18/05/2017 21:59:28,0,208675.0
26,9bb98e59-e609-45db-a659-030dd644968f,18/05/2017 20:59:28,1,208675.0
27,9bb98e59-e609-45db-a659-030dd644968f,18/05/2017 19:59:32,0,208674.0
28,9bb98e59-e609-45db-a659-030dd644968f,18/05/2017 18:59:32,5,208674.0
29,9bb98e59-e609-45db-a659-030dd644968f,18/05/2017 17:59:32,0,208669.0
30,9bb98e59-e609-45db-a659-030dd644968f,18/05/2017 16:59:32,0,208669.0
31,9bb98e59-e609-45db-a659-030dd644968f,18/05/2017 15:59:29,4,208669.0
32,9bb98e59-e609-45db-a659-030dd644968f,18/05/2017 14:59:29,7,208665.0
33,9bb98e59-e609-45db-a659-030dd644968f,18/05/2017 13:59:29,9,208658.0
34,9bb98e59-e609-45db-a659-030dd644968f,18/05/2017 12:59:29,12,208649.0
35,9bb98e59-e609-45db-a659-030dd644968f,18/05/2017 11:59:30,12,208637.0
36,9bb98e59-e609-45db-a659-030dd644968f,18/05/2017 10:59:30,0,208625.0
37,9bb98e59-e609-45db-a659-030dd644968f,18/05/2017 09:59:30,0,208625.0
38,9bb98e59-e609-45db-a659-030dd644968f,18/05/2017 08:59:30,14,208625.0
39,9bb98e59-e609-45db-a659-030dd644968f,18/05/2017 07:59:30,5,208611.0
40,9bb98e59-e609-45db-a659-030dd644968f,18/05/2017 06:59:30,11,208606.0
41,9bb98e59-e609-45db-a659-030dd644968f,18/05/2017 05:59:30,0,208595.0
42,9bb98e59-e609-45db-a659-030dd644968f,18/05/2017 04:59:30,0,208595.0
43,9bb98e59-e609-45db-a659-030dd644968f,18/05/2017 03:59:31,0,208595.0
44,9bb98e59-e609-45db-a659-030dd644968f,18/05/2017 02:59:31,0,208595.0
45,9bb98e59-e609-45db-a659-030dd644968f,18/05/2017 01:59:31,0,208595.0
46,9bb98e59-e609-45db-a659-030dd644968f,18/05/2017 00:59:31,9,208595.0
47,9bb98e59-e609-45db-a659-030dd644968f,17/05/2017 23:59:46,10,208586.0
48,9bb98e59-e609-45db-a659-030dd644968f,17/05/2017 22:59:46,1,208576.0
49,9bb98e59-e609-45db-a659-030dd644968f,17/05/2017 21:59:46,0,208575.0
50,9bb98e59-e609-45db-a659-030dd644968f,17/05/2017 20:59:46,53,208575.0
51,9bb98e59-e609-45db-a659-030dd644968f,17/05/2017 19:59:33,0,208522.0
52,9bb98e59-e609-45db-a659-030dd644968f,17/05/2017 18:59:33,0,208522.0
53,9bb98e59-e609-45db-a659-030dd644968f,17/05/2017 17:59:33,0,208522.0
54,9bb98e59-e609-45db-a659-030dd644968f,17/05/2017 16:59:33,3,208522.0
55,9bb98e59-e609-45db-a659-030dd644968f,17/05/2017 15:59:30,4,208519.0
56,9bb98e59-e609-45db-a659-030dd644968f,17/05/2017 14:59:30,5,208515.0
57,9bb98e59-e609-45db-a659-030dd644968f,17/05/2017 13:59:30,14,208510.0
58,9bb98e59-e609-45db-a659-030dd644968f,17/05/2017 12:59:30,13,208496.0
59,9bb98e59-e609-45db-a659-030dd644968f,17/05/2017 11:59:33,6,208483.0
60,9bb98e59-e609-45db-a659-030dd644968f,17/05/2017 10:59:33,30,208477.0
61,9bb98e59-e609-45db-a659-030dd644968f,17/05/2017 09:59:33,17,208447.0
62,9bb98e59-e609-45db-a659-030dd644968f,17/05/2017 08:59:33,9,208430.0
63,9bb98e59-e609-45db-a659-030dd644968f,17/05/2017 07:59:32,8,208421.0
64,9bb98e59-e609-45db-a659-030dd644968f,17/05/2017 06:59:32,0,208413.0
65,9bb98e59-e609-45db-a659-030dd644968f,17/05/2017 05:59:32,0,208413.0
66,9bb98e59-e609-45db-a659-030dd644968f,17/05/2017 04:59:32,0,208413.0
67,9bb98e59-e609-45db-a659-030dd644968f,17/05/2017 03:59:33,0,208413.0
68,9bb98e59-e609-45db-a659-030dd644968f,17/05/2017 02:59:33,0,208413.0
69,9bb98e59-e609-45db-a659-030dd644968f,17/05/2017 01:59:33,7,208413.0
70,9bb98e59-e609-45db-a659-030dd644968f,17/05/2017 00:59:33,4,208406.0
71,9bb98e59-e609-45db-a659-030dd644968f,16/05/2017 23:59:32,6,208402.0
72,9bb98e59-e609-45db-a659-030dd644968f,16/05/2017 22:59:32,1,208396.0
73,9bb98e59-e609-45db-a659-030dd644968f,16/05/2017 21:59:32,0,208395.0
74,9bb98e59-e609-45db-a659-030dd644968f,16/05/2017 20:59:32,0,208395.0
75,9bb98e59-e609-45db-a659-030dd644968f,16/05/2017 19:59:34,27,208395.0
76,9bb98e59-e609-45db-a659-030dd644968f,16/05/2017 18:59:34,0,208368.0
77,9bb98e59-e609-45db-a659-030dd644968f,16/05/2017 17:59:34,0,208368.0
78,9bb98e59-e609-45db-a659-030dd644968f,16/05/2017 16:59:34,0,208368.0
79,9bb98e59-e609-45db-a659-030dd644968f,16/05/2017 15:59:33,0,208368.0
80,9bb98e59-e609-45db-a659-030dd644968f,16/05/2017 14:59:33,26,208368.0
81,9bb98e59-e609-45db-a659-030dd644968f,16/05/2017 13:59:33,4,208342.0
82,9bb98e59-e609-45db-a659-030dd644968f,16/05/2017 12:59:33,43,208338.0
83,9bb98e59-e609-45db-a659-030dd644968f,16/05/2017 11:59:35,26,208295.0
84,9bb98e59-e609-45db-a659-030dd644968f,16/05/2017 10:59:35,20,208269.0
85,9bb98e59-e609-45db-a659-030dd644968f,16/05/2017 09:59:35,32,208249.0
86,9bb98e59-e609-45db-a659-030dd644968f,16/05/2017 08:59:35,27,208217.0
87,9bb98e59-e609-45db-a659-030dd644968f,16/05/2017 07:59:33,11,208190.0
88,9bb98e59-e609-45db-a659-030dd644968f,16/05/2017 06:59:33,0,208179.0
89,9bb98e59-e609-45db-a659-030dd644968f,16/05/2017 05:59:33,0,208179.0
90,9bb98e59-e609-45db-a659-030dd644968f,16/05/2017 04:59:33,0,208179.0
91,9bb98e59-e609-45db-a659-030dd644968f,16/05/2017 03:59:35,0,208179.0
92,9bb98e59-e609-45db-a659-030dd644968f,16/05/2017 02:59:35,4,208179.0
93,9bb98e59-e609-45db-a659-030dd644968f,16/05/2017 01:59:35,0,208175.0
94,9bb98e59-e609-45db-a659-030dd644968f,16/05/2017 00:59:35,7,208175.0
95,9bb98e59-e609-45db-a659-030dd644968f,15/05/2017 23:59:39,6,208168.0
96,9bb98e59-e609-45db-a659-030dd644968f,15/05/2017 22:59:39,0,208162.0
97,9bb98e59-e609-45db-a659-030dd644968f,15/05/2017 21:59:39,1,208162.0
98,9bb98e59-e609-45db-a659-030dd644968f,15/05/2017 20:59:39,0,208161.0
99,9bb98e59-e609-45db-a659-030dd644968f,15/05/2017 19:59:36,4,208161.0
100,9bb98e59-e609-45db-a659-030dd644968f,15/05/2017 18:59:36,0,208157.0
101,9bb98e59-e609-45db-a659-030dd644968f,15/05/2017 17:59:36,0,208157.0
102,9bb98e59-e609-45db-a659-030dd644968f,15/05/2017 16:59:36,0,208157.0
103,9bb98e59-e609-45db-a659-030dd644968f,15/05/2017 15:59:35,0,208157.0
104,9bb98e59-e609-45db-a659-030dd644968f,15/05/2017 14:59:35,11,208157.0
105,9bb98e59-e609-45db-a659-030dd644968f,15/05/2017 13:59:35,6,208146.0
106,9bb98e59-e609-45db-a659-030dd644968f,15/05/2017 12:59:35,5,208140.0
107,9bb98e59-e609-45db-a659-030dd644968f,15/05/2017 11:59:36,0,208135.0
108,9bb98e59-e609-45db-a659-030dd644968f,15/05/2017 10:59:36,0,208135.0
109,9bb98e59-e609-45db-a659-030dd644968f,15/05/2017 09:59:36,0,208135.0
110,9bb98e59-e609-45db-a659-030dd644968f,15/05/2017 08:59:36,24,208135.0
111,9bb98e59-e609-45db-a659-030dd644968f,15/05/2017 07:59:35,9,208111.0
112,9bb98e59-e609-45db-a659-030dd644968f,15/05/2017 06:59:35,0,208102.0
113,9bb98e59-e609-45db-a659-030dd644968f,15/05/2017 05:59:35,3,208102.0
114,9bb98e59-e609-45db-a659-030dd644968f,15/05/2017 04:59:35,0,208099.0
115,9bb98e59-e609-45db-a659-030dd644968f,15/05/2017 03:59:39,0,208099.0
116,9bb98e59-e609-45db-a659-030dd644968f,15/05/2017 02:59:39,0,208099.0
117,9bb98e59-e609-45db-a659-030dd644968f,15/05/2017 01:59:39,0,208099.0
118,9bb98e59-e609-45db-a659-030dd644968f,15/05/2017 00:59:39,4,208099.0
119,9bb98e59-e609-45db-a659-030dd644968f,14/05/2017 23:59:35,0,208095.0
120,9bb98e59-e609-45db-a659-030dd644968f,14/05/2017 22:59:35,7,208095.0
121,9bb98e59-e609-45db-a659-030dd644968f,14/05/2017 21:59:35,56,208088.0
122,9bb98e59-e609-45db-a659-030dd644968f,14/05/2017 20:59:35,2,208032.0
123,9bb98e59-e609-45db-a659-030dd644968f,14/05/2017 19:59:39,0,208030.0
124,9bb98e59-e609-45db-a659-030dd644968f,14/05/2017 18:59:39,0,208030.0
125,9bb98e59-e609-45db-a659-030dd644968f,14/05/2017 17:59:39,0,208030.0
126,9bb98e59-e609-45db-a659-030dd644968f,14/05/2017 16:59:39,0,208030.0
127,9bb98e59-e609-45db-a659-030dd644968f,14/05/2017 15:59:37,0,208030.0
128,9bb98e59-e609-45db-a659-030dd644968f,14/05/2017 14:59:37,0,208030.0
129,9bb98e59-e609-45db-a659-030dd644968f,14/05/2017 13:59:37,0,208030.0
130,9bb98e59-e609-45db-a659-030dd644968f,14/05/2017 12:59:37,0,208030.0
131,9bb98e59-e609-45db-a659-030dd644968f,14/05/2017 11:59:41,9,208030.0
132,9bb98e59-e609-45db-a659-030dd644968f,14/05/2017 10:59:41,33,208021.0
133,9bb98e59-e609-45db-a659-030dd644968f,14/05/2017 09:59:41,9,207988.0
134,9bb98e59-e609-45db-a659-030dd644968f,14/05/2017 08:59:41,0,207979.0
135,9bb98e59-e609-45db-a659-030dd644968f,14/05/2017 07:59:38,7,207979.0
136,9bb98e59-e609-45db-a659-030dd644968f,14/05/2017 06:59:38,0,207972.0
137,9bb98e59-e609-45db-a659-030dd644968f,14/05/2017 05:59:38,0,207972.0
138,9bb98e59-e609-45db-a659-030dd644968f,14/05/2017 04:59:38,0,207972.0
139,9bb98e59-e609-45db-a659-030dd644968f,14/05/2017 03:59:41,0,207972.0
140,9bb98e59-e609-45db-a659-030dd644968f,14/05/2017 02:59:41,0,207972.0
141,9bb98e59-e609-45db-a659-030dd644968f,14/05/2017 01:59:41,0,207972.0
142,9bb98e59-e609-45db-a659-030dd644968f,14/05/2017 00:59:41,1,207972.0
143,9bb98e59-e609-45db-a659-030dd644968f,13/05/2017 23:59:39,7,207971.0
