id,uid,time,data,meter
0,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,19/05/2017 22:24:00,9,254707.0
1,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,19/05/2017 21:24:00,10,254698.0
2,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,19/05/2017 20:24:00,0,254688.0
3,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,19/05/2017 19:24:00,6,254688.0
4,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,19/05/2017 18:24:01,0,254682.0
5,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,19/05/2017 17:24:01,13,254682.0
6,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,19/05/2017 16:24:01,11,254669.0
7,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,19/05/2017 15:24:01,7,254658.0
8,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,19/05/2017 14:24:00,25,254651.0
9,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,19/05/2017 13:24:00,3,254626.0
10,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,19/05/2017 12:24:00,2,254623.0
11,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,19/05/2017 11:24:00,21,254621.0
12,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,19/05/2017 10:24:07,2,254600.0
13,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,19/05/2017 09:24:07,76,254598.0
14,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,19/05/2017 08:24:07,21,254522.0
15,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,19/05/2017 07:24:07,25,254501.0
16,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,19/05/2017 02:24:06,0,254476.0
17,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,19/05/2017 01:24:06,1,254476.0
18,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,19/05/2017 00:24:06,11,254475.0
19,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,18/05/2017 23:24:06,2,254464.0
20,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,18/05/2017 22:24:02,7,254462.0
21,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,18/05/2017 21:24:02,2,254455.0
22,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,18/05/2017 20:24:02,0,254453.0
23,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,18/05/2017 19:24:02,85,254453.0
24,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,18/05/2017 14:24:06,31,254368.0
25,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,18/05/2017 13:24:06,2,254337.0
26,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,18/05/2017 12:24:06,7,254335.0
27,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,18/05/2017 11:24:06,76,254328.0
28,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,18/05/2017 02:24:05,4,254252.0
29,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,18/05/2017 01:24:05,0,254248.0
30,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,18/05/2017 00:24:05,0,254248.0
31,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,17/05/2017 23:24:05,7,254248.0
32,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,17/05/2017 22:24:04,10,254241.0
33,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,17/05/2017 21:24:04,1,254231.0
34,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,17/05/2017 20:24:04,24,254230.0
35,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,17/05/2017 19:24:04,29,254206.0
36,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,17/05/2017 14:23:56,39,254177.0
37,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,17/05/2017 13:23:56,35,254138.0
38,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,17/05/2017 12:23:56,23,254103.0
39,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,17/05/2017 11:23:56,49,254080.0
40,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,17/05/2017 10:24:13,43,254031.0
41,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,17/05/2017 09:24:13,24,253988.0
42,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,17/05/2017 08:24:13,7,253964.0
43,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,17/05/2017 07:24:13,29,253957.0
44,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,17/05/2017 02:24:12,0,253928.0
45,ab3d3340-1ba6-4a64-8afe-6e71434c9d86,17/05/2017 01:24:12,6,253928.0
