id,uid,time,data,meter
0,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,19/05/2017 21:22:27,37,251599.0
1,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,19/05/2017 20:22:27,0,251562.0
2,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,19/05/2017 19:22:27,38,251562.0
3,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,19/05/2017 18:22:27,35,251524.0
4,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,19/05/2017 17:22:27,14,251489.0
5,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,19/05/2017 16:22:27,0,251475.0
6,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,19/05/2017 15:22:27,35,251475.0
7,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,19/05/2017 14:22:29,7,251440.0
8,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,19/05/2017 13:22:29,15,251433.0
9,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,19/05/2017 12:22:29,20,251418.0
10,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,19/05/2017 11:22:29,45,251398.0
11,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,19/05/2017 10:22:26,10,251353.0
12,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,19/05/2017 09:22:26,70,251343.0
13,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,19/05/2017 08:22:26,1,251273.0
14,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,19/05/2017 07:22:26,9,251272.0
15,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,19/05/2017 02:40:09,0,251263.0
16,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,19/05/2017 01:40:09,0,251263.0
17,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,19/05/2017 00:40:09,0,251263.0
18,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,18/05/2017 23:40:09,14,251263.0
19,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,18/05/2017 22:43:05,1,251249.0
20,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,18/05/2017 21:43:05,11,251248.0
21,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,18/05/2017 20:43:05,38,251237.0
22,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,18/05/2017 19:43:05,16,251199.0
23,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,18/05/2017 18:41:39,31,251183.0
24,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,18/05/2017 17:41:39,2,251152.0
25,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,18/05/2017 16:41:39,7,251150.0
26,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,18/05/2017 15:41:39,12,251143.0
27,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,18/05/2017 14:22:29,36,251131.0
28,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,18/05/2017 13:22:29,53,251095.0
29,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,18/05/2017 12:22:29,64,251042.0
30,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,18/05/2017 11:22:29,24,250978.0
31,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,18/05/2017 10:22:29,6,250954.0
32,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,18/05/2017 09:22:29,0,250948.0
33,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,18/05/2017 08:22:29,23,250948.0
34,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,18/05/2017 07:22:29,0,250925.0
35,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,18/05/2017 06:22:33,0,250925.0
36,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,18/05/2017 05:22:33,0,250925.0
37,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,18/05/2017 04:22:33,3,250925.0
38,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,18/05/2017 03:22:33,0,250922.0
39,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,17/05/2017 22:22:31,31,250922.0
40,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,17/05/2017 21:22:31,32,250891.0
41,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,17/05/2017 20:22:31,9,250859.0
42,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,17/05/2017 19:22:31,28,250850.0
43,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,17/05/2017 18:42:45,34,250822.0
44,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,17/05/2017 17:42:45,9,250788.0
45,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,17/05/2017 16:42:45,0,250779.0
46,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,17/05/2017 15:42:45,59,250779.0
47,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,17/05/2017 14:22:31,17,250720.0
48,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,17/05/2017 13:22:31,37,250703.0
49,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,17/05/2017 12:22:31,0,250666.0
50,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,17/05/2017 11:22:31,9,250666.0
51,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,17/05/2017 10:22:31,4,250657.0
52,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,17/05/2017 09:22:31,6,250653.0
53,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,17/05/2017 08:22:31,1,250647.0
54,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,17/05/2017 07:22:31,7,250646.0
55,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,17/05/2017 06:31:01,0,250639.0
56,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,17/05/2017 05:31:01,0,250639.0
57,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,17/05/2017 04:31:01,8,250639.0
58,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,17/05/2017 03:31:01,0,250631.0
59,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,17/05/2017 02:42:19,0,250631.0
60,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,17/05/2017 01:42:19,0,250631.0
61,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,17/05/2017 00:42:19,7,250631.0
62,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,16/05/2017 23:42:19,0,250624.0
63,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,16/05/2017 22:22:33,27,250624.0
64,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,16/05/2017 21:22:33,8,250597.0
65,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,16/05/2017 20:22:33,12,250589.0
66,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,16/05/2017 19:22:33,19,250577.0
67,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,16/05/2017 18:22:35,24,250558.0
68,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,16/05/2017 17:22:35,24,250534.0
69,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,16/05/2017 16:22:35,1,250510.0
70,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,16/05/2017 15:22:35,12,250509.0
71,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,16/05/2017 14:22:33,1,250497.0
72,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,16/05/2017 13:22:33,22,250496.0
73,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,16/05/2017 12:22:33,5,250474.0
74,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,16/05/2017 11:22:33,10,250469.0
75,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,16/05/2017 10:22:34,0,250459.0
76,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,16/05/2017 09:22:34,20,250459.0
77,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,16/05/2017 08:22:34,7,250439.0
78,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,16/05/2017 07:22:34,7,250432.0
79,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,16/05/2017 06:41:17,0,250425.0
80,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,16/05/2017 05:41:17,0,250425.0
81,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,16/05/2017 04:41:17,9,250425.0
82,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,16/05/2017 03:41:17,1,250416.0
83,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,16/05/2017 02:22:35,0,250415.0
84,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,16/05/2017 01:22:35,0,250415.0
85,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,16/05/2017 00:22:35,0,250415.0
86,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,15/05/2017 23:22:35,0,250415.0
87,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,15/05/2017 22:22:36,16,250415.0
88,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,15/05/2017 21:22:36,56,250399.0
89,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,15/05/2017 20:22:36,53,250343.0
90,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,15/05/2017 19:22:36,41,250290.0
91,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,15/05/2017 18:22:35,88,250249.0
92,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,15/05/2017 17:22:35,22,250161.0
93,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,15/05/2017 16:22:35,7,250139.0
94,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,15/05/2017 15:22:35,2,250132.0
95,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,15/05/2017 14:22:36,18,250130.0
96,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,15/05/2017 13:22:36,12,250112.0
97,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,15/05/2017 12:22:36,0,250100.0
98,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,15/05/2017 11:22:36,0,250100.0
99,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,15/05/2017 10:22:37,4,250100.0
100,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,15/05/2017 09:22:37,16,250096.0
101,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,15/05/2017 08:22:37,2,250080.0
102,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,15/05/2017 07:22:37,0,250078.0
103,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,15/05/2017 06:39:44,0,250078.0
104,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,15/05/2017 05:39:44,0,250078.0
105,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,15/05/2017 04:39:44,0,250078.0
106,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,15/05/2017 03:39:44,0,250078.0
107,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,15/05/2017 02:30:12,7,250078.0
108,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,15/05/2017 01:30:12,0,250071.0
109,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,15/05/2017 00:30:12,6,250071.0
110,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,14/05/2017 23:30:12,6,250065.0
111,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,14/05/2017 22:22:37,3,250059.0
112,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,14/05/2017 21:22:37,0,250056.0
113,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,14/05/2017 20:22:37,0,250056.0
114,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,14/05/2017 19:22:37,37,250056.0
115,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,14/05/2017 18:22:38,0,250019.0
116,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,14/05/2017 17:22:38,0,250019.0
117,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,14/05/2017 16:22:38,0,250019.0
118,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,14/05/2017 15:22:38,0,250019.0
119,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,14/05/2017 14:22:38,0,250019.0
120,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,14/05/2017 13:22:38,9,250019.0
121,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,14/05/2017 12:22:38,48,250010.0
122,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,14/05/2017 11:22:38,8,249962.0
123,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,14/05/2017 10:22:37,0,249954.0
124,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,14/05/2017 09:22:37,16,249954.0
125,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,14/05/2017 08:22:37,0,249938.0
126,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,14/05/2017 07:22:37,0,249938.0
127,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,14/05/2017 06:22:38,0,249938.0
128,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,14/05/2017 05:22:38,0,249938.0
129,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,14/05/2017 04:22:38,22,249938.0
130,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,14/05/2017 03:22:38,0,249916.0
131,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,14/05/2017 02:22:38,0,249916.0
132,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,14/05/2017 01:22:38,0,249916.0
133,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,14/05/2017 00:22:38,0,249916.0
134,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,13/05/2017 23:22:38,0,249916.0
135,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,13/05/2017 22:22:37,8,249916.0
136,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,13/05/2017 21:22:37,35,249908.0
137,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,13/05/2017 20:22:37,13,249873.0
138,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,13/05/2017 19:22:37,6,249860.0
139,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,13/05/2017 18:22:38,0,249854.0
140,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,13/05/2017 17:22:38,1,249854.0
141,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,13/05/2017 16:22:38,9,249853.0
142,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,13/05/2017 15:22:38,13,249844.0
143,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,13/05/2017 14:41:51,37,249831.0
144,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,13/05/2017 13:41:51,67,249794.0
145,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,13/05/2017 12:41:51,28,249727.0
146,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,13/05/2017 11:41:51,20,249699.0
147,b7afaa3e-b968-4a2c-b35c-54eb6d9933a3,13/05/2017 10:22:42,0,249679.0
