id,uid,time,data,meter
0,cd0ad114-d061-40f9-bfea-19491d713fcb,19/05/2017 22:41:40,8,155733.0
1,cd0ad114-d061-40f9-bfea-19491d713fcb,19/05/2017 21:41:40,4,155725.0
2,cd0ad114-d061-40f9-bfea-19491d713fcb,19/05/2017 20:41:40,97,155721.0
3,cd0ad114-d061-40f9-bfea-19491d713fcb,19/05/2017 19:41:40,3,155624.0
4,cd0ad114-d061-40f9-bfea-19491d713fcb,19/05/2017 18:59:28,3,155621.0
5,cd0ad114-d061-40f9-bfea-19491d713fcb,19/05/2017 17:59:28,6,155618.0
6,cd0ad114-d061-40f9-bfea-19491d713fcb,19/05/2017 16:59:28,4,155612.0
7,cd0ad114-d061-40f9-bfea-19491d713fcb,19/05/2017 15:59:28,5,155608.0
8,cd0ad114-d061-40f9-bfea-19491d713fcb,19/05/2017 14:58:28,2,155603.0
9,cd0ad114-d061-40f9-bfea-19491d713fcb,19/05/2017 13:58:28,4,155601.0
10,cd0ad114-d061-40f9-bfea-19491d713fcb,19/05/2017 12:58:28,58,155597.0
11,cd0ad114-d061-40f9-bfea-19491d713fcb,19/05/2017 11:58:28,2,155539.0
12,cd0ad114-d061-40f9-bfea-19491d713fcb,19/05/2017 10:42:33,1,155537.0
13,cd0ad114-d061-40f9-bfea-19491d713fcb,19/05/2017 09:42:33,2,155536.0
14,cd0ad114-d061-40f9-bfea-19491d713fcb,19/05/2017 08:42:33,11,155534.0
15,cd0ad114-d061-40f9-bfea-19491d713fcb,19/05/2017 07:42:33,3,155523.0
16,cd0ad114-d061-40f9-bfea-19491d713fcb,19/05/2017 02:41:49,7,155520.0
17,cd0ad114-d061-40f9-bfea-19491d713fcb,19/05/2017 01:41:49,0,155513.0
18,cd0ad114-d061-40f9-bfea-19491d713fcb,19/05/2017 00:41:49,8,155513.0
19,cd0ad114-d061-40f9-bfea-19491d713fcb,18/05/2017 23:41:49,58,155505.0
20,cd0ad114-d061-40f9-bfea-19491d713fcb,18/05/2017 18:41:48,15,155447.0
21,cd0ad114-d061-40f9-bfea-19491d713fcb,18/05/2017 17:41:48,1,155432.0
22,cd0ad114-d061-40f9-bfea-19491d713fcb,18/05/2017 16:41:48,1,155431.0
23,cd0ad114-d061-40f9-bfea-19491d713fcb,18/05/2017 15:41:48,1,155430.0
24,cd0ad114-d061-40f9-bfea-19491d713fcb,18/05/2017 14:42:33,1,155429.0
25,cd0ad114-d061-40f9-bfea-19491d713fcb,18/05/2017 13:42:33,2,155428.0
26,cd0ad114-d061-40f9-bfea-19491d713fcb,18/05/2017 12:42:33,1,155426.0
27,cd0ad114-d061-40f9-bfea-19491d713fcb,18/05/2017 11:42:33,2,155425.0
28,cd0ad114-d061-40f9-bfea-19491d713fcb,18/05/2017 10:42:35,1,155423.0
29,cd0ad114-d061-40f9-bfea-19491d713fcb,18/05/2017 09:42:35,2,155422.0
30,cd0ad114-d061-40f9-bfea-19491d713fcb,18/05/2017 08:42:35,12,155420.0
31,cd0ad114-d061-40f9-bfea-19491d713fcb,18/05/2017 07:42:35,1,155408.0
32,cd0ad114-d061-40f9-bfea-19491d713fcb,18/05/2017 06:41:45,1,155407.0
33,cd0ad114-d061-40f9-bfea-19491d713fcb,18/05/2017 05:41:45,0,155406.0
34,cd0ad114-d061-40f9-bfea-19491d713fcb,18/05/2017 04:41:45,0,155406.0
35,cd0ad114-d061-40f9-bfea-19491d713fcb,18/05/2017 03:41:45,0,155406.0
36,cd0ad114-d061-40f9-bfea-19491d713fcb,18/05/2017 02:42:37,0,155406.0
37,cd0ad114-d061-40f9-bfea-19491d713fcb,18/05/2017 01:42:37,1,155406.0
38,cd0ad114-d061-40f9-bfea-19491d713fcb,18/05/2017 00:42:37,0,155405.0
39,cd0ad114-d061-40f9-bfea-19491d713fcb,17/05/2017 23:42:37,17,155405.0
40,cd0ad114-d061-40f9-bfea-19491d713fcb,17/05/2017 22:00:28,41,155388.0
41,cd0ad114-d061-40f9-bfea-19491d713fcb,17/05/2017 21:00:28,67,155347.0
42,cd0ad114-d061-40f9-bfea-19491d713fcb,17/05/2017 20:00:28,23,155280.0
43,cd0ad114-d061-40f9-bfea-19491d713fcb,17/05/2017 14:42:36,1,155257.0
44,cd0ad114-d061-40f9-bfea-19491d713fcb,17/05/2017 13:42:36,2,155256.0
45,cd0ad114-d061-40f9-bfea-19491d713fcb,17/05/2017 12:42:36,1,155254.0
46,cd0ad114-d061-40f9-bfea-19491d713fcb,17/05/2017 11:42:36,1,155253.0
47,cd0ad114-d061-40f9-bfea-19491d713fcb,17/05/2017 10:58:31,1,155252.0
48,cd0ad114-d061-40f9-bfea-19491d713fcb,17/05/2017 09:58:31,2,155251.0
49,cd0ad114-d061-40f9-bfea-19491d713fcb,17/05/2017 08:58:31,8,155249.0
50,cd0ad114-d061-40f9-bfea-19491d713fcb,17/05/2017 07:58:31,3,155241.0
51,cd0ad114-d061-40f9-bfea-19491d713fcb,17/05/2017 06:42:36,57,155238.0
52,cd0ad114-d061-40f9-bfea-19491d713fcb,17/05/2017 05:42:36,0,155181.0
53,cd0ad114-d061-40f9-bfea-19491d713fcb,17/05/2017 04:42:36,0,155181.0
54,cd0ad114-d061-40f9-bfea-19491d713fcb,17/05/2017 03:42:36,0,155181.0
55,cd0ad114-d061-40f9-bfea-19491d713fcb,17/05/2017 02:41:53,0,155181.0
56,cd0ad114-d061-40f9-bfea-19491d713fcb,17/05/2017 01:41:53,1,155181.0
57,cd0ad114-d061-40f9-bfea-19491d713fcb,17/05/2017 00:41:53,0,155180.0
58,cd0ad114-d061-40f9-bfea-19491d713fcb,16/05/2017 23:41:53,8,155180.0
59,cd0ad114-d061-40f9-bfea-19491d713fcb,16/05/2017 22:58:20,13,155172.0
60,cd0ad114-d061-40f9-bfea-19491d713fcb,16/05/2017 21:58:20,37,155159.0
