id,uid,time,data,meter
0,d7777d13-c2d6-4388-a657-62e022b0279f,19/05/2017 22:11:13,42,204518.0
1,d7777d13-c2d6-4388-a657-62e022b0279f,19/05/2017 17:11:15,0,204476.0
2,d7777d13-c2d6-4388-a657-62e022b0279f,19/05/2017 16:11:15,10,204476.0
3,d7777d13-c2d6-4388-a657-62e022b0279f,19/05/2017 15:11:15,17,204466.0
4,d7777d13-c2d6-4388-a657-62e022b0279f,19/05/2017 14:11:15,14,204449.0
5,d7777d13-c2d6-4388-a657-62e022b0279f,19/05/2017 13:11:15,37,204435.0
6,d7777d13-c2d6-4388-a657-62e022b0279f,19/05/2017 12:11:15,65,204398.0
7,d7777d13-c2d6-4388-a657-62e022b0279f,19/05/2017 11:11:15,0,204333.0
8,d7777d13-c2d6-4388-a657-62e022b0279f,19/05/2017 10:11:15,7,204333.0
9,d7777d13-c2d6-4388-a657-62e022b0279f,19/05/2017 09:11:23,25,204326.0
10,d7777d13-c2d6-4388-a657-62e022b0279f,19/05/2017 08:11:23,29,204301.0
11,d7777d13-c2d6-4388-a657-62e022b0279f,19/05/2017 07:11:23,6,204272.0
12,d7777d13-c2d6-4388-a657-62e022b0279f,19/05/2017 06:11:23,0,204266.0
13,d7777d13-c2d6-4388-a657-62e022b0279f,19/05/2017 05:31:25,0,204266.0
14,d7777d13-c2d6-4388-a657-62e022b0279f,19/05/2017 04:31:25,1,204266.0
15,d7777d13-c2d6-4388-a657-62e022b0279f,19/05/2017 03:31:25,0,204265.0
16,d7777d13-c2d6-4388-a657-62e022b0279f,19/05/2017 02:31:25,65,204265.0
17,d7777d13-c2d6-4388-a657-62e022b0279f,18/05/2017 21:11:17,0,204200.0
18,d7777d13-c2d6-4388-a657-62e022b0279f,18/05/2017 20:11:17,0,204200.0
19,d7777d13-c2d6-4388-a657-62e022b0279f,18/05/2017 19:11:17,30,204200.0
20,d7777d13-c2d6-4388-a657-62e022b0279f,18/05/2017 18:11:17,8,204170.0
21,d7777d13-c2d6-4388-a657-62e022b0279f,18/05/2017 17:11:18,30,204162.0
22,d7777d13-c2d6-4388-a657-62e022b0279f,18/05/2017 16:11:18,2,204132.0
23,d7777d13-c2d6-4388-a657-62e022b0279f,18/05/2017 15:11:18,17,204130.0
24,d7777d13-c2d6-4388-a657-62e022b0279f,18/05/2017 14:11:18,21,204113.0
25,d7777d13-c2d6-4388-a657-62e022b0279f,18/05/2017 13:11:29,4,204092.0
26,d7777d13-c2d6-4388-a657-62e022b0279f,18/05/2017 12:11:29,4,204088.0
27,d7777d13-c2d6-4388-a657-62e022b0279f,18/05/2017 11:11:29,3,204084.0
28,d7777d13-c2d6-4388-a657-62e022b0279f,18/05/2017 10:11:29,7,204081.0
29,d7777d13-c2d6-4388-a657-62e022b0279f,18/05/2017 09:11:19,22,204074.0
30,d7777d13-c2d6-4388-a657-62e022b0279f,18/05/2017 08:11:19,27,204052.0
31,d7777d13-c2d6-4388-a657-62e022b0279f,18/05/2017 07:11:19,5,204025.0
32,d7777d13-c2d6-4388-a657-62e022b0279f,18/05/2017 06:11:19,0,204020.0
33,d7777d13-c2d6-4388-a657-62e022b0279f,18/05/2017 01:11:19,16,204020.0
34,d7777d13-c2d6-4388-a657-62e022b0279f,18/05/2017 00:11:19,35,204004.0
35,d7777d13-c2d6-4388-a657-62e022b0279f,17/05/2017 23:11:19,0,203969.0
36,d7777d13-c2d6-4388-a657-62e022b0279f,17/05/2017 22:11:19,0,203969.0
37,d7777d13-c2d6-4388-a657-62e022b0279f,17/05/2017 21:11:21,0,203969.0
38,d7777d13-c2d6-4388-a657-62e022b0279f,17/05/2017 20:11:21,0,203969.0
39,d7777d13-c2d6-4388-a657-62e022b0279f,17/05/2017 19:11:21,21,203969.0
40,d7777d13-c2d6-4388-a657-62e022b0279f,17/05/2017 18:11:21,9,203948.0
41,d7777d13-c2d6-4388-a657-62e022b0279f,17/05/2017 17:11:21,13,203939.0
42,d7777d13-c2d6-4388-a657-62e022b0279f,17/05/2017 16:11:21,15,203926.0
43,d7777d13-c2d6-4388-a657-62e022b0279f,17/05/2017 15:11:21,20,203911.0
44,d7777d13-c2d6-4388-a657-62e022b0279f,17/05/2017 14:11:21,3,203891.0
45,d7777d13-c2d6-4388-a657-62e022b0279f,17/05/2017 13:11:21,0,203888.0
46,d7777d13-c2d6-4388-a657-62e022b0279f,17/05/2017 12:11:21,6,203888.0
47,d7777d13-c2d6-4388-a657-62e022b0279f,17/05/2017 11:11:21,0,203882.0
48,d7777d13-c2d6-4388-a657-62e022b0279f,17/05/2017 10:11:21,55,203882.0
49,d7777d13-c2d6-4388-a657-62e022b0279f,17/05/2017 05:11:23,0,203827.0
50,d7777d13-c2d6-4388-a657-62e022b0279f,17/05/2017 04:11:23,0,203827.0
51,d7777d13-c2d6-4388-a657-62e022b0279f,17/05/2017 03:11:23,1,203827.0
52,d7777d13-c2d6-4388-a657-62e022b0279f,17/05/2017 02:11:23,0,203826.0
53,d7777d13-c2d6-4388-a657-62e022b0279f,17/05/2017 01:11:23,8,203826.0
54,d7777d13-c2d6-4388-a657-62e022b0279f,17/05/2017 00:11:23,5,203818.0
55,d7777d13-c2d6-4388-a657-62e022b0279f,16/05/2017 23:11:23,12,203813.0
56,d7777d13-c2d6-4388-a657-62e022b0279f,16/05/2017 22:11:23,45,203801.0
57,d7777d13-c2d6-4388-a657-62e022b0279f,16/05/2017 17:28:33,0,203756.0
58,d7777d13-c2d6-4388-a657-62e022b0279f,16/05/2017 16:28:33,6,203756.0
59,d7777d13-c2d6-4388-a657-62e022b0279f,16/05/2017 15:28:33,18,203750.0
60,d7777d13-c2d6-4388-a657-62e022b0279f,16/05/2017 14:28:33,11,203732.0
61,d7777d13-c2d6-4388-a657-62e022b0279f,16/05/2017 13:11:27,0,203721.0
62,d7777d13-c2d6-4388-a657-62e022b0279f,16/05/2017 12:11:27,7,203721.0
63,d7777d13-c2d6-4388-a657-62e022b0279f,16/05/2017 11:11:27,18,203714.0
64,d7777d13-c2d6-4388-a657-62e022b0279f,16/05/2017 10:11:27,67,203696.0
65,d7777d13-c2d6-4388-a657-62e022b0279f,16/05/2017 01:17:13,10,203629.0
66,d7777d13-c2d6-4388-a657-62e022b0279f,16/05/2017 00:17:13,2,203619.0
67,d7777d13-c2d6-4388-a657-62e022b0279f,15/05/2017 23:17:13,3,203617.0
68,d7777d13-c2d6-4388-a657-62e022b0279f,15/05/2017 22:17:13,0,203614.0
69,d7777d13-c2d6-4388-a657-62e022b0279f,15/05/2017 21:11:26,0,203614.0
70,d7777d13-c2d6-4388-a657-62e022b0279f,15/05/2017 20:11:26,0,203614.0
71,d7777d13-c2d6-4388-a657-62e022b0279f,15/05/2017 19:11:26,4,203614.0
72,d7777d13-c2d6-4388-a657-62e022b0279f,15/05/2017 18:11:26,15,203610.0
73,d7777d13-c2d6-4388-a657-62e022b0279f,15/05/2017 17:11:25,19,203595.0
74,d7777d13-c2d6-4388-a657-62e022b0279f,15/05/2017 16:11:25,53,203576.0
75,d7777d13-c2d6-4388-a657-62e022b0279f,15/05/2017 15:11:25,33,203523.0
76,d7777d13-c2d6-4388-a657-62e022b0279f,15/05/2017 14:11:25,11,203490.0
77,d7777d13-c2d6-4388-a657-62e022b0279f,15/05/2017 13:11:26,4,203479.0
78,d7777d13-c2d6-4388-a657-62e022b0279f,15/05/2017 12:11:26,53,203475.0
79,d7777d13-c2d6-4388-a657-62e022b0279f,15/05/2017 11:11:26,3,203422.0
80,d7777d13-c2d6-4388-a657-62e022b0279f,15/05/2017 10:11:26,43,203419.0
81,d7777d13-c2d6-4388-a657-62e022b0279f,15/05/2017 05:11:27,0,203376.0
82,d7777d13-c2d6-4388-a657-62e022b0279f,15/05/2017 04:11:27,0,203376.0
83,d7777d13-c2d6-4388-a657-62e022b0279f,15/05/2017 03:11:27,0,203376.0
84,d7777d13-c2d6-4388-a657-62e022b0279f,15/05/2017 02:11:27,9,203376.0
85,d7777d13-c2d6-4388-a657-62e022b0279f,15/05/2017 01:11:28,13,203367.0
