id,uid,time,data,meter
0,e595d1ea-3c18-4b95-a61f-c31d606506f8,19/05/2017 13:28:56,0,299956.0
1,e595d1ea-3c18-4b95-a61f-c31d606506f8,19/05/2017 12:28:56,12,299956.0
2,e595d1ea-3c18-4b95-a61f-c31d606506f8,19/05/2017 11:28:56,232,299944.0
3,e595d1ea-3c18-4b95-a61f-c31d606506f8,19/05/2017 02:28:59,0,299712.0
4,e595d1ea-3c18-4b95-a61f-c31d606506f8,19/05/2017 01:28:59,0,299712.0
5,e595d1ea-3c18-4b95-a61f-c31d606506f8,19/05/2017 00:28:59,0,299712.0
6,e595d1ea-3c18-4b95-a61f-c31d606506f8,18/05/2017 23:28:59,15,299712.0
7,e595d1ea-3c18-4b95-a61f-c31d606506f8,18/05/2017 22:28:59,0,299697.0
8,e595d1ea-3c18-4b95-a61f-c31d606506f8,18/05/2017 21:28:59,0,299697.0
9,e595d1ea-3c18-4b95-a61f-c31d606506f8,18/05/2017 20:28:59,0,299697.0
10,e595d1ea-3c18-4b95-a61f-c31d606506f8,18/05/2017 19:28:59,111,299697.0
11,e595d1ea-3c18-4b95-a61f-c31d606506f8,18/05/2017 10:29:00,66,299586.0
12,e595d1ea-3c18-4b95-a61f-c31d606506f8,18/05/2017 09:29:00,95,299520.0
13,e595d1ea-3c18-4b95-a61f-c31d606506f8,18/05/2017 08:29:00,34,299425.0
14,e595d1ea-3c18-4b95-a61f-c31d606506f8,18/05/2017 07:29:00,0,299391.0
15,e595d1ea-3c18-4b95-a61f-c31d606506f8,18/05/2017 02:29:00,0,299391.0
16,e595d1ea-3c18-4b95-a61f-c31d606506f8,18/05/2017 01:29:00,13,299391.0
17,e595d1ea-3c18-4b95-a61f-c31d606506f8,18/05/2017 00:29:00,7,299378.0
18,e595d1ea-3c18-4b95-a61f-c31d606506f8,17/05/2017 23:29:00,68,299371.0
19,e595d1ea-3c18-4b95-a61f-c31d606506f8,17/05/2017 10:29:03,47,299303.0
20,e595d1ea-3c18-4b95-a61f-c31d606506f8,17/05/2017 09:29:03,124,299256.0
21,e595d1ea-3c18-4b95-a61f-c31d606506f8,17/05/2017 08:29:03,1,299132.0
22,e595d1ea-3c18-4b95-a61f-c31d606506f8,17/05/2017 07:29:03,60,299131.0
23,e595d1ea-3c18-4b95-a61f-c31d606506f8,16/05/2017 14:29:03,0,299071.0
24,e595d1ea-3c18-4b95-a61f-c31d606506f8,16/05/2017 13:29:03,0,299071.0
25,e595d1ea-3c18-4b95-a61f-c31d606506f8,16/05/2017 12:29:03,8,299071.0
26,e595d1ea-3c18-4b95-a61f-c31d606506f8,16/05/2017 11:29:03,368,299063.0
27,e595d1ea-3c18-4b95-a61f-c31d606506f8,15/05/2017 10:29:06,128,298695.0
28,e595d1ea-3c18-4b95-a61f-c31d606506f8,15/05/2017 09:29:06,75,298567.0
29,e595d1ea-3c18-4b95-a61f-c31d606506f8,15/05/2017 08:29:06,22,298492.0
30,e595d1ea-3c18-4b95-a61f-c31d606506f8,15/05/2017 07:29:06,0,298470.0
31,e595d1ea-3c18-4b95-a61f-c31d606506f8,15/05/2017 06:29:07,0,298470.0
32,e595d1ea-3c18-4b95-a61f-c31d606506f8,15/05/2017 05:29:07,0,298470.0
33,e595d1ea-3c18-4b95-a61f-c31d606506f8,15/05/2017 04:29:07,0,298470.0
34,e595d1ea-3c18-4b95-a61f-c31d606506f8,15/05/2017 03:29:07,0,298470.0
35,e595d1ea-3c18-4b95-a61f-c31d606506f8,15/05/2017 02:29:10,0,298470.0
36,e595d1ea-3c18-4b95-a61f-c31d606506f8,15/05/2017 01:29:10,0,298470.0
37,e595d1ea-3c18-4b95-a61f-c31d606506f8,15/05/2017 00:29:10,4,298470.0
38,e595d1ea-3c18-4b95-a61f-c31d606506f8,14/05/2017 23:29:10,1,298466.0
39,e595d1ea-3c18-4b95-a61f-c31d606506f8,14/05/2017 22:29:08,32,298465.0
40,e595d1ea-3c18-4b95-a61f-c31d606506f8,14/05/2017 21:29:08,0,298433.0
41,e595d1ea-3c18-4b95-a61f-c31d606506f8,14/05/2017 20:29:08,0,298433.0
