id,uid,time,data,meter
0,ea265e35-07b3-4132-93d6-39c4502fdcca,19/05/2017 22:20:30,0,85559.0
1,ea265e35-07b3-4132-93d6-39c4502fdcca,19/05/2017 21:20:30,0,85559.0
2,ea265e35-07b3-4132-93d6-39c4502fdcca,19/05/2017 20:20:29,0,85559.0
3,ea265e35-07b3-4132-93d6-39c4502fdcca,19/05/2017 19:20:29,0,85559.0
4,ea265e35-07b3-4132-93d6-39c4502fdcca,19/05/2017 18:20:29,50,85559.0
5,ea265e35-07b3-4132-93d6-39c4502fdcca,19/05/2017 17:20:29,0,85509.0
6,ea265e35-07b3-4132-93d6-39c4502fdcca,19/05/2017 16:20:30,0,85509.0
7,ea265e35-07b3-4132-93d6-39c4502fdcca,19/05/2017 15:20:30,0,85509.0
8,ea265e35-07b3-4132-93d6-39c4502fdcca,19/05/2017 14:20:30,0,85509.0
9,ea265e35-07b3-4132-93d6-39c4502fdcca,19/05/2017 13:20:30,1,85509.0
10,ea265e35-07b3-4132-93d6-39c4502fdcca,19/05/2017 12:20:30,0,85508.0
11,ea265e35-07b3-4132-93d6-39c4502fdcca,19/05/2017 11:20:30,0,85508.0
12,ea265e35-07b3-4132-93d6-39c4502fdcca,19/05/2017 10:20:30,0,85508.0
13,ea265e35-07b3-4132-93d6-39c4502fdcca,19/05/2017 09:20:30,0,85508.0
14,ea265e35-07b3-4132-93d6-39c4502fdcca,19/05/2017 08:20:33,0,85508.0
15,ea265e35-07b3-4132-93d6-39c4502fdcca,19/05/2017 07:20:33,16,85508.0
16,ea265e35-07b3-4132-93d6-39c4502fdcca,19/05/2017 06:20:33,0,85492.0
17,ea265e35-07b3-4132-93d6-39c4502fdcca,19/05/2017 05:20:33,0,85492.0
18,ea265e35-07b3-4132-93d6-39c4502fdcca,19/05/2017 04:20:32,0,85492.0
19,ea265e35-07b3-4132-93d6-39c4502fdcca,19/05/2017 03:20:32,0,85492.0
20,ea265e35-07b3-4132-93d6-39c4502fdcca,19/05/2017 02:20:32,0,85492.0
21,ea265e35-07b3-4132-93d6-39c4502fdcca,19/05/2017 01:20:32,0,85492.0
22,ea265e35-07b3-4132-93d6-39c4502fdcca,19/05/2017 00:20:34,0,85492.0
23,ea265e35-07b3-4132-93d6-39c4502fdcca,18/05/2017 23:20:34,0,85492.0
24,ea265e35-07b3-4132-93d6-39c4502fdcca,18/05/2017 22:20:34,0,85492.0
25,ea265e35-07b3-4132-93d6-39c4502fdcca,18/05/2017 21:20:34,22,85492.0
26,ea265e35-07b3-4132-93d6-39c4502fdcca,18/05/2017 20:20:32,1,85470.0
27,ea265e35-07b3-4132-93d6-39c4502fdcca,18/05/2017 19:20:32,0,85469.0
28,ea265e35-07b3-4132-93d6-39c4502fdcca,18/05/2017 18:20:32,0,85469.0
29,ea265e35-07b3-4132-93d6-39c4502fdcca,18/05/2017 17:20:32,3,85469.0
30,ea265e35-07b3-4132-93d6-39c4502fdcca,18/05/2017 16:20:34,69,85466.0
31,ea265e35-07b3-4132-93d6-39c4502fdcca,18/05/2017 15:20:34,2,85397.0
32,ea265e35-07b3-4132-93d6-39c4502fdcca,18/05/2017 14:20:34,3,85395.0
33,ea265e35-07b3-4132-93d6-39c4502fdcca,18/05/2017 13:20:34,20,85392.0
34,ea265e35-07b3-4132-93d6-39c4502fdcca,18/05/2017 12:20:34,56,85372.0
35,ea265e35-07b3-4132-93d6-39c4502fdcca,18/05/2017 11:20:34,0,85316.0
36,ea265e35-07b3-4132-93d6-39c4502fdcca,18/05/2017 10:20:34,0,85316.0
37,ea265e35-07b3-4132-93d6-39c4502fdcca,18/05/2017 09:20:34,1,85316.0
38,ea265e35-07b3-4132-93d6-39c4502fdcca,18/05/2017 08:20:50,0,85315.0
39,ea265e35-07b3-4132-93d6-39c4502fdcca,18/05/2017 07:20:50,15,85315.0
40,ea265e35-07b3-4132-93d6-39c4502fdcca,18/05/2017 06:20:50,0,85300.0
41,ea265e35-07b3-4132-93d6-39c4502fdcca,18/05/2017 05:20:50,0,85300.0
42,ea265e35-07b3-4132-93d6-39c4502fdcca,18/05/2017 04:20:35,0,85300.0
43,ea265e35-07b3-4132-93d6-39c4502fdcca,18/05/2017 03:20:35,0,85300.0
44,ea265e35-07b3-4132-93d6-39c4502fdcca,18/05/2017 02:20:35,0,85300.0
45,ea265e35-07b3-4132-93d6-39c4502fdcca,18/05/2017 01:20:35,0,85300.0
46,ea265e35-07b3-4132-93d6-39c4502fdcca,18/05/2017 00:20:37,6,85300.0
47,ea265e35-07b3-4132-93d6-39c4502fdcca,17/05/2017 23:20:37,0,85294.0
