id,uid,time,data,meter
0,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,19/05/2017 22:47:43,22,321526.0
1,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,19/05/2017 21:47:43,27,321504.0
2,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,19/05/2017 20:47:43,1,321477.0
3,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,19/05/2017 19:47:54,7,321476.0
4,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,19/05/2017 18:47:54,28,321469.0
5,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,19/05/2017 17:47:54,7,321441.0
6,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,19/05/2017 16:47:54,9,321434.0
7,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,19/05/2017 15:47:53,0,321425.0
8,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,19/05/2017 14:47:53,0,321425.0
9,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,19/05/2017 13:47:53,1,321425.0
10,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,19/05/2017 12:47:53,15,321424.0
11,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,19/05/2017 11:47:47,21,321409.0
12,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,19/05/2017 10:47:47,39,321388.0
13,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,19/05/2017 09:47:47,4,321349.0
14,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,19/05/2017 08:47:47,50,321345.0
15,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,19/05/2017 07:47:44,0,321295.0
16,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,19/05/2017 06:47:44,6,321295.0
17,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,19/05/2017 05:47:44,0,321289.0
18,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,19/05/2017 04:47:44,0,321289.0
19,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,19/05/2017 03:47:49,6,321289.0
20,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,19/05/2017 02:47:49,0,321283.0
21,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,19/05/2017 01:47:49,0,321283.0
22,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,19/05/2017 00:47:49,10,321283.0
23,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,18/05/2017 23:36:49,16,321273.0
24,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,18/05/2017 22:36:49,16,321257.0
25,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,18/05/2017 21:36:49,4,321241.0
26,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,18/05/2017 20:36:49,2,321237.0
27,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,18/05/2017 19:47:51,6,321235.0
28,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,18/05/2017 18:47:51,0,321229.0
29,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,18/05/2017 17:47:51,1,321229.0
30,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,18/05/2017 16:47:51,14,321228.0
31,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,18/05/2017 15:47:45,40,321214.0
32,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,18/05/2017 14:47:45,6,321174.0
33,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,18/05/2017 13:47:45,7,321168.0
34,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,18/05/2017 12:47:45,23,321161.0
35,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,18/05/2017 11:47:48,10,321138.0
36,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,18/05/2017 10:47:48,24,321128.0
37,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,18/05/2017 09:47:48,11,321104.0
38,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,18/05/2017 08:47:48,26,321093.0
39,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,18/05/2017 07:47:47,0,321067.0
40,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,18/05/2017 06:47:47,0,321067.0
41,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,18/05/2017 05:47:47,0,321067.0
42,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,18/05/2017 04:47:47,5,321067.0
43,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,18/05/2017 03:47:48,0,321062.0
44,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,18/05/2017 02:47:48,0,321062.0
45,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,18/05/2017 01:47:48,1,321062.0
46,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,18/05/2017 00:47:48,15,321061.0
47,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,17/05/2017 23:47:45,13,321046.0
48,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,17/05/2017 22:47:45,14,321033.0
49,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,17/05/2017 21:47:45,11,321019.0
50,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,17/05/2017 20:47:45,0,321008.0
51,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,17/05/2017 19:47:49,13,321008.0
52,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,17/05/2017 18:47:49,17,320995.0
53,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,17/05/2017 17:47:49,6,320978.0
54,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,17/05/2017 16:47:49,9,320972.0
55,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,17/05/2017 15:47:48,0,320963.0
56,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,17/05/2017 14:47:48,6,320963.0
57,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,17/05/2017 13:47:48,4,320957.0
58,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,17/05/2017 12:47:48,22,320953.0
59,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,17/05/2017 11:47:49,23,320931.0
60,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,17/05/2017 10:47:49,4,320908.0
61,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,17/05/2017 09:47:49,0,320904.0
62,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,17/05/2017 08:47:49,31,320904.0
63,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,17/05/2017 07:47:47,0,320873.0
64,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,17/05/2017 06:47:47,3,320873.0
65,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,17/05/2017 05:47:47,3,320870.0
66,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,17/05/2017 04:47:47,0,320867.0
67,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,17/05/2017 03:47:49,0,320867.0
68,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,17/05/2017 02:47:49,0,320867.0
69,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,17/05/2017 01:47:49,0,320867.0
70,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,17/05/2017 00:47:49,2,320867.0
71,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,16/05/2017 23:47:49,24,320865.0
72,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,16/05/2017 22:47:49,0,320841.0
73,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,16/05/2017 21:47:49,1,320841.0
74,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,16/05/2017 20:47:49,1,320840.0
75,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,16/05/2017 19:47:53,9,320839.0
76,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,16/05/2017 18:47:53,2,320830.0
77,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,16/05/2017 17:47:53,1,320828.0
78,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,16/05/2017 16:47:53,0,320827.0
79,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,16/05/2017 15:47:48,0,320827.0
80,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,16/05/2017 14:47:48,9,320827.0
81,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,16/05/2017 13:47:48,6,320818.0
82,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,16/05/2017 12:47:48,24,320812.0
83,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,16/05/2017 11:47:51,28,320788.0
84,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,16/05/2017 10:47:51,0,320760.0
85,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,16/05/2017 09:47:51,16,320760.0
86,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,16/05/2017 08:47:51,19,320744.0
87,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,16/05/2017 07:47:49,0,320725.0
88,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,16/05/2017 06:47:49,6,320725.0
89,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,16/05/2017 05:47:49,0,320719.0
90,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,16/05/2017 04:47:49,0,320719.0
91,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,16/05/2017 03:47:52,0,320719.0
92,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,16/05/2017 02:47:52,0,320719.0
93,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,16/05/2017 01:47:52,1,320719.0
94,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,16/05/2017 00:47:52,28,320718.0
95,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,15/05/2017 23:47:40,0,320690.0
96,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,15/05/2017 22:47:40,10,320690.0
97,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,15/05/2017 21:47:40,1,320680.0
98,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,15/05/2017 20:47:40,21,320679.0
99,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,15/05/2017 19:47:52,22,320658.0
100,f45ff6bf-08c4-450d-bbf3-5597f66c68ba,15/05/2017 18:47:52,0,320636.0
