id,uid,time,data,meter
0,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,19/05/2017 22:33:10,45,597392.0
1,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,19/05/2017 21:33:10,13,597347.0
2,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,19/05/2017 20:33:10,50,597334.0
3,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,19/05/2017 19:33:10,7,597284.0
4,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,19/05/2017 18:33:10,13,597277.0
5,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,19/05/2017 17:33:10,12,597264.0
6,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,19/05/2017 16:33:10,72,597252.0
7,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,19/05/2017 15:33:12,32,597180.0
8,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,19/05/2017 14:33:12,24,597148.0
9,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,19/05/2017 13:33:12,4,597124.0
10,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,19/05/2017 12:33:12,4,597120.0
11,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,19/05/2017 11:33:11,56,597116.0
12,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,19/05/2017 10:33:11,26,597060.0
13,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,19/05/2017 09:33:11,15,597034.0
14,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,19/05/2017 08:33:11,11,597019.0
15,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,19/05/2017 07:33:11,17,597008.0
16,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,19/05/2017 06:33:11,0,596991.0
17,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,19/05/2017 05:33:11,7,596991.0
18,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,19/05/2017 04:33:11,2,596984.0
19,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,19/05/2017 03:33:27,1,596982.0
20,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,19/05/2017 02:33:27,0,596981.0
21,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,19/05/2017 01:33:27,25,596981.0
22,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,19/05/2017 00:33:27,4,596956.0
23,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,18/05/2017 23:33:11,15,596952.0
24,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,18/05/2017 22:33:11,71,596937.0
25,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,18/05/2017 21:33:11,23,596866.0
26,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,18/05/2017 20:33:11,18,596843.0
27,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,18/05/2017 19:33:12,13,596825.0
28,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,18/05/2017 18:33:12,10,596812.0
29,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,18/05/2017 17:33:12,30,596802.0
30,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,18/05/2017 16:33:12,4,596772.0
31,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,18/05/2017 15:33:15,8,596768.0
32,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,18/05/2017 14:33:15,13,596760.0
33,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,18/05/2017 13:33:15,13,596747.0
34,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,18/05/2017 12:33:15,4,596734.0
35,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,18/05/2017 11:33:15,7,596730.0
36,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,18/05/2017 10:33:15,9,596723.0
37,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,18/05/2017 09:33:15,30,596714.0
38,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,18/05/2017 08:33:15,56,596684.0
39,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,18/05/2017 07:33:13,17,596628.0
40,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,18/05/2017 06:33:13,0,596611.0
41,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,18/05/2017 05:33:13,1,596611.0
42,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,18/05/2017 04:33:13,1,596610.0
43,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,18/05/2017 03:33:14,1,596609.0
44,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,18/05/2017 02:33:14,5,596608.0
45,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,18/05/2017 01:33:14,2,596603.0
46,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,18/05/2017 00:33:14,11,596601.0
47,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,17/05/2017 23:33:16,21,596590.0
48,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,17/05/2017 22:33:16,16,596569.0
49,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,17/05/2017 21:33:16,9,596553.0
50,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,17/05/2017 20:33:16,14,596544.0
51,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,17/05/2017 19:33:23,49,596530.0
52,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,17/05/2017 18:33:23,2,596481.0
53,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,17/05/2017 17:33:23,6,596479.0
54,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,17/05/2017 16:33:23,26,596473.0
55,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,17/05/2017 15:33:14,42,596447.0
56,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,17/05/2017 14:33:14,55,596405.0
57,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,17/05/2017 13:33:14,4,596350.0
58,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,17/05/2017 12:33:14,9,596346.0
59,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,17/05/2017 11:33:18,8,596337.0
60,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,17/05/2017 10:33:18,25,596329.0
61,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,17/05/2017 09:33:18,88,596304.0
62,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,17/05/2017 08:33:18,24,596216.0
63,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,17/05/2017 07:33:16,23,596192.0
64,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,17/05/2017 06:33:16,1,596169.0
65,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,17/05/2017 05:33:16,6,596168.0
66,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,17/05/2017 04:33:16,2,596162.0
67,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,17/05/2017 03:33:18,0,596160.0
68,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,17/05/2017 02:33:18,1,596160.0
69,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,17/05/2017 01:33:18,2,596159.0
70,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,17/05/2017 00:33:18,15,596157.0
71,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,16/05/2017 23:33:18,38,596142.0
72,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,16/05/2017 22:33:18,5,596104.0
73,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,16/05/2017 21:33:18,13,596099.0
74,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,16/05/2017 20:33:18,15,596086.0
75,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,16/05/2017 19:33:17,3,596071.0
76,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,16/05/2017 18:33:17,18,596068.0
77,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,16/05/2017 17:33:17,9,596050.0
78,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,16/05/2017 16:33:17,3,596041.0
79,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,16/05/2017 15:33:16,5,596038.0
80,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,16/05/2017 14:33:16,3,596033.0
81,ffa1ece2-baae-4ea7-8e68-fe4110467a8d,16/05/2017 13:33:16,4,596030.0
