graph1,graph2,graph3
766,1838,6054
1500,1911,6465
2334,1948,6507
2433,2478,7335
2825,2538,9994
3054,2958,10835
3240,2825,12629
3240,2978,13601
3201,2934,14120
3351,3498,16964
3630,3421,17104
3869,3351,16957
4131,3547,16828
4228,3722,16930
4456,3984,17567
5189,4124,18174
5383,3868,18276
5313,3876,18179
5602,3837,18903
5802,3807,18898
5982,4408,24629
6048,4197,25402
6181,4296,25640
6372,4320,25678
6761,4320,25647
7047,4258,25561
7574,4216,25667
8152,4379,25819
8340,4712,25657
8524,4673,25694
8544,4942,25963
8790,4814,25851
8987,4665,25953
9376,4883,25741
9501,4813,25907
9416,4744,25928
9740,5309,26334
9649,5232,26224
9643,5174,26111
10070,5279,25927
10399,5602,26360
10533,5488,26176
10803,5574,25901
10875,5494,26038
11348,5543,26151
11580,5600,26260
11696,5591,25980
11810,5538,26085
12098,5514,26107
12138,5675,26027
12243,6176,26181
12430,5762,25991
12531,5695,25749
12793,5823,26353
12895,5768,26160
12874,5997,26009
12955,6061,25973
12989,6554,25886
13051,6538,25767
13161,6720,25972
13167,6682,26309
13290,7535,26123
13371,7581,26729
13561,7611,27179
13548,7511,27144
13662,7479,27253
13601,7636,27602
13644,7495,27398
13564,7514,27337
13775,7622,27402
13807,7531,27307
13928,7783,27215
14010,7717,27167
14229,7737,26973
14147,7827,27171
14701,7786,26801
14859,8994,27085
14930,8026,27146
14966,8007,26954
14886,8118,27102
15118,8249,26907
15204,8279,27014
15256,8345,26821
15373,8324,26823
15505,8435,26735
15723,8394,26652
15786,8337,26960
15792,8511,26891
15910,8362,26709
15794,8474,26615
16114,8333,26796
16043,8493,27100
16115,8666,27075
16369,8341,27012
16288,8329,26944
16540,8660,26854
16795,8580,27447
16946,8664,27261
17084,8518,27385
17029,8436,27188
17081,8478,22929
17195,8477,22290
17242,8554,22610
17370,8397,19774
17432,8346,18413
17423,8831,21494
17527,8457,24033
17651,8674,23669
17614,8397,23927
17815,8258,22557
17728,8210,22437
17883,8278,22629
17914,8454,22584
18048,9238,22613
18291,8516,22418
18387,8346,22094
18498,8382,22345
18609,8415,22895
18524,9800,23913
18721,8592,27202
18672,9109,28351
18786,8659,26103
18728,9380,26260
18922,8606,25781
19350,8803,25814
19570,8827,25601
19548,8583,25609
19597,8806,25113
19425,8785,24318
19664,8777,25202
19746,8813,24461
19557,8832,25199
19608,8829,24610
19275,8745,25070
19289,8751,24622
19303,9077,24496
19356,8796,24642
19509,10229,24567
19289,8690,24551
19282,8591,24608
19357,8881,24556
19318,8867,24550
19053,9528,24519
19202,8731,24511
19830,8532,24543
19742,8515,24563
19779,9566,23823
19658,8697,24071
19547,8396,24109
19545,8999,23671
19401,9123,23638
19335,8884,23671
19505,8894,24056
19103,8706,23861
19223,9292,24058
19418,8959,23973
19294,9436,24596
19377,8834,24842
19341,8937,24867
19329,8894,24002
19364,8864,24450
19260,8431,24436
19427,8693,24620
19393,8757,23740
19601,8757,24056
19408,8781,24135
19562,8826,23703
19437,8801,24195
19631,8960,24049
19433,8758,24046
19332,8696,24082
19361,8945,24067
19268,9036,24152
19103,8745,24065
19134,8713,24055
18912,9056,24044
18903,8669,23962
19120,9239,24041
18940,9261,23958
19149,8529,24041
19010,8790,24107
18947,8646,24089
18804,8556,24137
18947,8589,24077
19038,8629,24123
18827,8711,24105
18897,8748,24086
19066,8735,24020
18993,8687,24085
18954,8617,24109
18868,8719,24085
18862,8513,24166
18756,8546,24132
18736,9217,23987
18784,8649,24205
18585,8904,24303
18536,8829,24339
18420,8558,24329
18644,8458,24804
19011,8493,25783
18751,8934,20447
18845,8485,20387
18679,8533,20100
18662,9188,16059
18348,8578,20429
18789,8693,21699
18436,8486,20949
18632,8280,20984
18443,8242,21049
18545,8867,20816
18586,8947,20840
18355,8255,20429
18080,9731,19984
18768,8037,20509
18373,8035,20480
18262,9498,20431
18361,8196,21122
18327,9049,20676
18295,8526,22843
18384,8438,22623
18256,9067,25427
18318,7858,24327
18312,7870,24215
18287,7891,24395
18247,9227,24261
18159,8224,24311
17875,7987,24280
17752,7613,24333
17675,7863,24153
17818,7559,24192
17677,9728,24332
17803,7399,24269
17727,7452,24222
17621,7505,24210
17596,9141,23747
17790,8211,24261
17396,7695,23745
17292,7768,23593
17595,8098,23567
17577,8233,23671
17567,9617,23557
17372,8555,23446
17389,8365,23555
17198,9404,23534
17086,7088,23480
17111,7537,22735
17174,7697,22506
16929,7457,22495
16767,6638,22580
16771,6452,22844
16726,6540,22535
16577,6587,22484
16483,6271,22600
15974,6248,22640
16301,6337,22687
16289,6255,22618
16028,6310,24210
16202,5780,24019
16248,6261,23901
16229,5885,23870
16100,6662,23862
16143,5913,23852
16183,5938,23504
16165,6052,23471
15699,6311,23154
15454,6083,23580
15705,5457,23384
15457,5066,23874
15480,4353,23654
15073,6006,23572
15068,5688,23409
14988,4203,23356
15042,4157,23390
14961,3739,23490
14832,6272,23353
14889,5624,23388
14943,2743,23268
14520,5845,23568
14707,5519,23538
14885,4701,23615
14415,5144,23849
13967,3884,23834
14344,3816,23831
13805,6384,23676
14233,4618,23641
14103,6006,24465
13939,4794,24426
13788,4730,24492
14122,4464,24355
13817,3787,24334
13634,4821,24410
13415,5014,24287
13612,4468,24278
13336,5652,24478
13278,4875,24460
13298,5063,24074
13093,4070,24948
13122,5425,24555
13033,5842,23812
12762,4152,21830
