id,uid,time,data,temp,volume,energy
0,00d55a57-715a-4105-ace4-8f86b533b314,30/09/2016 10:15:48,5.2941175000000005,30,3.0,59.0
1,00d55a57-715a-4105-ace4-8f86b533b314,29/09/2016 12:00:03,4.1,35,14.8,429.81667999999996
2,00d55a57-715a-4105-ace4-8f86b533b314,29/09/2016 12:00:11,4.8,33,14.3,382.07217
3,00d55a57-715a-4105-ace4-8f86b533b314,29/09/2016 12:00:36,4.8,36,28.1,848.7137
4,00d55a57-715a-4105-ace4-8f86b533b314,29/09/2016 12:00:48,3.9,35,9.5,275.89583999999996
5,00d55a57-715a-4105-ace4-8f86b533b314,29/09/2016 12:01:01,5.3,30,4.0,92.933334
6,00d55a57-715a-4105-ace4-8f86b533b314,30/09/2016 10:17:36,6.4,27,1.5,29.6225
7,00d55a57-715a-4105-ace4-8f86b533b314,29/09/2016 12:03:08,4.7,32,13.4,342.45932
8,00d55a57-715a-4105-ace4-8f86b533b314,29/09/2016 12:03:21,4.2,37,14.6,457.92900000000003
9,00d55a57-715a-4105-ace4-8f86b533b314,29/09/2016 12:03:34,4.8,32,6.5,166.11833000000001
10,00d55a57-715a-4105-ace4-8f86b533b314,29/09/2016 12:03:46,5.7,26,9.6,178.43200000000002
11,00d55a57-715a-4105-ace4-8f86b533b314,30/09/2016 10:18:39,4.2,30,3.9,90.61
12,00d55a57-715a-4105-ace4-8f86b533b314,29/09/2016 12:04:11,4.7,34,11.2,312.256
13,00d55a57-715a-4105-ace4-8f86b533b314,29/09/2016 12:04:36,5.5,30,13.1,304.35666000000003
14,00d55a57-715a-4105-ace4-8f86b533b314,29/09/2016 12:04:48,4.9,32,9.8,250.45533999999998
15,00d55a57-715a-4105-ace4-8f86b533b314,29/09/2016 12:05:01,4.4,37,10.2,319.923
16,00d55a57-715a-4105-ace4-8f86b533b314,26/08/2016 21:47:53,6.0,31,0.4,9.0
17,00d55a57-715a-4105-ace4-8f86b533b314,26/08/2016 21:43:49,6.0,36,13.3,381.0
18,00d55a57-715a-4105-ace4-8f86b533b314,26/08/2016 21:37:42,5.142857,35,3.0,87.125
19,00d55a57-715a-4105-ace4-8f86b533b314,26/08/2016 21:32:13,4.135135,36,11.4,317.832
20,00d55a57-715a-4105-ace4-8f86b533b314,26/08/2016 15:34:12,5.6,31,13.3,324.4535
21,00d55a57-715a-4105-ace4-8f86b533b314,25/08/2016 22:41:29,5.0,33,16.6,443.52432000000005
22,00d55a57-715a-4105-ace4-8f86b533b314,25/08/2016 22:41:24,4.7,33,7.9,211.07483
