id,uid,time,data,temp,volume,energy
0,0d05fe8b-9133-45ab-8da6-ff9cbb604a5c,13/08/2016 23:23:11,9.043478,39,20.9,572.0
1,0d05fe8b-9133-45ab-8da6-ff9cbb604a5c,13/08/2016 10:59:16,9.6,35,9.9,237.0
2,0d05fe8b-9133-45ab-8da6-ff9cbb604a5c,13/08/2016 23:17:42,9.6,34,25.4,708.1519999999999
3,0d05fe8b-9133-45ab-8da6-ff9cbb604a5c,7/8/2016 20:04,9.375,37,10.0,250.0
4,0d05fe8b-9133-45ab-8da6-ff9cbb604a5c,7/8/2016 9:12,8.264151,36,14.7,385.0
5,0d05fe8b-9133-45ab-8da6-ff9cbb604a5c,6/8/2016 11:40,8.9,32,22.9,585.2477
6,0d05fe8b-9133-45ab-8da6-ff9cbb604a5c,13/08/2016 11:00:50,9.5,33,26.7,713.3795
7,0d05fe8b-9133-45ab-8da6-ff9cbb604a5c,7/8/2016 20:04,9.0,36,48.3,1458.8210000000001
8,0d05fe8b-9133-45ab-8da6-ff9cbb604a5c,7/8/2016 9:10,9.1,33,16.1,430.16515999999996
9,0d05fe8b-9133-45ab-8da6-ff9cbb604a5c,4/8/2016 11:01,9.3,34,23.3,649.604
10,0d05fe8b-9133-45ab-8da6-ff9cbb604a5c,7/8/2016 9:12,9.2,36,36.5,1102.4216
11,0d05fe8b-9133-45ab-8da6-ff9cbb604a5c,13/08/2016 23:23:43,9.6,32,16.4,419.12933
12,0d05fe8b-9133-45ab-8da6-ff9cbb604a5c,7/8/2016 9:12,9.6,33,21.1,563.75684
13,0d05fe8b-9133-45ab-8da6-ff9cbb604a5c,13/08/2016 23:25:10,9.6,33,18.9,504.9765
14,0d05fe8b-9133-45ab-8da6-ff9cbb604a5c,7/8/2016 20:08,9.4,33,25.3,675.9738
15,0d05fe8b-9133-45ab-8da6-ff9cbb604a5c,4/7/2016 13:24,6.65625,28,7.1,145.0
