id,uid,time,data,temp,volume,energy
0,27571e82-7f14-4223-8dc5-b16d8f384a6a,4/12/2016 12:38,3.822394,43,16.5,490.0
1,27571e82-7f14-4223-8dc5-b16d8f384a6a,4/12/2016 12:35,3.3,31,18.2,443.98900000000003
2,27571e82-7f14-4223-8dc5-b16d8f384a6a,4/12/2016 12:35,13.9,31,64.4,1571.0379999999998
3,27571e82-7f14-4223-8dc5-b16d8f384a6a,4/12/2016 12:35,9.3,20,5.9,68.53833
4,27571e82-7f14-4223-8dc5-b16d8f384a6a,4/12/2016 12:35,4.1,32,20.6,526.46735
5,27571e82-7f14-4223-8dc5-b16d8f384a6a,4/12/2016 12:37,12.9,21,6.0,76.67
6,27571e82-7f14-4223-8dc5-b16d8f384a6a,4/12/2016 12:38,4.7,33,28.1,750.78516
7,27571e82-7f14-4223-8dc5-b16d8f384a6a,4/12/2016 12:38,13.5,33,28.6,764.14435
8,27571e82-7f14-4223-8dc5-b16d8f384a6a,4/12/2016 12:38,4.6,27,11.3,223.15617000000003
9,27571e82-7f14-4223-8dc5-b16d8f384a6a,16/09/2016 23:56:17,10.071428,37,9.4,278.0
10,27571e82-7f14-4223-8dc5-b16d8f384a6a,5/9/2016 7:11,2.0,32,0.3,6.0
11,27571e82-7f14-4223-8dc5-b16d8f384a6a,9/8/2016 7:38,5.575,37,23.3,636.0
12,27571e82-7f14-4223-8dc5-b16d8f384a6a,8/8/2016 7:53,4.3,33,22.2,593.1469999999999
13,27571e82-7f14-4223-8dc5-b16d8f384a6a,8/8/2016 7:49,5.8,28,3.1,64.821
14,27571e82-7f14-4223-8dc5-b16d8f384a6a,8/8/2016 7:49,10.5,34,27.9,777.852
15,27571e82-7f14-4223-8dc5-b16d8f384a6a,9/8/2016 7:35,4.7,32,16.2,414.01800000000003
16,27571e82-7f14-4223-8dc5-b16d8f384a6a,8/8/2016 7:49,9.3,31,18.4,448.86800000000005
17,27571e82-7f14-4223-8dc5-b16d8f384a6a,8/8/2016 7:50,7.4,33,16.7,446.19617
18,27571e82-7f14-4223-8dc5-b16d8f384a6a,8/8/2016 7:50,14.9,30,29.3,680.7367
19,27571e82-7f14-4223-8dc5-b16d8f384a6a,9/8/2016 7:36,11.8,28,5.9,123.369
20,27571e82-7f14-4223-8dc5-b16d8f384a6a,5/8/2016 7:08,4.8,29,15.8,348.73233
21,27571e82-7f14-4223-8dc5-b16d8f384a6a,5/8/2016 7:08,5.2,28,12.3,257.193
22,27571e82-7f14-4223-8dc5-b16d8f384a6a,5/8/2016 7:08,11.5,29,9.2,203.05933000000002
23,27571e82-7f14-4223-8dc5-b16d8f384a6a,5/8/2016 7:09,11.6,34,35.0,975.8
24,27571e82-7f14-4223-8dc5-b16d8f384a6a,5/8/2016 7:09,4.4,35,13.3,386.25417999999996
25,27571e82-7f14-4223-8dc5-b16d8f384a6a,5/8/2016 7:09,4.6,30,16.2,376.38
26,27571e82-7f14-4223-8dc5-b16d8f384a6a,5/8/2016 7:09,12.9,28,8.8,184.00799999999998
27,27571e82-7f14-4223-8dc5-b16d8f384a6a,8/8/2016 7:52,3.8,35,23.0,667.9583
28,27571e82-7f14-4223-8dc5-b16d8f384a6a,5/8/2016 7:10,6.2,33,25.0,667.9583
29,27571e82-7f14-4223-8dc5-b16d8f384a6a,5/8/2016 7:10,12.6,28,11.1,232.101
30,27571e82-7f14-4223-8dc5-b16d8f384a6a,5/8/2016 7:10,4.8,34,24.6,685.8480000000001
31,27571e82-7f14-4223-8dc5-b16d8f384a6a,5/8/2016 7:10,10.0,29,12.5,275.89583999999996
32,27571e82-7f14-4223-8dc5-b16d8f384a6a,5/8/2016 7:11,12.8,32,38.7,989.043
33,27571e82-7f14-4223-8dc5-b16d8f384a6a,8/8/2016 7:53,11.6,28,8.5,177.735
34,27571e82-7f14-4223-8dc5-b16d8f384a6a,5/8/2016 7:11,4.4,35,18.0,522.75
35,27571e82-7f14-4223-8dc5-b16d8f384a6a,27/07/2016 07:15:12,2.6666667,27,0.4,7.0
36,27571e82-7f14-4223-8dc5-b16d8f384a6a,27/07/2016 07:15:47,15.2,27,10.4,205.38266000000002
37,27571e82-7f14-4223-8dc5-b16d8f384a6a,27/07/2016 07:15:59,4.9,38,20.8,676.5547
38,27571e82-7f14-4223-8dc5-b16d8f384a6a,27/07/2016 07:16:12,10.3,32,27.4,700.2527
39,27571e82-7f14-4223-8dc5-b16d8f384a6a,27/07/2016 07:16:37,3.4,33,19.0,507.64835
40,27571e82-7f14-4223-8dc5-b16d8f384a6a,27/07/2016 07:16:49,12.4,32,47.8,1221.6086
41,27571e82-7f14-4223-8dc5-b16d8f384a6a,27/07/2016 07:17:02,4.2,32,19.7,503.46634000000006
42,27571e82-7f14-4223-8dc5-b16d8f384a6a,27/07/2016 07:17:26,9.5,31,18.6,453.74699999999996
43,27571e82-7f14-4223-8dc5-b16d8f384a6a,27/07/2016 07:17:52,14.0,27,7.7,152.06216
44,27571e82-7f14-4223-8dc5-b16d8f384a6a,27/07/2016 07:18:04,12.0,27,2.4,47.396
45,27571e82-7f14-4223-8dc5-b16d8f384a6a,27/07/2016 07:18:17,5.2,36,34.8,1051.076
46,27571e82-7f14-4223-8dc5-b16d8f384a6a,27/07/2016 07:18:54,4.2,35,19.0,551.7917
47,27571e82-7f14-4223-8dc5-b16d8f384a6a,20/07/2016 22:02:28,13.959184,28,11.4,220.0
48,27571e82-7f14-4223-8dc5-b16d8f384a6a,20/07/2016 08:13:46,4.0,26,0.8,14.0
49,27571e82-7f14-4223-8dc5-b16d8f384a6a,20/07/2016 08:14:13,10.1,37,23.3,730.8045
50,27571e82-7f14-4223-8dc5-b16d8f384a6a,20/07/2016 08:14:25,11.6,34,69.9,1948.8120000000001
51,27571e82-7f14-4223-8dc5-b16d8f384a6a,20/07/2016 22:06:03,13.1,29,66.6,1469.973
52,27571e82-7f14-4223-8dc5-b16d8f384a6a,20/07/2016 08:16:00,9.7,27,6.6,130.339
53,27571e82-7f14-4223-8dc5-b16d8f384a6a,20/07/2016 08:16:25,5.1,35,34.2,993.225
54,27571e82-7f14-4223-8dc5-b16d8f384a6a,20/07/2016 08:16:37,13.2,31,30.3,739.1685
55,27571e82-7f14-4223-8dc5-b16d8f384a6a,14/07/2016 08:19:03,4.0,36,15.0,453.05
56,27571e82-7f14-4223-8dc5-b16d8f384a6a,14/07/2016 08:15:53,11.8,28,6.5,135.915
57,27571e82-7f14-4223-8dc5-b16d8f384a6a,14/07/2016 08:16:05,5.3,29,23.6,520.89136
58,27571e82-7f14-4223-8dc5-b16d8f384a6a,20/07/2016 08:17:51,12.4,35,13.0,377.54166000000004
59,27571e82-7f14-4223-8dc5-b16d8f384a6a,14/07/2016 08:16:30,14.4,28,12.0,250.92
60,27571e82-7f14-4223-8dc5-b16d8f384a6a,20/07/2016 08:18:17,4.3,35,22.7,659.24585
61,27571e82-7f14-4223-8dc5-b16d8f384a6a,14/07/2016 08:17:07,11.1,28,7.2,150.55200000000002
62,27571e82-7f14-4223-8dc5-b16d8f384a6a,10/7/2016 12:58,5.4,27,10.4,208.0
63,27571e82-7f14-4223-8dc5-b16d8f384a6a,14/07/2016 08:18:35,5.3,36,11.1,335.25699999999995
64,27571e82-7f14-4223-8dc5-b16d8f384a6a,14/07/2016 08:18:48,14.2,31,15.6,380.56199999999995
65,27571e82-7f14-4223-8dc5-b16d8f384a6a,14/07/2016 08:19:00,14.5,35,20.0,580.8333
66,27571e82-7f14-4223-8dc5-b16d8f384a6a,10/7/2016 12:58,11.8,35,50.8,1475.3167
67,27571e82-7f14-4223-8dc5-b16d8f384a6a,7/7/2016 7:10,7.0,41,28.3,815.0
68,27571e82-7f14-4223-8dc5-b16d8f384a6a,6/7/2016 7:17,5.7,27,31.2,616.148
69,27571e82-7f14-4223-8dc5-b16d8f384a6a,10/7/2016 13:00,13.8,27,12.9,254.7535
70,27571e82-7f14-4223-8dc5-b16d8f384a6a,7/7/2016 7:07,13.3,26,9.1,169.13867
71,27571e82-7f14-4223-8dc5-b16d8f384a6a,7/7/2016 7:07,10.0,27,18.8,371.26867999999996
72,27571e82-7f14-4223-8dc5-b16d8f384a6a,4/7/2016 7:49,3.6,36,10.1,305.05368
73,27571e82-7f14-4223-8dc5-b16d8f384a6a,10/7/2016 13:01,12.5,34,29.8,830.824
74,27571e82-7f14-4223-8dc5-b16d8f384a6a,7/7/2016 7:08,12.4,36,35.8,1081.2793
