id,uid,time,data,temp,volume,energy
0,2ba7664a-4ead-4494-92b2-099bb15849a1,22/07/2016 18:40:57,8.7,26,7.1,131.96533
1,2ba7664a-4ead-4494-92b2-099bb15849a1,22/07/2016 18:41:02,6.7,29,9.1,200.85217
2,2ba7664a-4ead-4494-92b2-099bb15849a1,22/07/2016 18:41:08,6.0,36,6.1,184.24033
3,2ba7664a-4ead-4494-92b2-099bb15849a1,22/07/2016 18:41:14,7.0,36,20.8,628.2293
4,2ba7664a-4ead-4494-92b2-099bb15849a1,22/07/2016 18:41:26,8.0,32,19.0,485.57665999999995
5,2ba7664a-4ead-4494-92b2-099bb15849a1,22/07/2016 18:41:31,7.1,35,9.4,272.99167
6,2ba7664a-4ead-4494-92b2-099bb15849a1,22/07/2016 18:41:37,7.6,35,24.1,699.9042
7,2ba7664a-4ead-4494-92b2-099bb15849a1,22/07/2016 18:41:43,7.8,28,9.0,188.19
8,2ba7664a-4ead-4494-92b2-099bb15849a1,22/07/2016 18:41:49,10.3,27,16.1,317.94818
9,2ba7664a-4ead-4494-92b2-099bb15849a1,14/07/2016 22:44:43,8.716981,32,23.4,545.0
10,2ba7664a-4ead-4494-92b2-099bb15849a1,14/07/2016 22:42:15,7.8,31,11.0,268.345
11,2ba7664a-4ead-4494-92b2-099bb15849a1,14/07/2016 22:42:28,7.9,34,3.7,103.156
12,2ba7664a-4ead-4494-92b2-099bb15849a1,14/07/2016 22:42:40,6.2,31,3.2,78.064
13,2ba7664a-4ead-4494-92b2-099bb15849a1,14/07/2016 22:42:53,9.0,30,19.7,457.69665999999995
14,2ba7664a-4ead-4494-92b2-099bb15849a1,14/07/2016 22:43:05,8.7,33,29.5,788.1908599999999
15,2ba7664a-4ead-4494-92b2-099bb15849a1,14/07/2016 22:43:18,7.2,28,18.8,393.108
16,2ba7664a-4ead-4494-92b2-099bb15849a1,14/07/2016 22:43:55,7.5,36,32.1,969.5269999999999
17,2ba7664a-4ead-4494-92b2-099bb15849a1,14/07/2016 22:44:08,9.5,28,11.1,232.101
18,2ba7664a-4ead-4494-92b2-099bb15849a1,14/07/2016 22:44:20,7.3,37,26.8,840.582
19,2ba7664a-4ead-4494-92b2-099bb15849a1,14/07/2016 22:44:45,7.6,36,10.9,329.21634
20,2ba7664a-4ead-4494-92b2-099bb15849a1,28/06/2016 20:59:00,1.8646616999999999,37,12.4,302.0
21,2ba7664a-4ead-4494-92b2-099bb15849a1,28/06/2016 20:58:32,7.1,35,41.7,1211.0375
22,2ba7664a-4ead-4494-92b2-099bb15849a1,28/06/2016 20:58:45,7.4,34,5.3,147.764
23,2ba7664a-4ead-4494-92b2-099bb15849a1,28/06/2016 20:58:57,7.8,31,7.0,170.765
24,2ba7664a-4ead-4494-92b2-099bb15849a1,31/05/2016 19:57:25,2.3934425999999998,27,7.3,135.0
25,2ba7664a-4ead-4494-92b2-099bb15849a1,31/05/2016 19:56:43,8.1,37,8.8,276.012
26,2ba7664a-4ead-4494-92b2-099bb15849a1,31/05/2016 19:56:55,7.7,39,17.6,592.9147
27,2ba7664a-4ead-4494-92b2-099bb15849a1,31/05/2016 19:57:08,7.4,37,26.3,824.8995
28,2ba7664a-4ead-4494-92b2-099bb15849a1,31/05/2016 19:57:20,7.3,37,10.4,326.19599999999997
29,2ba7664a-4ead-4494-92b2-099bb15849a1,16/05/2016 20:11:41,2.6229508,22,8.0,115.0
