id,uid,time,data,temp,volume,energy
0,30aaa6fe-a9cc-432a-adc2-536483c9516a,11/7/2016 21:20,9.032967,35,26.1,697.3485
1,30aaa6fe-a9cc-432a-adc2-536483c9516a,11/7/2016 20:55,11.0,29,25.2,556.206
2,30aaa6fe-a9cc-432a-adc2-536483c9516a,11/7/2016 20:55,10.0,27,4.5,88.8675
3,30aaa6fe-a9cc-432a-adc2-536483c9516a,11/7/2016 20:56,8.3,26,1.8,33.455999999999996
4,30aaa6fe-a9cc-432a-adc2-536483c9516a,7/7/2016 20:18,7.3,30,22.8,529.72
5,30aaa6fe-a9cc-432a-adc2-536483c9516a,7/7/2016 20:13,4.7,24,9.7,157.75433
6,30aaa6fe-a9cc-432a-adc2-536483c9516a,7/7/2016 20:14,9.2,24,9.5,154.50166000000002
7,30aaa6fe-a9cc-432a-adc2-536483c9516a,7/7/2016 20:14,10.3,25,2.4,41.82
8,30aaa6fe-a9cc-432a-adc2-536483c9516a,7/7/2016 20:14,6.6,34,23.1,644.028
9,30aaa6fe-a9cc-432a-adc2-536483c9516a,7/7/2016 20:17,8.4,25,3.5,60.9875
10,30aaa6fe-a9cc-432a-adc2-536483c9516a,7/7/2016 20:17,8.5,27,4.1,80.96817
11,30aaa6fe-a9cc-432a-adc2-536483c9516a,6/7/2016 7:29,6.9,35,12.8,371.73334
12,30aaa6fe-a9cc-432a-adc2-536483c9516a,6/7/2016 7:24,7.625,35,18.3,506.0
13,30aaa6fe-a9cc-432a-adc2-536483c9516a,6/7/2016 7:22,7.6,34,25.4,708.1519999999999
14,30aaa6fe-a9cc-432a-adc2-536483c9516a,6/7/2016 7:28,7.4,28,3.1,64.821
15,30aaa6fe-a9cc-432a-adc2-536483c9516a,6/7/2016 7:22,6.8,34,9.9,276.012
16,30aaa6fe-a9cc-432a-adc2-536483c9516a,3/7/2016 13:11,7.6,26,3.8,67.0
17,30aaa6fe-a9cc-432a-adc2-536483c9516a,3/7/2016 12:34,7.2,26,2.4,44.608000000000004
18,30aaa6fe-a9cc-432a-adc2-536483c9516a,6/7/2016 7:23,5.3,33,18.8,502.30465999999996
19,30aaa6fe-a9cc-432a-adc2-536483c9516a,2/7/2016 10:37,7.075472,35,26.5,694.0
20,30aaa6fe-a9cc-432a-adc2-536483c9516a,1/7/2016 7:02,5.9,33,28.7,766.81616
21,30aaa6fe-a9cc-432a-adc2-536483c9516a,30/06/2016 07:44:50,8.3,27,4.0,78.99333
22,30aaa6fe-a9cc-432a-adc2-536483c9516a,30/06/2016 07:33:20,5.6,33,17.4,464.899
23,30aaa6fe-a9cc-432a-adc2-536483c9516a,29/06/2016 07:37:20,7.333333500000001,26,4.1,76.20533
24,30aaa6fe-a9cc-432a-adc2-536483c9516a,29/06/2016 07:28:40,5.1,34,28.4,791.7919999999999
25,30aaa6fe-a9cc-432a-adc2-536483c9516a,28/06/2016 07:41:09,7.0,27,2.9,57.27016999999999
26,30aaa6fe-a9cc-432a-adc2-536483c9516a,28/06/2016 07:40:59,4.5,36,9.8,261.83966000000004
27,30aaa6fe-a9cc-432a-adc2-536483c9516a,29/06/2016 07:27:55,7.7,27,4.0,78.99333
28,30aaa6fe-a9cc-432a-adc2-536483c9516a,27/06/2016 08:05:09,5.0,33,16.6,443.52432000000005
29,30aaa6fe-a9cc-432a-adc2-536483c9516a,23/06/2016 20:21:08,5.0,33,26.7,713.3795
30,30aaa6fe-a9cc-432a-adc2-536483c9516a,27/06/2016 08:05:24,7.0,23,2.7,40.7745
31,30aaa6fe-a9cc-432a-adc2-536483c9516a,27/06/2016 08:05:37,2.2,23,11.2,169.13867
32,30aaa6fe-a9cc-432a-adc2-536483c9516a,27/06/2016 08:05:49,8.0,23,6.4,96.650665
33,30aaa6fe-a9cc-432a-adc2-536483c9516a,27/06/2016 08:06:02,4.8,35,7.3,212.00417000000002
34,30aaa6fe-a9cc-432a-adc2-536483c9516a,28/06/2016 07:34:03,5.7,34,11.0,306.68
35,30aaa6fe-a9cc-432a-adc2-536483c9516a,27/06/2016 08:06:27,4.6,34,12.9,359.652
36,30aaa6fe-a9cc-432a-adc2-536483c9516a,22/06/2016 07:27:36,5.8,31,19.7,480.5815
37,30aaa6fe-a9cc-432a-adc2-536483c9516a,22/06/2016 07:18:43,6.2,34,17.3,482.324
38,30aaa6fe-a9cc-432a-adc2-536483c9516a,21/06/2016 07:50:20,8.6,27,3.0,59.245
39,30aaa6fe-a9cc-432a-adc2-536483c9516a,21/06/2016 07:38:48,6.6,33,27.5,734.75415
40,30aaa6fe-a9cc-432a-adc2-536483c9516a,21/06/2016 07:38:56,9.4,26,2.2,40.890667
41,30aaa6fe-a9cc-432a-adc2-536483c9516a,21/06/2016 07:39:09,6.4,33,19.3,515.6638
42,30aaa6fe-a9cc-432a-adc2-536483c9516a,21/06/2016 07:39:21,7.2,32,3.7,94.55967
43,30aaa6fe-a9cc-432a-adc2-536483c9516a,21/06/2016 07:39:34,6.2,31,10.7,261.0265
44,30aaa6fe-a9cc-432a-adc2-536483c9516a,19/06/2016 20:28:00,6.8,33,31.5,841.6275
45,30aaa6fe-a9cc-432a-adc2-536483c9516a,19/06/2016 20:22:25,5.6,34,20.3,565.964
46,30aaa6fe-a9cc-432a-adc2-536483c9516a,21/06/2016 07:40:11,9.8,24,1.8,29.274
47,30aaa6fe-a9cc-432a-adc2-536483c9516a,17/06/2016 07:01:37,9.777778,26,4.6,85.498665
48,30aaa6fe-a9cc-432a-adc2-536483c9516a,17/06/2016 06:58:01,6.4,33,29.4,785.5189999999999
49,30aaa6fe-a9cc-432a-adc2-536483c9516a,17/06/2016 07:01:34,6.9,33,29.1,777.5035
50,30aaa6fe-a9cc-432a-adc2-536483c9516a,19/06/2016 20:23:28,10.1,25,4.9,85.3825
51,30aaa6fe-a9cc-432a-adc2-536483c9516a,15/06/2016 07:31:07,6.5,35,15.5,450.14584
52,30aaa6fe-a9cc-432a-adc2-536483c9516a,15/06/2016 07:25:37,7.2,33,15.4,411.46234
53,30aaa6fe-a9cc-432a-adc2-536483c9516a,15/06/2016 07:29:12,9.9,26,4.8,89.21600000000001
54,30aaa6fe-a9cc-432a-adc2-536483c9516a,14/06/2016 07:06:33,7.1,34,35.4,986.952
55,30aaa6fe-a9cc-432a-adc2-536483c9516a,14/06/2016 07:06:30,8.5,25,4.8,83.64
56,30aaa6fe-a9cc-432a-adc2-536483c9516a,14/06/2016 07:06:43,6.7,34,27.8,775.064
57,30aaa6fe-a9cc-432a-adc2-536483c9516a,14/06/2016 07:06:55,7.5,32,18.6,475.35400000000004
58,30aaa6fe-a9cc-432a-adc2-536483c9516a,15/06/2016 07:30:14,7.9,33,15.0,400.775
59,30aaa6fe-a9cc-432a-adc2-536483c9516a,14/06/2016 07:07:20,9.9,25,3.3,57.5025
60,30aaa6fe-a9cc-432a-adc2-536483c9516a,14/06/2016 07:07:33,7.1,34,27.1,755.548
61,30aaa6fe-a9cc-432a-adc2-536483c9516a,14/06/2016 07:07:45,8.5,33,4.8,128.248
62,30aaa6fe-a9cc-432a-adc2-536483c9516a,14/06/2016 07:07:58,6.8,34,32.6,908.888
63,30aaa6fe-a9cc-432a-adc2-536483c9516a,14/06/2016 07:08:10,8.4,27,3.5,69.11916
64,30aaa6fe-a9cc-432a-adc2-536483c9516a,14/06/2016 07:08:23,6.7,33,25.3,675.9738
65,30aaa6fe-a9cc-432a-adc2-536483c9516a,8/6/2016 7:18,7.1,34,34.8,970.2239999999999
66,30aaa6fe-a9cc-432a-adc2-536483c9516a,8/6/2016 7:08,7.5,34,17.3,422.0335
67,30aaa6fe-a9cc-432a-adc2-536483c9516a,8/6/2016 7:08,7.401459700000001,35,17.8,454.90865999999994
68,30aaa6fe-a9cc-432a-adc2-536483c9516a,6/6/2016 7:06,9.0,35,18.3,510.204
69,30aaa6fe-a9cc-432a-adc2-536483c9516a,8/6/2016 7:09,7.4,24,4.3,69.932335
70,30aaa6fe-a9cc-432a-adc2-536483c9516a,6/6/2016 6:38,5.8,36,40.5,1223.235
71,30aaa6fe-a9cc-432a-adc2-536483c9516a,5/6/2016 12:43,10.5,23,3.5,52.855835
72,30aaa6fe-a9cc-432a-adc2-536483c9516a,5/6/2016 12:33,10.1,24,4.7,76.43767
73,30aaa6fe-a9cc-432a-adc2-536483c9516a,5/6/2016 12:33,9.0,28,20.9,416.0
74,30aaa6fe-a9cc-432a-adc2-536483c9516a,5/6/2016 12:33,9.1875,27,21.7,428.53882000000004
75,30aaa6fe-a9cc-432a-adc2-536483c9516a,5/6/2016 12:20,10.5,26,4.4,71.55866999999999
76,30aaa6fe-a9cc-432a-adc2-536483c9516a,5/6/2016 12:13,8.123077,35,33.6,897.7360000000001
77,30aaa6fe-a9cc-432a-adc2-536483c9516a,5/6/2016 12:13,10.636364,27,4.7,81.8975
