id,uid,time,data,temp,volume,energy
0,334cf4d1-6bd9-4bd4-a07c-14bdb1abd61d,3/9/2016 19:01,14.7,28,16.4,342.92400000000004
1,334cf4d1-6bd9-4bd4-a07c-14bdb1abd61d,3/9/2016 19:01,8.1,27,8.8,173.78534
2,334cf4d1-6bd9-4bd4-a07c-14bdb1abd61d,3/9/2016 19:01,14.7,27,14.7,290.3005
3,334cf4d1-6bd9-4bd4-a07c-14bdb1abd61d,3/9/2016 19:02,13.5,30,2.7,62.73
4,334cf4d1-6bd9-4bd4-a07c-14bdb1abd61d,3/9/2016 19:02,10.7,32,13.7,350.12633999999997
5,334cf4d1-6bd9-4bd4-a07c-14bdb1abd61d,3/9/2016 19:05,10.6,33,13.8,368.713
6,334cf4d1-6bd9-4bd4-a07c-14bdb1abd61d,11/7/2016 17:46,7.5,27,0.5,9.0
7,334cf4d1-6bd9-4bd4-a07c-14bdb1abd61d,9/7/2016 18:42,8.857142,34,3.8,100.0
8,334cf4d1-6bd9-4bd4-a07c-14bdb1abd61d,11/7/2016 17:47,11.2,37,153.1,4801.9814
9,334cf4d1-6bd9-4bd4-a07c-14bdb1abd61d,8/7/2016 19:38,10.96875,35,12.2,290.0
10,334cf4d1-6bd9-4bd4-a07c-14bdb1abd61d,8/7/2016 19:37,11.1,35,13.1,380.44583
11,334cf4d1-6bd9-4bd4-a07c-14bdb1abd61d,8/7/2016 19:37,11.8,35,128.3,3726.046
12,334cf4d1-6bd9-4bd4-a07c-14bdb1abd61d,8/7/2016 19:37,13.2,32,21.1,539.24567
13,334cf4d1-6bd9-4bd4-a07c-14bdb1abd61d,8/7/2016 19:38,13.0,32,31.8,812.702
14,334cf4d1-6bd9-4bd4-a07c-14bdb1abd61d,9/7/2016 18:43,12.6,32,56.4,1441.396
15,334cf4d1-6bd9-4bd4-a07c-14bdb1abd61d,9/7/2016 18:43,11.6,34,12.0,334.56
16,334cf4d1-6bd9-4bd4-a07c-14bdb1abd61d,11/7/2016 17:48,11.3,36,103.1,3113.9636
17,334cf4d1-6bd9-4bd4-a07c-14bdb1abd61d,9/7/2016 18:44,11.6,34,15.1,420.98800000000006
18,334cf4d1-6bd9-4bd4-a07c-14bdb1abd61d,8/7/2016 19:39,5.4,37,77.6,2433.924
19,334cf4d1-6bd9-4bd4-a07c-14bdb1abd61d,11/7/2016 17:49,10.3,32,10.8,276.012
20,334cf4d1-6bd9-4bd4-a07c-14bdb1abd61d,8/7/2016 19:39,11.2,32,19.9,508.57767
21,334cf4d1-6bd9-4bd4-a07c-14bdb1abd61d,8/7/2016 19:40,9.9,33,49.6,1325.2294
22,334cf4d1-6bd9-4bd4-a07c-14bdb1abd61d,8/7/2016 19:40,9.8,34,29.1,811.308
23,334cf4d1-6bd9-4bd4-a07c-14bdb1abd61d,3/9/2016 19:00,10.1,33,28.0,748.11334
24,334cf4d1-6bd9-4bd4-a07c-14bdb1abd61d,8/7/2016 19:40,4.9,30,9.7,225.36333
