id,uid,time,data,temp,volume,energy
0,33d80360-accd-4f80-8124-affba23519b0,26/12/2016 11:45:16,8.9,40,76.8,2676.48
1,33d80360-accd-4f80-8124-affba23519b0,26/12/2016 11:45:22,7.5,41,81.3,2927.7485
2,33d80360-accd-4f80-8124-affba23519b0,26/12/2016 11:46:25,8.0,41,71.4,2571.2329999999997
3,33d80360-accd-4f80-8124-affba23519b0,15/11/2016 06:48:41,1.2972972,41,0.8,24.0
4,33d80360-accd-4f80-8124-affba23519b0,15/11/2016 06:48:44,3.0,20,2.0,23.233334
5,33d80360-accd-4f80-8124-affba23519b0,9/11/2016 6:59,5.87234,42,25.6,917.0
6,33d80360-accd-4f80-8124-affba23519b0,9/11/2016 6:55,8.5,41,49.0,1764.5717
7,33d80360-accd-4f80-8124-affba23519b0,8/11/2016 6:50,8.433475999999999,40,65.5,2183.0
8,33d80360-accd-4f80-8124-affba23519b0,9/11/2016 6:56,6.9,38,26.5,861.9566699999999
9,33d80360-accd-4f80-8124-affba23519b0,8/11/2016 6:50,9.0,39,44.8,1509.2373
10,33d80360-accd-4f80-8124-affba23519b0,8/11/2016 6:50,8.9,36,35.1,1060.137
11,33d80360-accd-4f80-8124-affba23519b0,9/11/2016 6:56,7.8,38,36.6,1190.476
12,33d80360-accd-4f80-8124-affba23519b0,9/11/2016 6:57,9.3,38,37.7,1226.2554
13,33d80360-accd-4f80-8124-affba23519b0,9/11/2016 6:57,10.5,37,99.4,3117.6809999999996
14,33d80360-accd-4f80-8124-affba23519b0,9/11/2016 6:57,8.2,38,46.4,1509.2373
15,33d80360-accd-4f80-8124-affba23519b0,9/11/2016 6:57,7.6,39,41.1,1384.5905
16,33d80360-accd-4f80-8124-affba23519b0,26/12/2016 11:44:58,7.5,36,9.8,295.99268
17,33d80360-accd-4f80-8124-affba23519b0,26/12/2016 11:44:57,9.1,37,33.4,1047.5910000000001
18,33d80360-accd-4f80-8124-affba23519b0,26/12/2016 11:44:57,11.1,37,46.4,1455.336
19,33d80360-accd-4f80-8124-affba23519b0,26/12/2016 11:44:57,10.1,38,61.2,1990.632
20,33d80360-accd-4f80-8124-affba23519b0,26/12/2016 11:44:57,10.3,36,39.3,1186.991
21,33d80360-accd-4f80-8124-affba23519b0,26/12/2016 11:44:57,9.9,36,39.2,1183.9707
22,33d80360-accd-4f80-8124-affba23519b0,9/11/2016 6:59,10.7,36,112.2,3388.8140000000003
23,33d80360-accd-4f80-8124-affba23519b0,26/12/2016 11:44:32,7.8,40,50.4,1756.44
24,33d80360-accd-4f80-8124-affba23519b0,26/12/2016 11:44:32,10.2,23,12.8,193.30133
25,33d80360-accd-4f80-8124-affba23519b0,26/12/2016 11:44:32,9.2,39,47.9,1613.6711
26,33d80360-accd-4f80-8124-affba23519b0,26/12/2016 11:44:32,8.5,39,58.5,1970.7675
27,33d80360-accd-4f80-8124-affba23519b0,26/12/2016 11:44:32,9.1,38,55.0,1788.9667
28,33d80360-accd-4f80-8124-affba23519b0,26/12/2016 11:44:32,8.1,37,19.8,621.0269999999999
29,33d80360-accd-4f80-8124-affba23519b0,26/12/2016 11:44:32,7.8,40,42.5,1481.125
30,33d80360-accd-4f80-8124-affba23519b0,26/12/2016 11:44:32,5.8,38,90.0,2927.4
31,33d80360-accd-4f80-8124-affba23519b0,26/12/2016 11:44:32,8.0,36,68.3,2062.8877
