id,uid,time,data,temp,volume,energy
0,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,9/1/2017 16:41,4.0,36,32.3,975.5677
1,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,9/1/2017 16:41,4.0,39,34.3,1155.5099
2,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,9/1/2017 16:41,3.8,37,19.0,595.935
3,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,9/1/2017 16:41,4.0,35,20.5,595.3542
4,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,9/1/2017 16:42,3.7,40,29.6,1031.56
5,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,9/1/2017 16:42,4.1,34,19.1,532.508
6,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,15/07/2016 08:43:28,4.285714,40,7.0,206.0
7,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,15/07/2016 08:42:08,4.2,36,17.5,528.55835
8,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,15/07/2016 08:42:20,4.1,36,24.2,730.92065
9,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,15/07/2016 08:42:33,4.2,36,17.5,528.55835
10,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,15/07/2016 08:42:45,4.2,36,23.6,712.79865
11,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,15/07/2016 08:42:58,4.4,33,4.2,112.21700000000001
12,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,15/07/2016 08:43:10,4.3,33,10.8,288.558
13,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,15/07/2016 08:43:23,4.3,35,22.4,650.5333
14,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,30/06/2016 10:19:18,4.514851599999999,38,10.1,289.0
15,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,29/06/2016 12:14:28,4.4,38,5.6,146.0
16,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,29/06/2016 12:13:28,4.3,36,27.3,824.551
17,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,29/06/2016 12:13:40,4.4,35,24.2,702.80835
18,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,29/06/2016 12:13:53,4.3,37,29.4,922.1310000000001
19,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,29/06/2016 12:14:05,4.3,36,25.7,776.22565
20,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,29/06/2016 12:14:18,4.4,38,27.6,897.7360000000001
21,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,30/06/2016 10:18:50,4.4,36,27.5,830.5917
22,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,30/06/2016 10:19:03,4.7,33,5.9,157.63817
23,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,30/06/2016 10:19:15,4.4,35,27.9,810.2625
24,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,20/06/2016 07:23:16,4.266667,38,3.4,74.0
25,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,20/06/2016 07:23:21,4.2,35,21.8,633.10834
26,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,15/06/2016 17:25:57,4.285714,29,1.3,28.0
27,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,15/06/2016 17:25:50,4.1,34,20.3,565.964
28,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,15/06/2016 17:26:02,4.1,34,4.6,128.248
29,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,9/1/2017 16:41,4.2,37,24.2,759.033
30,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,9/1/2017 16:41,4.2,37,26.3,824.8995
31,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,9/1/2017 16:41,4.3,36,18.6,561.7819999999999
32,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,9/1/2017 16:41,4.3,34,25.7,716.5160000000001
33,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,9/1/2017 16:41,4.2,37,28.6,897.039
34,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,9/1/2017 16:41,4.2,34,18.3,510.204
35,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,9/1/2017 16:41,4.1,35,23.0,667.9583
36,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,9/1/2017 16:41,4.0,37,41.2,1292.238
37,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,9/1/2017 16:41,4.1,34,26.5,738.82
38,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,9/1/2017 16:41,4.1,37,27.7,868.8105
39,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,30/05/2016 09:21:18,0.5121951,25,0.7,12.0
40,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,9/1/2017 16:40,4.2,35,16.2,470.475
41,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,9/1/2017 16:40,4.0,37,26.9,843.7185
42,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,9/1/2017 16:40,4.2,38,29.5,959.5367
43,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,24/05/2016 18:15:37,4.2,24,2.7,43.911
44,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,9/1/2017 16:40,4.1,36,25.9,782.26636
45,3d528bdf-05dc-45a8-a0d9-de0abd124a2a,19/05/2016 11:42:27,0.99408287,23,5.6,86.0
