id,uid,time,data,temp,volume,energy
0,49b9371f-17c7-479c-9e93-ad71d1dcc3c4,9/8/2016 20:53,12.72973,40,31.4,1050.0
1,49b9371f-17c7-479c-9e93-ad71d1dcc3c4,9/8/2016 20:47,10.536586,46,14.4,478.0
2,49b9371f-17c7-479c-9e93-ad71d1dcc3c4,9/8/2016 20:46,13.4,39,75.3,2536.7314
3,49b9371f-17c7-479c-9e93-ad71d1dcc3c4,9/8/2016 20:51,13.3,37,46.1,1445.9265
4,49b9371f-17c7-479c-9e93-ad71d1dcc3c4,9/8/2016 20:52,13.5,37,88.2,2766.393
5,49b9371f-17c7-479c-9e93-ad71d1dcc3c4,9/8/2016 20:52,13.9,40,186.9,6513.465
6,49b9371f-17c7-479c-9e93-ad71d1dcc3c4,9/8/2016 20:52,13.3,37,67.0,2101.455
7,49b9371f-17c7-479c-9e93-ad71d1dcc3c4,9/8/2016 20:47,11.5,32,17.3,442.13034000000005
8,49b9371f-17c7-479c-9e93-ad71d1dcc3c4,9/8/2016 20:53,13.7,38,133.1,4329.2993
9,49b9371f-17c7-479c-9e93-ad71d1dcc3c4,3/7/2016 22:11,13.839323,46,120.5,4085.0
10,49b9371f-17c7-479c-9e93-ad71d1dcc3c4,30/06/2016 23:21:10,14.1,43,57.3,1990.0
11,49b9371f-17c7-479c-9e93-ad71d1dcc3c4,30/06/2016 23:17:10,13.6,46,171.8,5626.0
12,49b9371f-17c7-479c-9e93-ad71d1dcc3c4,30/06/2016 23:17:23,13.6,39,98.7,3325.0386
13,49b9371f-17c7-479c-9e93-ad71d1dcc3c4,3/7/2016 22:02,12.7,35,97.2,2822.85
14,49b9371f-17c7-479c-9e93-ad71d1dcc3c4,28/06/2016 22:36:04,13.466666,42,98.0,3278.0
15,49b9371f-17c7-479c-9e93-ad71d1dcc3c4,28/06/2016 21:56:08,10.5,28,2.8,54.0
16,49b9371f-17c7-479c-9e93-ad71d1dcc3c4,30/06/2016 22:56:02,13.0,39,77.7,2617.5835
17,49b9371f-17c7-479c-9e93-ad71d1dcc3c4,28/06/2016 22:36:09,13.2,40,94.5,3293.325
18,49b9371f-17c7-479c-9e93-ad71d1dcc3c4,30/06/2016 23:18:38,12.6,37,58.3,1828.5795
19,49b9371f-17c7-479c-9e93-ad71d1dcc3c4,30/06/2016 23:18:50,12.7,39,93.9,3163.3345
20,49b9371f-17c7-479c-9e93-ad71d1dcc3c4,28/06/2016 22:32:47,9.2,26,2.3,42.749332
21,49b9371f-17c7-479c-9e93-ad71d1dcc3c4,28/06/2016 22:32:53,12.7,37,46.9,1471.0186
22,49b9371f-17c7-479c-9e93-ad71d1dcc3c4,28/06/2016 22:32:59,11.4,40,65.1,2268.735
23,49b9371f-17c7-479c-9e93-ad71d1dcc3c4,30/06/2016 23:19:53,13.5,37,87.9,2756.9834
24,49b9371f-17c7-479c-9e93-ad71d1dcc3c4,30/06/2016 23:20:05,13.3,38,156.2,5080.6655
