id,uid,time,data,temp,volume,energy
0,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,9/2/2017 20:20,7.7,38,88.8,2888.368
1,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,9/2/2017 20:20,8.6,37,50.5,1583.9325
2,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,9/2/2017 20:20,7.1,38,65.4,2127.244
3,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,6/2/2017 19:58,6.9,37,27.1,849.9915
4,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,9/2/2017 20:20,7.2,38,44.3,1440.9313
5,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,9/2/2017 20:16,7.6,38,50.4,1639.344
6,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,6/2/2017 19:56,7.0,40,33.1,1153.535
7,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,6/2/2017 19:56,5.5,39,25.9,872.5278300000001
8,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,6/2/2017 19:56,8.3,34,1.8,50.184
9,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,6/2/2017 19:57,7.6,38,111.2,3616.9653
10,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,9/2/2017 20:21,7.6,38,108.6,3532.3959999999997
11,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,9/2/2017 20:16,7.0,39,43.9,1478.9178
12,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,9/2/2017 20:16,7.5,39,99.3,3345.2515
13,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,6/2/2017 19:57,7.5,38,58.1,1889.7993
14,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,6/2/2017 19:57,6.8,40,106.4,3708.04
15,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,6/2/2017 19:57,6.6,38,54.3,1766.1979999999999
16,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,6/2/2017 19:57,7.0,38,31.2,1014.832
17,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,6/2/2017 19:57,6.8,39,115.6,3894.3713
18,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,6/2/2017 19:58,9.6,15,5.6,32.52667
19,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,6/2/2017 19:58,9.3,15,5.9,34.269165
20,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,26/01/2017 19:52:21,5.8,38,64.4,2094.7173
21,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,26/01/2017 19:55:06,6.8,39,66.7,2247.0117
22,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,25/01/2017 19:43:45,6.0,37,32.8,1028.772
23,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,25/01/2017 19:40:57,7.0,39,60.0,2021.3
24,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,23/01/2017 20:26:03,5.7,39,47.2,1590.0894
25,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,23/01/2017 20:16:59,6.0,38,24.9,809.914
26,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,23/01/2017 20:24:51,6.7,39,22.7,764.72516
27,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,23/01/2017 20:15:10,7.1,37,109.5,3434.4675
28,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,20/01/2017 17:39:41,6.7,38,88.3,2872.1047
29,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,23/01/2017 20:15:36,7.0,38,101.0,3285.1934
30,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,23/01/2017 20:15:42,6.8,37,26.3,824.8995
31,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,23/01/2017 20:15:48,6.9,38,60.2,1958.1053
32,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,25/01/2017 19:42:01,6.9,39,18.4,619.86536
33,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,23/01/2017 20:15:59,8.1,36,70.3,2123.2944
34,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,23/01/2017 20:16:05,7.5,39,48.8,1643.9907
35,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,23/01/2017 20:16:11,7.6,38,63.8,2075.2014
36,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,23/01/2017 20:16:17,7.0,40,82.5,2875.125
37,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,23/01/2017 20:16:28,9.7,16,5.0,34.85
38,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,23/01/2017 20:16:34,8.9,17,5.5,44.724167
39,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,12/1/2017 20:35,7.1,40,20.7,721.395
40,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,12/1/2017 20:23,5.8,40,63.3,2206.005
41,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,12/1/2017 20:34,8.5,36,46.5,1404.455
42,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,20/01/2017 17:39:04,6.8,39,25.2,848.946
43,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,12/1/2017 20:26,6.9,39,43.7,1472.1802
44,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,12/1/2017 20:26,8.3,34,21.1,588.268
45,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,12/1/2017 20:26,7.5,39,113.3,3816.8882
46,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,20/01/2017 17:39:27,7.0,40,72.2,2516.17
47,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,20/01/2017 17:39:33,8.4,36,97.8,2953.886
48,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,20/01/2017 17:39:39,7.9,37,105.7,3315.2805
49,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,23/01/2017 20:18:28,7.1,38,44.0,1431.1733
50,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,23/01/2017 20:18:38,7.4,40,82.2,2864.67
51,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,26/01/2017 19:54:37,8.7,16,4.2,29.274
52,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,23/01/2017 20:18:50,6.2,17,5.9,47.976833
53,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,23/01/2017 20:18:55,7.7,38,78.7,2559.8486
54,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,26/01/2017 19:55:00,7.6,38,30.1,979.0527
55,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,25/01/2017 19:45:42,7.3,38,123.1,4004.0327
56,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,23/12/2016 20:10:51,5.9,39,60.3,2031.4065
57,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,23/01/2017 20:32:28,7.7,39,134.5,4531.081
58,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,12/1/2017 20:22,6.6,37,63.8,2001.0870000000002
59,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,12/1/2017 20:23,7.3,41,49.4,1778.9763
60,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,12/1/2017 20:23,8.3,38,113.1,3678.7659999999996
61,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,12/1/2017 20:23,8.8,38,85.6,2784.2827
62,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,12/1/2017 20:23,8.8,38,45.1,1466.9526
63,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,12/1/2017 20:23,8.4,39,116.6,3928.0596
64,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,12/1/2017 20:23,7.0,41,53.3,1919.4219
65,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,23/12/2016 20:10:53,6.4,40,31.6,1101.26
66,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,23/12/2016 20:11:18,7.5,40,135.5,4722.175
67,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,2/12/2016 19:57,8.8,38,76.9,2501.3008
68,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,30/11/2016 19:50:12,7.4710746,45,90.9,3388.0
69,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,2/12/2016 19:55,7.6,29,4.3,94.908165
70,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,2/12/2016 19:55,7.1,37,62.2,1950.9029999999998
71,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,2/12/2016 19:55,9.0,36,25.2,761.1239999999999
72,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,15/11/2016 20:07:55,8.6,42,93.4,3254.99
73,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,2/12/2016 19:56,7.7,40,62.9,2192.065
74,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,30/11/2016 19:50:09,8.3,39,33.3,1121.8215
75,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,13/11/2016 18:41:38,8.6,41,110.1,3709.0854
76,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,7/11/2016 20:26,8.646204,42,89.2,3221.0
77,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,15/11/2016 20:13:58,8.6,40,107.6,3749.86
78,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,15/11/2016 20:14:10,9.2,39,21.3,717.5615
79,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,3/11/2016 20:01,8.799275999999999,42,81.1,2877.0
80,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,2/11/2016 19:12,8.7,42,17.4,587.0
81,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,13/11/2016 18:40:07,8.9,41,124.6,4487.0537
82,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,15/11/2016 20:07:57,8.9,40,88.3,3077.255
83,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,3/11/2016 20:01,9.5,23,6.3,95.1405
84,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,3/11/2016 20:02,9.1,23,3.5,52.855835
85,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,13/11/2016 18:41:23,9.0,23,4.8,72.488
86,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,2/11/2016 19:12,9.1,23,5.6,84.56933599999999
87,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,3/11/2016 20:02,8.8,42,119.9,4457.0825
88,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,3/11/2016 20:03,8.7,43,66.6,2553.111
89,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,24/10/2016 20:20:22,8.610389999999999,43,69.3,2576.112
90,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,3/11/2016 20:03,8.7,42,136.7,5081.5947
91,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,6/2/2017 19:56,8.4,42,69.3,2576.112
92,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,6/2/2017 19:56,9.1,37,77.4,2427.651
93,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,6/2/2017 19:56,9.0,37,37.4,1173.0510000000002
94,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,6/2/2017 19:56,9.0,40,36.6,1275.51
95,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,18/10/2016 19:50:56,9.818182,40,13.5,424.0
96,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,18/10/2016 19:49:44,8.9,36,42.2,1274.5807
97,4d803ea8-26ee-4f46-90a1-bb9785d4c3d2,18/10/2016 19:49:56,8.6,43,68.1,2610.6135
