id,uid,time,data,temp,volume,energy
0,4dffe378-71a2-4b49-9be1-627530fadce0,22/02/2017 21:05:17,8.1,33,5.8,154.96634
1,4dffe378-71a2-4b49-9be1-627530fadce0,16/02/2017 20:17:33,7.137931,35,6.9,215.0
2,4dffe378-71a2-4b49-9be1-627530fadce0,16/02/2017 19:37:26,8.0,31,15.2,370.80400000000003
3,4dffe378-71a2-4b49-9be1-627530fadce0,22/02/2017 21:06:02,5.7,16,1.7,11.849
4,4dffe378-71a2-4b49-9be1-627530fadce0,12/2/2017 21:02,8.5,31,12.3,300.0585
5,4dffe378-71a2-4b49-9be1-627530fadce0,12/2/2017 20:40,7.8,31,12.8,312.256
6,4dffe378-71a2-4b49-9be1-627530fadce0,16/02/2017 20:17:09,7.2,33,13.5,360.6975
7,4dffe378-71a2-4b49-9be1-627530fadce0,16/02/2017 19:35:12,5.0,16,2.5,17.425
8,4dffe378-71a2-4b49-9be1-627530fadce0,16/02/2017 20:17:20,7.7,29,16.2,357.561
9,4dffe378-71a2-4b49-9be1-627530fadce0,22/02/2017 21:07:43,8.8,35,17.9,519.8458
10,4dffe378-71a2-4b49-9be1-627530fadce0,12/2/2017 20:42,7.2,30,11.5,267.18332000000004
11,4dffe378-71a2-4b49-9be1-627530fadce0,16/02/2017 20:17:37,4.3,15,1.5,8.7125
12,4dffe378-71a2-4b49-9be1-627530fadce0,12/2/2017 20:43,8.1,30,12.1,281.12332000000004
13,4dffe378-71a2-4b49-9be1-627530fadce0,1/2/2017 20:41,8.2,36,7.5,226.525
14,4dffe378-71a2-4b49-9be1-627530fadce0,1/2/2017 20:38,6.2,26,9.6,178.43200000000002
15,4dffe378-71a2-4b49-9be1-627530fadce0,22/02/2017 21:08:18,6.0,24,8.9,144.74367
16,4dffe378-71a2-4b49-9be1-627530fadce0,16/02/2017 19:37:17,8.3,33,26.0,694.6767
17,4dffe378-71a2-4b49-9be1-627530fadce0,29/01/2017 12:02:32,8.6,33,15.9,424.8215
18,4dffe378-71a2-4b49-9be1-627530fadce0,29/01/2017 11:54:29,7.2,33,8.3,221.76216000000002
19,4dffe378-71a2-4b49-9be1-627530fadce0,29/01/2017 11:49:26,6.666666499999999,30,3.0,72.0
20,4dffe378-71a2-4b49-9be1-627530fadce0,29/01/2017 11:41:02,4.5,14,0.3,1.0
21,4dffe378-71a2-4b49-9be1-627530fadce0,23/01/2017 19:04:48,3.857143,31,9.0,200.0
22,4dffe378-71a2-4b49-9be1-627530fadce0,29/01/2017 11:54:27,7.2,27,20.2,398.91632000000004
23,4dffe378-71a2-4b49-9be1-627530fadce0,16/01/2017 20:57:52,7.9,29,7.6,167.74466
24,4dffe378-71a2-4b49-9be1-627530fadce0,16/01/2017 20:55:28,1.4654378000000001,31,5.3,133.0
25,4dffe378-71a2-4b49-9be1-627530fadce0,16/01/2017 20:40:03,5.8,37,16.8,526.932
26,4dffe378-71a2-4b49-9be1-627530fadce0,16/01/2017 20:36:31,8.3,28,12.5,261.375
27,4dffe378-71a2-4b49-9be1-627530fadce0,29/01/2017 11:42:30,4.9,31,23.4,570.8430000000001
28,4dffe378-71a2-4b49-9be1-627530fadce0,29/01/2017 11:42:39,7.0,33,23.3,622.5372
29,4dffe378-71a2-4b49-9be1-627530fadce0,22/02/2017 21:05:34,8.1,33,31.4,838.9557
30,4dffe378-71a2-4b49-9be1-627530fadce0,29/01/2017 11:43:09,5.3,25,5.5,95.8375
31,4dffe378-71a2-4b49-9be1-627530fadce0,8/1/2017 19:52,4.6,37,14.1,442.2465
32,4dffe378-71a2-4b49-9be1-627530fadce0,8/1/2017 10:46,2.5384613999999996,23,3.3,16.0
33,4dffe378-71a2-4b49-9be1-627530fadce0,29/01/2017 11:43:39,7.0,30,13.5,313.65
34,4dffe378-71a2-4b49-9be1-627530fadce0,1/1/2017 19:38,6.7,34,12.7,354.07599999999996
35,4dffe378-71a2-4b49-9be1-627530fadce0,16/01/2017 20:37:44,8.3,29,4.7,103.73683
36,4dffe378-71a2-4b49-9be1-627530fadce0,16/01/2017 20:37:56,7.4,31,5.3,129.2935
37,4dffe378-71a2-4b49-9be1-627530fadce0,16/01/2017 20:38:02,6.6,34,35.1,978.5880000000001
38,4dffe378-71a2-4b49-9be1-627530fadce0,8/1/2017 19:52,7.1,30,16.0,371.73334
39,4dffe378-71a2-4b49-9be1-627530fadce0,8/1/2017 19:52,4.5,15,1.8,10.455
40,4dffe378-71a2-4b49-9be1-627530fadce0,16/01/2017 20:39:18,6.4,15,1.5,8.7125
41,4dffe378-71a2-4b49-9be1-627530fadce0,20/12/2016 21:27:10,4.571429,14,3.2,17.0
42,4dffe378-71a2-4b49-9be1-627530fadce0,13/12/2016 01:00:00,6.6,39,12.6,424.473
43,4dffe378-71a2-4b49-9be1-627530fadce0,16/01/2017 20:39:35,8.4,17,9.9,80.5035
44,4dffe378-71a2-4b49-9be1-627530fadce0,13/12/2016 19:54:46,5.2941175000000005,27,3.0,72.0
45,4dffe378-71a2-4b49-9be1-627530fadce0,13/12/2016 19:28:48,5.9,31,10.2,248.829
46,4dffe378-71a2-4b49-9be1-627530fadce0,16/02/2017 20:16:37,4.3,40,13.3,463.505
47,4dffe378-71a2-4b49-9be1-627530fadce0,10/12/2016 8:45,6.7,31,13.2,322.014
48,4dffe378-71a2-4b49-9be1-627530fadce0,8/12/2016 21:43,4.909091,31,1.8,42.0
