id,uid,time,data,temp,volume,energy
0,5e4f259c-c095-494b-9ee7-5b39b31c747c,8/9/2016 20:50,9.1,37,83.4,2615.841
1,5e4f259c-c095-494b-9ee7-5b39b31c747c,6/9/2016 13:30,7.5,27,20.1,396.9415
2,5e4f259c-c095-494b-9ee7-5b39b31c747c,6/9/2016 13:09,6.0,28,5.2,108.73200000000001
3,5e4f259c-c095-494b-9ee7-5b39b31c747c,6/9/2016 13:26,6.7,27,2.8,55.295334
4,5e4f259c-c095-494b-9ee7-5b39b31c747c,6/9/2016 13:26,9.7,37,118.3,3710.4795
5,5e4f259c-c095-494b-9ee7-5b39b31c747c,4/9/2016 22:33,4.857143,28,3.4,68.0
6,5e4f259c-c095-494b-9ee7-5b39b31c747c,6/9/2016 13:28,10.3,36,97.9,2956.9062
7,5e4f259c-c095-494b-9ee7-5b39b31c747c,8/9/2016 20:42,11.5,36,83.9,2534.0596
8,5e4f259c-c095-494b-9ee7-5b39b31c747c,4/9/2016 22:33,6.3,36,75.7,2286.3923
9,5e4f259c-c095-494b-9ee7-5b39b31c747c,6/9/2016 13:28,8.6,35,107.4,3119.075
10,5e4f259c-c095-494b-9ee7-5b39b31c747c,6/9/2016 13:29,8.6,35,84.0,2439.5
11,5e4f259c-c095-494b-9ee7-5b39b31c747c,27/06/2016 18:48:53,7.0,25,7.2,125.46
12,5e4f259c-c095-494b-9ee7-5b39b31c747c,6/9/2016 13:30,8.0,24,7.1,115.46966599999999
13,5e4f259c-c095-494b-9ee7-5b39b31c747c,27/06/2016 12:13:34,6.3,37,53.1,1665.4814
14,5e4f259c-c095-494b-9ee7-5b39b31c747c,27/06/2016 12:09:43,5.8,26,2.6,48.325333
15,5e4f259c-c095-494b-9ee7-5b39b31c747c,27/06/2016 12:10:08,6.9,35,82.9,2407.5542
16,5e4f259c-c095-494b-9ee7-5b39b31c747c,27/06/2016 12:10:21,8.9,34,67.4,1879.112
17,5e4f259c-c095-494b-9ee7-5b39b31c747c,27/06/2016 12:10:33,8.2,36,64.0,1933.0133
18,5e4f259c-c095-494b-9ee7-5b39b31c747c,27/06/2016 12:10:46,8.1,36,24.2,730.92065
19,5e4f259c-c095-494b-9ee7-5b39b31c747c,27/06/2016 12:10:58,5.6,27,3.8,75.04366
20,5e4f259c-c095-494b-9ee7-5b39b31c747c,27/06/2016 12:11:11,8.6,38,81.8,2660.6814
21,5e4f259c-c095-494b-9ee7-5b39b31c747c,27/06/2016 12:11:24,5.8,26,2.5,46.466667
22,5e4f259c-c095-494b-9ee7-5b39b31c747c,9/6/2016 13:44,8.3,38,64.0,2081.7068
23,5e4f259c-c095-494b-9ee7-5b39b31c747c,9/6/2016 13:48,7.3,36,34.4,1038.9946
24,5e4f259c-c095-494b-9ee7-5b39b31c747c,9/6/2016 13:46,7.4,39,90.9,3062.2695
25,5e4f259c-c095-494b-9ee7-5b39b31c747c,1/6/2016 22:07,7.1,35,41.6,1208.1333
26,5e4f259c-c095-494b-9ee7-5b39b31c747c,1/6/2016 22:07,6.7,37,56.1,1759.5765
27,5e4f259c-c095-494b-9ee7-5b39b31c747c,1/6/2016 22:05,6.4,39,79.6,2681.5913
28,5e4f259c-c095-494b-9ee7-5b39b31c747c,1/6/2016 22:06,7.2,40,93.2,3248.02
29,5e4f259c-c095-494b-9ee7-5b39b31c747c,1/6/2016 22:06,7.2,34,28.4,791.7919999999999
30,5e4f259c-c095-494b-9ee7-5b39b31c747c,9/6/2016 13:44,8.1,39,132.0,4446.86
31,5e4f259c-c095-494b-9ee7-5b39b31c747c,1/6/2016 22:04,8.6,38,120.3,3912.958
32,5e4f259c-c095-494b-9ee7-5b39b31c747c,1/6/2016 22:07,7.1,36,46.1,1392.3737
33,5e4f259c-c095-494b-9ee7-5b39b31c747c,16/05/2016 19:42:24,8.0,28,55.0,1150.05
34,5e4f259c-c095-494b-9ee7-5b39b31c747c,16/05/2016 19:41:36,4.9,22,4.0,55.76
