id,uid,time,data,temp,volume,energy
0,5e5c69c9-908b-4b09-9b4c-56fff3d7750d,14/09/2016 21:17:13,9.4,34,9.9,276.012
1,5e5c69c9-908b-4b09-9b4c-56fff3d7750d,14/09/2016 21:17:19,11.3,26,4.7,87.35733
2,5e5c69c9-908b-4b09-9b4c-56fff3d7750d,14/09/2016 21:17:25,9.1,26,3.5,65.05334
3,5e5c69c9-908b-4b09-9b4c-56fff3d7750d,14/09/2016 21:17:30,10.3,32,21.0,536.69
4,5e5c69c9-908b-4b09-9b4c-56fff3d7750d,14/09/2016 21:17:36,11.6,27,6.6,130.339
5,5e5c69c9-908b-4b09-9b4c-56fff3d7750d,5/8/2016 19:23,10.5,27,5.1,100.0
6,5e5c69c9-908b-4b09-9b4c-56fff3d7750d,5/8/2016 19:21,10.6,27,3.0,59.245
7,5e5c69c9-908b-4b09-9b4c-56fff3d7750d,5/8/2016 19:22,10.2,27,4.6,90.84233
8,5e5c69c9-908b-4b09-9b4c-56fff3d7750d,26/06/2016 12:26:12,9.354838,33,14.5,342.0
9,5e5c69c9-908b-4b09-9b4c-56fff3d7750d,26/06/2016 12:25:25,9.1,35,28.7,833.49585
10,5e5c69c9-908b-4b09-9b4c-56fff3d7750d,26/06/2016 12:25:37,5.3,24,2.2,35.779334999999996
11,5e5c69c9-908b-4b09-9b4c-56fff3d7750d,26/06/2016 12:25:49,6.5,29,4.3,94.908165
12,5e5c69c9-908b-4b09-9b4c-56fff3d7750d,26/06/2016 12:26:02,6.9,24,2.3,37.405666
13,5e5c69c9-908b-4b09-9b4c-56fff3d7750d,22/06/2016 11:16:06,3.0,24,0.1,1.0
14,5e5c69c9-908b-4b09-9b4c-56fff3d7750d,15/06/2016 15:20:10,1.9277978,39,8.9,269.0
15,5e5c69c9-908b-4b09-9b4c-56fff3d7750d,15/06/2016 15:09:28,9.333333,26,4.3,79.0
16,5e5c69c9-908b-4b09-9b4c-56fff3d7750d,15/06/2016 15:09:01,14.3,26,3.8,70.62933000000001
17,5e5c69c9-908b-4b09-9b4c-56fff3d7750d,14/06/2016 09:34:32,6.0,26,2.6,48.0
18,5e5c69c9-908b-4b09-9b4c-56fff3d7750d,14/06/2016 09:34:17,8.2,33,19.1,510.32016
19,5e5c69c9-908b-4b09-9b4c-56fff3d7750d,14/06/2016 09:34:29,13.9,24,6.7,108.96433
20,5e5c69c9-908b-4b09-9b4c-56fff3d7750d,8/6/2016 22:53,6.0,27,3.9,71.0
21,5e5c69c9-908b-4b09-9b4c-56fff3d7750d,8/6/2016 22:53,8.4,33,9.5,253.82417
22,5e5c69c9-908b-4b09-9b4c-56fff3d7750d,18/05/2016 20:23:51,1.5694165,34,13.0,346.0
23,5e5c69c9-908b-4b09-9b4c-56fff3d7750d,18/05/2016 20:23:27,6.2,34,18.2,507.416
24,5e5c69c9-908b-4b09-9b4c-56fff3d7750d,18/05/2016 20:23:49,5.6,33,6.5,173.66917
25,5e5c69c9-908b-4b09-9b4c-56fff3d7750d,12/5/2016 18:40,2.912863,21,11.7,150.0
